#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,47111.07843662733,845.0563200026271,1.4912355604173981,5428.940278125,38328.76074537722,1047.143475,458.1773466021024,299.1838500000003,0.0,2.991838500000003,0.0
2,43922.845652183285,801.7364036300053,1.3893988398812793,5428.940278125,35711.28339965848,1047.143475,428.4007862831308,299.1838500000003,0.0,2.991838500000003,0.0
3,48556.17063760849,864.0417199448665,1.5374146335247612,5428.940278125,39515.68700408311,1047.143475,471.6459764755766,299.1838500000003,0.0,2.991838500000003,0.0
4,49848.83387999764,880.7120390921317,1.578733225498359,5428.940278125,40577.68583788816,1047.143475,483.6798393345694,299.1838500000003,0.0,2.991838500000003,0.0
5,58286.91328895683,983.428202073422,1.8486735888116164,5428.940278125,47515.878485371744,1047.143475,561.9295862392149,299.1838500000003,0.0,2.991838500000003,0.0
6,38608.629121380574,724.4032040603938,1.2198065521551205,5428.940278125,31352.305922821957,1047.143475,378.56554796637283,299.1838500000003,0.0,2.991838500000003,0.0
7,49981.78392509866,882.4105897829564,1.5829833823373634,5428.940278125,40686.92628851618,1047.143475,484.9167792252172,299.1838500000003,0.0,2.991838500000003,0.0
8,41717.23963411775,770.4829461309671,1.318987481427999,5428.940278125,33901.52229715541,1047.143475,407.7493842894361,299.1838500000003,0.0,2.991838500000003,0.0
9,56134.916512909316,958.1226558036205,1.77979415639117,5428.940278125,45745.49199808752,1047.143475,542.0208109376991,299.1838500000003,0.0,2.991838500000003,0.0
10,54701.29239082864,940.9519257575503,1.7339209028566331,5428.940278125,44566.42612411846,1047.143475,528.7403960431593,299.1838500000003,0.0,2.991838500000003,0.0
11,57708.6275740071,976.68086872959,1.8301619996729037,5428.940278125,47040.080905198796,1047.143475,556.5827355215496,299.1838500000003,0.0,2.991838500000003,0.0
12,60874.07840882064,1013.1732155598891,1.9315115896525297,5428.940278125,49645.03768673092,1047.143475,585.8239548837911,299.1838500000003,0.0,2.991838500000003,0.0
13,59069.00827864026,992.4945865815469,1.8737119562190558,5428.940278125,48159.43180403454,1047.143475,569.1573656766748,299.1838500000003,0.0,2.991838500000003,0.0
14,41867.630323313286,772.6501363171702,1.3237874740868045,5428.940278125,34024.8950057216,1047.143475,409.15892412965786,299.1838500000003,0.0,2.991838500000003,0.0
15,51646.38565157589,903.4369882437303,1.6362060157786695,5428.940278125,42054.890973344205,1047.143475,500.3924631420197,299.1838500000003,0.0,2.991838500000003,0.0
