#dem,node,product,cap(tonne/week),price($/tonne)
d1,ag_node1,p1,1.0e30,,0.0
d2,ag_node1,p2,1.0e30,,0.0
d3,ag_node1,p3,1.0e30,,0.0
d4,ag_node1,p4,1.0e30,,2.0e-6
d5,ag_node1,p5,1.0e30,,2.0e-6
d6,ag_node1,p6,1.0e30,,0.001002
d7,ag_node1,p7,1.0e30,,5.0e-6
d8,ag_node1,p8,1.0e30,,5.0e-6
d9,ag_node1,p9,1.0e30,,5.0e-6
d10,ag_node1,p14,1.0e30,,0.001
d11,ag_node1,p15,1.0e30,,0.001
d12,ag_node1,p16,1.0e30,,0.0
d13,ag_node2,p1,1.0e30,,0.0
d14,ag_node2,p2,1.0e30,,0.0
d15,ag_node2,p3,1.0e30,,0.0
d16,ag_node2,p4,1.0e30,,2.0e-6
d17,ag_node2,p5,1.0e30,,2.0e-6
d18,ag_node2,p6,1.0e30,,0.001002
d19,ag_node2,p7,1.0e30,,5.0e-6
d20,ag_node2,p8,1.0e30,,5.0e-6
d21,ag_node2,p9,1.0e30,,5.0e-6
d22,ag_node2,p14,1.0e30,,0.001
d23,ag_node2,p15,1.0e30,,0.001
d24,ag_node2,p16,1.0e30,,0.0
d25,ag_node3,p1,1.0e30,,0.0
d26,ag_node3,p2,1.0e30,,0.0
d27,ag_node3,p3,1.0e30,,0.0
d28,ag_node3,p4,1.0e30,,2.0e-6
d29,ag_node3,p5,1.0e30,,2.0e-6
d30,ag_node3,p6,1.0e30,,0.001002
d31,ag_node3,p7,1.0e30,,5.0e-6
d32,ag_node3,p8,1.0e30,,5.0e-6
d33,ag_node3,p9,1.0e30,,5.0e-6
d34,ag_node3,p14,1.0e30,,0.001
d35,ag_node3,p15,1.0e30,,0.001
d36,ag_node3,p16,1.0e30,,0.0
d37,ag_node4,p1,1.0e30,,0.0
d38,ag_node4,p2,1.0e30,,0.0
d39,ag_node4,p3,1.0e30,,0.0
d40,ag_node4,p4,1.0e30,,2.0e-6
d41,ag_node4,p5,1.0e30,,2.0e-6
d42,ag_node4,p6,1.0e30,,0.001002
d43,ag_node4,p7,1.0e30,,5.0e-6
d44,ag_node4,p8,1.0e30,,5.0e-6
d45,ag_node4,p9,1.0e30,,5.0e-6
d46,ag_node4,p14,1.0e30,,0.001
d47,ag_node4,p15,1.0e30,,0.001
d48,ag_node4,p16,1.0e30,,0.0
d49,ag_node5,p1,1.0e30,,0.0
d50,ag_node5,p2,1.0e30,,0.0
d51,ag_node5,p3,1.0e30,,0.0
d52,ag_node5,p4,1.0e30,,2.0e-6
d53,ag_node5,p5,1.0e30,,2.0e-6
d54,ag_node5,p6,1.0e30,,0.001002
d55,ag_node5,p7,1.0e30,,5.0e-6
d56,ag_node5,p8,1.0e30,,5.0e-6
d57,ag_node5,p9,1.0e30,,5.0e-6
d58,ag_node5,p14,1.0e30,,0.001
d59,ag_node5,p15,1.0e30,,0.001
d60,ag_node5,p16,1.0e30,,0.0
d61,ag_node6,p1,1.0e30,,0.0
d62,ag_node6,p2,1.0e30,,0.0
d63,ag_node6,p3,1.0e30,,0.0
d64,ag_node6,p4,1.0e30,,2.0e-6
d65,ag_node6,p5,1.0e30,,2.0e-6
d66,ag_node6,p6,1.0e30,,0.001002
d67,ag_node6,p7,1.0e30,,5.0e-6
d68,ag_node6,p8,1.0e30,,5.0e-6
d69,ag_node6,p9,1.0e30,,5.0e-6
d70,ag_node6,p14,1.0e30,,0.001
d71,ag_node6,p15,1.0e30,,0.001
d72,ag_node6,p16,1.0e30,,0.0
d73,ag_node7,p1,1.0e30,,0.0
d74,ag_node7,p2,1.0e30,,0.0
d75,ag_node7,p3,1.0e30,,0.0
d76,ag_node7,p4,1.0e30,,2.0e-6
d77,ag_node7,p5,1.0e30,,2.0e-6
d78,ag_node7,p6,1.0e30,,0.001002
d79,ag_node7,p7,1.0e30,,5.0e-6
d80,ag_node7,p8,1.0e30,,5.0e-6
d81,ag_node7,p9,1.0e30,,5.0e-6
d82,ag_node7,p14,1.0e30,,0.001
d83,ag_node7,p15,1.0e30,,0.001
d84,ag_node7,p16,1.0e30,,0.0
d85,ag_node8,p1,1.0e30,,0.0
d86,ag_node8,p2,1.0e30,,0.0
d87,ag_node8,p3,1.0e30,,0.0
d88,ag_node8,p4,1.0e30,,2.0e-6
d89,ag_node8,p5,1.0e30,,2.0e-6
d90,ag_node8,p6,1.0e30,,0.001002
d91,ag_node8,p7,1.0e30,,5.0e-6
d92,ag_node8,p8,1.0e30,,5.0e-6
d93,ag_node8,p9,1.0e30,,5.0e-6
d94,ag_node8,p14,1.0e30,,0.001
d95,ag_node8,p15,1.0e30,,0.001
d96,ag_node8,p16,1.0e30,,0.0
d97,ag_node9,p1,1.0e30,,0.0
d98,ag_node9,p2,1.0e30,,0.0
d99,ag_node9,p3,1.0e30,,0.0
d100,ag_node9,p4,1.0e30,,2.0e-6
d101,ag_node9,p5,1.0e30,,2.0e-6
d102,ag_node9,p6,1.0e30,,0.001002
d103,ag_node9,p7,1.0e30,,5.0e-6
d104,ag_node9,p8,1.0e30,,5.0e-6
d105,ag_node9,p9,1.0e30,,5.0e-6
d106,ag_node9,p14,1.0e30,,0.001
d107,ag_node9,p15,1.0e30,,0.001
d108,ag_node9,p16,1.0e30,,0.0
d109,ag_node10,p1,1.0e30,,0.0
d110,ag_node10,p2,1.0e30,,0.0
d111,ag_node10,p3,1.0e30,,0.0
d112,ag_node10,p4,1.0e30,,2.0e-6
d113,ag_node10,p5,1.0e30,,2.0e-6
d114,ag_node10,p6,1.0e30,,0.001002
d115,ag_node10,p7,1.0e30,,5.0e-6
d116,ag_node10,p8,1.0e30,,5.0e-6
d117,ag_node10,p9,1.0e30,,5.0e-6
