# 1. Node ID| 2. Node Name| 3. Node longitude| 4. Node latitude
NMAD|MadisonWI|-89.4012|43.0731
NC001|CAFO1|-89.657219|43.952722
NC002|CAFO2|-89.6774639|43.8887864
NC003|CAFO3|-88.2590818|44.3666407
NC004|CAFO4|-91.755447|45.505208
NC005|CAFO5|-91.8908345|45.2086253
NC006|CAFO6|-91.834341|45.4788
NC007|CAFO7|-92.0364009|45.4095924
NC008|CAFO8|-91.543636|45.330174
NC009|CAFO9|-88.088249|44.253726
NC010|CAFO10|-87.9729226|44.3279734
NC011|CAFO11|-87.971349|44.272017
NC012|CAFO12|-88.108356|44.282748
NC013|CAFO13|-87.789123|44.540205
NC014|CAFO14|-87.911238|44.314036
NC015|CAFO15|-88.133287|44.340874
NC016|CAFO16|-88.1507888|44.6643522
NC017|CAFO17|-88.042711|44.315446
NC018|CAFO18|-88.1613338|44.3476812
NC019|CAFO19|-88.1878739|44.435093
NC020|CAFO20|-87.904771|44.409054
NC021|CAFO21|-87.8014535|44.5017765
NC022|CAFO22|-88.0903074|44.3926874
NC023|CAFO23|-88.168628|44.334034
NC024|CAFO24|-88.1913832|44.33799
NC025|CAFO25|-87.961376|44.257304
NC026|CAFO26|-88.110763|44.2994683
NC027|CAFO27|-87.9223463|44.0068862
NC028|CAFO28|-91.8729325|44.6195702
NC029|CAFO29|-91.9506223|44.5056081
NC030|CAFO30|-91.8481239|44.2654503
NC031|CAFO31|-92.6310929|45.762307
NC032|CAFO32|-88.0533203|44.1067411
NC033|CAFO33|-88.1466866|44.2267152
NC034|CAFO34|-88.147437|44.097001
NC035|CAFO35|-88.057052|44.238873
NC036|CAFO36|-88.1530812|44.0575673
NC037|CAFO37|-88.1851316|44.1219583
NC038|CAFO38|-88.106757|44.203572
NC039|CAFO39|-88.112622|44.122421
NC040|CAFO40|-88.06098|44.235045
NC041|CAFO41|-90.9746861|44.9659247
NC042|CAFO42|-91.497807|44.901922
NC043|CAFO43|-90.3526429|45.0032736
NC044|CAFO44|-90.2347974|44.8511138
NC045|CAFO45|-90.5361983|44.6107539
NC046|CAFO46|-90.2591344|44.7573292
NC047|CAFO47|-90.7601512|44.9445265
NC048|CAFO48|-90.435282|44.705272
NC049|CAFO49|-90.7487243|44.5239
NC050|CAFO50|-90.3556863|45.0173606
NC051|CAFO51|-89.8135536|42.7889219
NC052|CAFO52|-90.3771428|44.6407302
NC053|CAFO53|-89.4219432|43.2724383
NC054|CAFO54|-89.3247574|43.2902031
NC055|CAFO55|-89.4217487|43.2627427
NC056|CAFO56|-89.072553|43.150987
NC057|CAFO57|-89.144127|43.222612
NC058|CAFO58|-89.522408|42.873461
NC059|CAFO59|-89.176236|43.133923
NC060|CAFO60|-89.484778|43.219504
NC061|CAFO61|-89.1700655|43.1612969
NC062|CAFO62|-89.5511386|43.1255927
NC063|CAFO63|-89.479006|43.214887
NC064|CAFO64|-89.543804|43.127558
NC065|CAFO65|-88.450539|43.574064
NC066|CAFO66|-88.966056|43.2343009
NC067|CAFO67|-88.432642|43.487582
NC068|CAFO68|-88.7754202|43.5123201
NC069|CAFO69|-88.6812317|43.3984461
NC070|CAFO70|-87.5027549|44.7366839
NC071|CAFO71|-91.9394584|44.7726448
NC072|CAFO72|-91.6660948|45.1470211
NC073|CAFO73|-91.6597361|44.8923943
NC074|CAFO74|-91.7608218|45.0086159
NC075|CAFO75|-91.42537|44.623206
NC076|CAFO76|-88.293544|43.835418
NC077|CAFO77|-88.3624164|43.6921456
NC078|CAFO78|-88.3708131|43.5652228
NC079|CAFO79|-88.5026096|43.6610226
NC080|CAFO80|-88.8654615|43.6688948
NC081|CAFO81|-88.2924711|43.9068922
NC082|CAFO82|-88.184374|43.933457
NC083|CAFO83|-88.398594|43.686573
NC084|CAFO84|-88.3240483|43.8181248
NC085|CAFO85|-88.6171789|43.863818
NC086|CAFO86|-88.717945|43.867771
NC087|CAFO87|-88.521648|43.862695
NC088|CAFO88|-88.3554973|43.6780951
NC089|CAFO89|-88.398931|43.726016
NC090|CAFO90|-91.090403|42.9348801
NC091|CAFO91|-90.5831146|42.6796252
NC092|CAFO92|-90.6961853|42.864588
NC093|CAFO93|-90.602897|43.0065857
NC094|CAFO94|-89.051151|43.7013946
NC095|CAFO95|-89.0510134|43.7057395
NC096|CAFO96|-89.004734|43.634875
NC097|CAFO97|-89.0123277|43.9712488
NC098|CAFO98|-89.4233466|42.7717123
NC099|CAFO99|-89.3870026|42.6461277
NC100|CAFO100|-89.663736|42.736022
NC101|CAFO101|-89.3917564|42.6013315
NC102|CAFO102|-91.0851155|44.2238278
NC103|CAFO103|-91.0649767|44.3188887
NC104|CAFO104|-90.9365416|44.4365416
NC105|CAFO105|-90.9966341|44.1261241
NC106|CAFO106|-91.1053851|44.4013418
NC107|CAFO107|-88.775482|42.973292
NC108|CAFO108|-88.868785|42.868704
NC109|CAFO109|-88.7221335|43.1365455
NC110|CAFO110|-88.574255|43.1630746
NC111|CAFO111|-89.9558671|44.2212573
NC112|CAFO112|-87.549178|44.3693359
NC113|CAFO113|-87.7630852|44.6124135
NC114|CAFO114|-87.588472|44.663093
NC115|CAFO115|-87.665803|44.3673969
NC116|CAFO116|-87.5815229|44.6183421
NC117|CAFO117|-87.565269|44.601945
NC118|CAFO118|-87.5743726|44.4798729
NC119|CAFO119|-87.58098|44.546913
NC120|CAFO120|-87.63395|44.616287
NC121|CAFO121|-87.5955881|44.4997104
NC122|CAFO122|-87.6845513|44.4417772
NC123|CAFO123|-87.7320359|44.514428
NC124|CAFO124|-87.731243|44.597806
NC125|CAFO125|-87.704175|44.5162262
NC126|CAFO126|-87.539651|44.4091049
NC127|CAFO127|-89.946068|42.6328185
NC128|CAFO128|-90.2918458|42.6533571
NC129|CAFO129|-90.2565166|42.7853435
NC130|CAFO130|-89.8798448|42.5688955
NC131|CAFO131|-90.2918458|42.6533571
NC132|CAFO132|-89.1320129|45.2609184
NC133|CAFO133|-89.0315902|45.1957146
NC134|CAFO134|-87.894531|44.0371546
NC135|CAFO135|-87.879446|44.115082
NC136|CAFO136|-87.879446|44.115082
NC137|CAFO137|-87.870988|44.090497
NC138|CAFO138|-87.821797|43.9790083
NC139|CAFO139|-87.758921|43.991883
NC140|CAFO140|-87.900083|44.031183
NC141|CAFO141|-88.007005|44.162424
NC142|CAFO142|-87.8321809|44.196495
NC143|CAFO143|-87.7465309|43.9505879
NC144|CAFO144|-87.779209|43.925592
NC145|CAFO145|-87.9196319|43.962606
NC146|CAFO146|-87.868523|43.922701
NC147|CAFO147|-87.8015843|43.9791091
NC148|CAFO148|-87.525264|44.256712
NC149|CAFO149|-87.741411|44.138624
NC150|CAFO150|-87.584866|44.249487
NC151|CAFO151|-87.829195|44.161356
NC152|CAFO152|-89.767959|44.9580832
NC153|CAFO153|-90.168364|44.899765
NC154|CAFO154|-89.958202|44.901323
NC155|CAFO155|-90.262512|44.834921
NC156|CAFO156|-90.170057|44.8009709
NC157|CAFO157|-90.121009|45.032389
NC158|CAFO158|-89.26493|44.844099
NC159|CAFO159|-90.04741|45.0330639
NC160|CAFO160|-89.2590262|44.940447
NC161|CAFO161|-89.4920215|45.1188113
NC162|CAFO162|-87.965177|45.115722
NC163|CAFO163|-88.063297|45.062663
NC164|CAFO164|-88.05566|45.137756
NC165|CAFO165|-88.019516|45.1610609
NC166|CAFO166|-89.517387|44.0325488
NC167|CAFO167|-90.585257|43.984089
NC168|CAFO168|-90.7767576|43.7449956
NC169|CAFO169|-90.7938889|43.737048
NC170|CAFO170|-88.3022671|44.8969219
NC171|CAFO171|-88.201485|44.9076949
NC172|CAFO172|-88.4431369|44.993569
NC173|CAFO173|-88.200804|44.839345
NC174|CAFO174|-88.3567435|44.9766739
NC175|CAFO175|-88.460848|44.470982
NC176|CAFO176|-88.4204359|44.5316139
NC177|CAFO177|-88.2143472|44.2697279
NC178|CAFO178|-88.23464|44.395145
NC179|CAFO179|-88.7369583|44.5203883
NC180|CAFO180|-88.314505|44.388485
NC181|CAFO181|-88.1992313|44.3128202
