n1[:power[1,1]],109.73072048285094
n1[:power[2,1]],107.68642318817446
n1[:power[3,1]],106.67921928523305
n1[:power[4,1]],113.93661685139172
n1[:power[5,1]],110.76766905606358
n1[:power[6,1]],108.70361263909409
n1[:power[7,1]],103.7180429424133
n1[:power[8,1]],112.87072290815559
n1[:power[9,1]],104.69498653141284
n1[:power[10,1]],105.682057965361
n1[:power[11,1]],111.81436980452472
n1[:power[1,2]],110.6820449793084
n1[:power[2,2]],107.98252000981151
n1[:power[3,2]],106.8450656309556
n1[:power[4,2]],124.16816648498273
n1[:power[5,2]],112.48050639237572
n1[:power[6,2]],109.23360446641624
n1[:power[7,2]],103.74727748902484
n1[:power[8,2]],118.48344970914384
n1[:power[9,2]],104.74725208482451
n1[:power[10,2]],105.77513629032393
n1[:power[11,2]],114.90879805859483
n1[:power[1,3]],112.4997681610053
n1[:power[2,3]],108.72706497516248
n1[:power[3,3]],107.31185609945688
n1[:power[4,3]],132.5514269287001
n1[:power[5,3]],115.23491284871474
n1[:power[6,3]],110.40648129843466
n1[:power[7,3]],103.85496534400419
n1[:power[8,3]],124.10768604037303
n1[:power[9,3]],104.92513606639697
n1[:power[10,3]],106.06478210708711
n1[:power[11,3]],118.9478930849153
n1[:power[1,4]],114.47708174499029
n1[:power[2,4]],109.77680840935686
n1[:power[3,4]],108.04282266223568
n1[:power[4,4]],135.6365420021913
n1[:power[5,4]],117.76636653669706
n1[:power[6,4]],111.87346846413111
n1[:power[7,4]],104.07093215731756
n1[:power[8,4]],127.15101227264547
n1[:power[9,4]],105.25709609801409
n1[:power[10,4]],106.56254767244626
n1[:power[11,4]],121.9375311908505
n1[:power[1,5]],116.10858844397113
n1[:power[2,5]],110.88876243704566
n1[:power[3,5]],108.89614374940133
n1[:power[4,5]],134.31534837303624
n1[:power[5,5]],119.51566312512925
n1[:power[6,5]],113.26119398104728
n1[:power[7,5]],104.3862555817011
n1[:power[8,5]],128.05447800668728
n1[:power[9,5]],105.71164015573599
n1[:power[10,5]],107.19519501601873
n1[:power[11,5]],123.52117552572328
n1[:power[1,6]],117.27583998675937
n1[:power[2,6]],111.89363800249934
n1[:power[3,6]],109.73768459917027
n1[:power[4,6]],132.98244518324628
n1[:power[5,6]],120.55813503182452
n1[:power[6,6]],114.39179678211973
