,n65,n140,n162,n172,n69,n74,n75,n84,n89,n90,n92,n103,n108,n122,n133,n143,n148,n151,n152,n166,n168,n170,n184,n189,n200,n203,n145,n78,n81,n107,n111,n132,n157,n159,n161,n180,n171,n58,n60,n70,n76,n105,n115,n117,n118,n120,n124,n128,n129,n130,n256,n934,n821,n464,n676,n294,n952,n1207,n450,n463,n826,n1248,n1145,n1199,n398,n232,n732,n984,n278,n1251,n383,n1139,n1183,n1290,n272,n1027,n358,n436,n660,n730,n860,n742,n394,n617,n1240,n566,n982,n1101,n1022,n274,n868,n1226,n633,n1024,n998,n674,n486,n597,n1138,n412,
n65,0.0,54069.63465736179,54069.63465736231,54069.63465736193,54402.03618993221,54402.0361899325,54402.036189933184,54402.03618993232,54402.03618993227,54402.036189932296,54402.03618993254,54402.03618993264,54402.0361899328,54402.03618993257,54402.03618993231,54402.036189932194,54402.03618993223,54402.03618993221,54402.03618993234,54402.03618993233,54402.03618993242,54402.03618993258,54402.0361899326,54402.036189932725,54402.03618993292,54402.03618993175,54413.80505209781,54431.37664315873,54431.37664315871,54431.37664315878,54431.37664315893,54431.37664315889,54431.37664315893,54431.376643159085,54431.37664315915,54431.376643159296,54452.586746637964,54476.94135763232,54476.941357632466,54476.941357632364,54476.941357632466,54476.94135763248,54476.941357632466,54476.941357632495,54476.94135763256,54476.941357632735,54476.94135763249,54476.94135763282,54476.94135763292,54476.941357632764,75667.93148046242,78889.09658191263,77468.8262604139,76920.2416653201,76657.69939708324,76630.42527624454,76458.45168668307,75165.35654766938,74499.54647360332,74237.70888247108,73480.9109578632,72045.18405154545,70692.86899108184,69222.32192009568,69152.80675465874,68739.33762718711,68450.31461382481,66865.18441297932,64791.53405583425,64616.83954826356,63511.526075007176,63028.07850548151,57262.626184235836,57046.11275126057,56813.37355028865,54325.81208537857,53277.54567277693,51036.168040363205,49813.15182503618,48566.62235167654,47745.324434813876,46726.218163237274,45487.04259805906,45309.62179428042,42694.131612365156,40893.85222003768,39666.57840311355,36903.357938440524,36465.44773594173,36452.67550604457,34471.53650455898,34034.86571037885,31672.96484724906,23933.479922676906,23533.616388223425,22009.75650564175,20790.833864081054,19852.719762598863,19570.993472000406,17474.45908809832,
n140,54069.63465736205,0.0,54069.63465736252,54069.634657362025,54402.036189932536,54402.03618993281,54402.03618993337,54402.03618993261,54402.03618993254,54402.0361899326,54402.03618993273,54402.03618993283,54402.03618993299,54402.03618993277,54402.036189932645,54402.03618993252,54402.03618993243,54402.03618993234,54402.03618993255,54402.03618993263,54402.03618993273,54402.036189932725,54402.03618993286,54402.03618993292,54402.03618993296,54402.036189932085,54413.805052098185,54431.37664315899,54431.37664315913,54431.376643159034,54431.37664315918,54431.37664315921,54431.37664315923,54431.37664315944,54431.376643159594,54431.376643159565,54452.586746638524,54476.94135763301,54476.941357632975,54476.94135763289,54476.941357632975,54476.941357633186,54476.94135763319,54476.94135763321,54476.94135763309,54476.94135763323,54476.941357633186,54476.94135763335,54476.941357633346,54476.94135763349,75667.93148054065,78889.09658198745,77468.82626047742,76920.24166538563,76657.69939715964,76630.42527630873,76458.45168676066,75165.35654773512,74499.54647367247,74237.7088825339,73480.91095792834,72045.18405160986,70692.8689911568,69222.32192014017,69152.80675470208,68739.3376272428,68450.31461387883,66865.18441302201,64791.534055873824,64616.83954830293,63511.526075034824,63028.078505516925,57262.62618422928,57046.11275126611,56813.373550305514,54325.81208538143,53277.54567278482,51036.168040354045,49813.15182503762,48566.62235167502,47745.324434790076,46726.21816321346,45487.042598024454,45309.62179425419,42694.131612337485,40893.85222000688,39666.57840308329,36903.35793839143,36465.44773588579,36452.67550598942,34471.53650448861,34034.86571032191,31672.96484717663,23933.47992259699,23533.61638812865,22009.756505520767,20790.833863974476,19852.71976247639,19570.99347189002,17474.459087986736,
n162,54069.63465736153,54069.634657361385,0.0,54069.63465736146,54402.03618993191,54402.03618993206,54402.03618993285,54402.03618993206,54402.03618993192,54402.03618993188,54402.03618993213,54402.03618993229,54402.03618993244,54402.036189932325,54402.036189931896,54402.03618993189,54402.03618993186,54402.0361899319,54402.036189931896,54402.036189932005,54402.03618993211,54402.03618993206,54402.03618993211,54402.03618993233,54402.03618993241,54402.03618993144,54413.80505209745,54431.37664315828,54431.376643158466,54431.37664315825,54431.37664315845,54431.37664315837,54431.37664315858,54431.376643158655,54431.37664315878,54431.37664315883,54452.586746637644,54476.94135763194,54476.94135763197,54476.94135763205,54476.941357632095,54476.94135763218,54476.941357632204,54476.9413576322,54476.94135763211,54476.94135763222,54476.941357632386,54476.9413576323,54476.94135763236,54476.94135763257,75667.93148044951,78889.09658190116,77468.82626038736,76920.24166529682,76657.69939707432,76630.42527623376,76458.45168668263,75165.35654766764,74499.5464736008,74237.70888245395,73480.91095785137,72045.1840515403,70692.86899108584,69222.32192008437,69152.80675464864,68739.33762717294,68450.31461383258,66865.18441298271,64791.53405583161,64616.83954825988,63511.526075006856,63028.07850547484,57262.626184233304,57046.11275125553,56813.37355029809,54325.81208538653,53277.54567278688,51036.168040359764,49813.15182503063,48566.62235167561,47745.32443480772,46726.21816323011,45487.04259804471,45309.6217942945,42694.131612374775,40893.852220053595,39666.57840314017,36903.35793844221,36465.44773596246,36452.675506049185,34471.53650457447,34034.86571039231,31672.96484727251,23933.4799226953,23533.61638823482,22009.756505640624,20790.833864108543,19852.719762619065,19570.99347200726,17474.459088105203,
n172,54069.63465736205,54069.63465736184,54069.63465736245,0.0,54402.03618993241,54402.03618993269,54402.03618993336,54402.03618993254,54402.03618993237,54402.03618993235,54402.036189932594,54402.03618993277,54402.03618993293,54402.036189932674,54402.03618993237,54402.03618993236,54402.0361899323,54402.03618993238,54402.03618993242,54402.03618993249,54402.03618993269,54402.03618993267,54402.036189932696,54402.03618993279,54402.03618993283,54402.0361899319,54413.80505209807,54431.37664315885,54431.376643158925,54431.37664315898,54431.37664315906,54431.37664315898,54431.37664315908,54431.37664315928,54431.37664315932,54431.376643159456,54452.58674663822,54476.94135763262,54476.94135763271,54476.94135763265,54476.94135763266,54476.941357632924,54476.94135763279,54476.94135763276,54476.94135763284,54476.94135763302,54476.94135763296,54476.94135763305,54476.941357633164,54476.94135763305,75667.93148049024,78889.09658197073,77468.82626045331,76920.24166535665,76657.69939711811,76630.42527626759,76458.45168671996,75165.35654769822,74499.54647363574,74237.70888249658,73480.91095788755,72045.18405157444,70692.86899111979,69222.32192011818,69152.80675467852,68739.33762719967,68450.31461385632,66865.18441299086,64791.53405585171,64616.83954826381,63511.52607503568,63028.078505503516,57262.626184236826,57046.11275126085,56813.37355030355,54325.81208538992,53277.545672769484,51036.16804034828,49813.15182501933,48566.62235167421,47745.32443479933,46726.21816322502,45487.04259803656,45309.62179427136,42694.13161236707,40893.85222002099,39666.57840309905,36903.35793840745,36465.44773592874,36452.675506017236,34471.536504524025,34034.86571034955,31672.964847213207,23933.479922627514,23533.61638816674,22009.756505568548,20790.833864046115,19852.719762538138,19570.993471961152,17474.459088056963,
n69,53787.70956242949,53787.70956242937,53787.7095624298,53787.7095624294,0.0,54069.63465736209,54069.63465736287,54069.6346573621,54069.63465736192,54069.63465736188,54069.63465736215,54069.63465736221,54069.63465736247,54069.63465736225,54069.63465736199,54069.634657361894,54069.634657361974,54069.6346573619,54069.63465736192,54069.634657362025,54069.63465736202,54069.63465736219,54069.63465736221,54069.63465736233,54069.63465736244,54069.63465736145,54065.090257098935,54063.89017296567,54063.890172965774,54063.89017296581,54063.890172965876,54063.89017296598,54063.8901729659,54063.89017296604,54063.890172966145,54063.89017296631,54063.58717137827,54063.10598609059,54063.10598609062,54063.105986090624,54063.10598609073,54063.10598609082,54063.10598609086,54063.10598609085,54063.105986090835,54063.10598609098,54063.10598609085,54063.105986091075,54063.10598609122,54063.10598609125,52093.90073167192,51794.228606802106,51923.48313026421,51973.32511896352,51997.20184187417,51999.68331202153,52015.33465513787,52133.28633726893,52194.191150834384,52218.17154127269,52287.56851457729,52419.54907963675,52544.226045731084,52680.172455834574,52686.60786735058,52724.90125302165,52751.685347061546,52898.81004398375,53091.81676389854,53108.101869799306,53211.22041530798,53256.363442040834,53796.00077595257,53816.29575967578,53838.11316090811,54071.38312198863,54169.72078464002,54380.04396071108,54494.83958448387,54611.86514769193,54688.982469740484,54784.688274475695,54901.0843755743,54917.7517251415,55163.523472086556,55332.76636969736,55448.17709083163,55708.130564018276,55749.34064448657,55750.54264398289,55937.02428629312,55978.13690437562,56200.56763086781,56930.05666695868,56967.76765330664,57111.483164375706,57226.40205648811,57314.759357235365,57341.26845323298,57538.0250415732,
n74,53787.70956242923,53787.709562429154,53787.70956242971,53787.70956242911,54069.63465736175,0.0,54069.63465736258,54069.634657361814,54069.634657361756,54069.63465736169,54069.63465736195,54069.63465736203,54069.63465736228,54069.63465736209,54069.634657361734,54069.63465736169,54069.63465736164,54069.634657361625,54069.634657361654,54069.634657361836,54069.634657361916,54069.63465736193,54069.63465736193,54069.634657362156,54069.63465736226,54069.634657361166,54065.09025709877,54063.890172965584,54063.890172965475,54063.890172965635,54063.890172965635,54063.890172965635,54063.89017296573,54063.890172965876,54063.89017296587,54063.89017296612,54063.587171377985,54063.105986090406,54063.10598609037,54063.10598609036,54063.10598609055,54063.105986090566,54063.10598609057,54063.105986090544,54063.10598609062,54063.10598609057,54063.10598609082,54063.10598609065,54063.10598609098,54063.105986091046,52093.900731671725,51794.2286068032,51923.48313026553,51973.32511896478,51997.20184187535,51999.68331202245,52015.33465513896,52133.28633726994,52194.19115083532,52218.17154127397,52287.56851457828,52419.549079637865,52544.226045732335,52680.17245583559,52686.60786735135,52724.901253022435,52751.68534706248,52898.81004398448,53091.81676389953,53108.10186980039,53211.22041530881,53256.36344204161,53796.00077595342,53816.295759676796,53838.11316090883,54071.38312198933,54169.72078464133,54380.04396071079,54494.83958448792,54611.8651476923,54688.98246974232,54784.68827447627,54901.08437557589,54917.7517251421,55163.523472087356,55332.76636969703,55448.177090832134,55708.13056401955,55749.34064448692,55750.54264398413,55937.02428629344,55978.13690437621,56200.56763086842,56930.05666695933,56967.767653307455,57111.48316437696,57226.40205648845,57314.75935723606,57341.26845323366,57538.02504157389,
n75,53787.70956242854,53787.70956242854,53787.70956242887,53787.709562428456,54069.634657361086,54069.634657361275,0.0,54069.63465736115,54069.63465736099,54069.63465736106,54069.63465736119,54069.63465736137,54069.63465736167,54069.63465736139,54069.63465736116,54069.634657361035,54069.63465736115,54069.634657361064,54069.63465736106,54069.634657361166,54069.63465736119,54069.63465736124,54069.634657361385,54069.63465736149,54069.63465736168,54069.634657360606,54065.090257098134,54063.89017296485,54063.890172964944,54063.890172964966,54063.89017296515,54063.89017296518,54063.890172965104,54063.89017296519,54063.89017296528,54063.89017296539,54063.58717137747,54063.10598608982,54063.105986089846,54063.10598608999,54063.10598608993,54063.10598608994,54063.10598608997,54063.105986089955,54063.10598609002,54063.105986090006,54063.10598609011,54063.10598609035,54063.10598609008,54063.10598609036,52093.90073167194,51794.22860680681,51923.48313026947,51973.32511896921,51997.20184187808,51999.68331202485,52015.33465514272,52133.28633727297,52194.191150840685,52218.17154127846,52287.56851458248,52419.54907964112,52544.2260457364,52680.172455839085,52686.60786735494,52724.90125302594,52751.68534706589,52898.81004398968,53091.81676390341,53108.101869812795,53211.220415309326,53256.36344204225,53796.00077595353,53816.29575967718,53838.11316090842,54071.38312198924,54169.72078463978,54380.0439607101,54494.83958448105,54611.865147690885,54688.98246973882,54784.68827447399,54901.0843755711,54917.75172513985,55163.52347208434,55332.76636969554,55448.177090829406,55708.13056401592,55749.3406444845,55750.542643980785,55937.02428629069,55978.13690437314,56200.56763086532,56930.05666695563,56967.767653303774,57111.48316437301,57226.40205648475,57314.75935723207,57341.26845322998,57538.02504157021,
n84,53787.70956242936,53787.709562429365,53787.70956242976,53787.70956242932,54069.63465736174,54069.634657362105,54069.6346573627,0.0,54069.63465736189,54069.63465736183,54069.63465736207,54069.634657362345,54069.63465736248,54069.63465736228,54069.63465736196,54069.63465736192,54069.634657361836,54069.63465736184,54069.63465736196,54069.63465736204,54069.634657362025,54069.63465736204,54069.63465736216,54069.634657362345,54069.63465736236,54069.63465736139,54065.0902570989,54063.89017296559,54063.89017296571,54063.890172965774,54063.89017296582,54063.890172965934,54063.890172965854,54063.89017296591,54063.89017296607,54063.89017296615,54063.58717137827,54063.105986090624,54063.105986090646,54063.10598609053,54063.10598609067,54063.105986090704,54063.10598609076,54063.10598609072,54063.10598609076,54063.10598609092,54063.10598609097,54063.10598609103,54063.10598609103,54063.105986091105,52093.90073167243,51794.228606802804,51923.48313026502,51973.32511896435,51997.20184187509,51999.683312021974,52015.33465513818,52133.28633726922,52194.19115083466,52218.17154127319,52287.56851457741,52419.5490796368,52544.22604573118,52680.1724558348,52686.607867350525,52724.9012530215,52751.6853470613,52898.810043983496,53091.81676389826,53108.10186979912,53211.220415307645,53256.36344204066,53796.000775952125,53816.29575967534,53838.113160907706,54071.38312198824,54169.72078464035,54380.0439607113,54494.83958448212,54611.86514769193,54688.982469739785,54784.688274475,54901.084375572194,54917.75172514068,55163.523472085486,55332.76636969672,55448.17709083066,55708.1305640172,55749.34064448563,55750.54264398201,55937.024286292006,55978.13690437418,56200.56763086652,56930.056666957054,56967.767653305076,57111.48316437438,57226.40205648627,57314.759357233655,57341.26845323104,57538.02504157168,
n89,53787.70956242949,53787.70956242935,53787.709562429765,53787.70956242938,54069.634657362,54069.634657362105,54069.63465736296,54069.634657361974,0.0,54069.63465736197,54069.63465736202,54069.634657362316,54069.63465736255,54069.634657362265,54069.634657362,54069.634657362054,54069.6346573619,54069.63465736201,54069.634657362025,54069.63465736201,54069.63465736212,54069.63465736217,54069.6346573623,54069.63465736241,54069.63465736253,54069.634657361545,54065.09025709895,54063.89017296583,54063.89017296583,54063.890172965715,54063.89017296569,54063.89017296593,54063.89017296609,54063.89017296612,54063.89017296613,54063.8901729663,54063.587171378276,54063.10598609057,54063.105986090566,54063.105986090646,54063.10598609073,54063.10598609074,54063.10598609076,54063.105986090835,54063.10598609104,54063.10598609083,54063.105986091025,54063.10598609123,54063.105986091025,54063.10598609124,52093.90073167209,51794.228606802346,51923.4831302645,51973.325118963934,51997.20184187461,51999.68331202161,52015.33465513778,52133.28633726902,52194.191150834355,52218.17154127287,52287.568514577324,52419.54907963693,52544.22604573112,52680.17245583463,52686.60786735029,52724.9012530215,52751.685347061335,52898.810043983234,53091.8167638982,53108.10186979895,53211.2204153078,53256.363442040536,53796.00077595213,53816.29575967553,53838.113160907895,54071.383121988314,54169.720784640114,54380.04396071118,54494.83958448316,54611.86514769197,54688.98246974019,54784.68827447549,54901.084375573075,54917.7517251412,55163.523472086206,55332.76636969704,55448.177090831,55708.13056401777,55749.34064448603,55750.54264398241,55937.02428629255,55978.13690437504,56200.56763086742,56930.056666957884,56967.76765330605,57111.48316437521,57226.4020564871,57314.759357234696,57341.26845323227,57538.02504157235,
n90,53787.709562429474,53787.709562429365,53787.7095624299,53787.70956242933,54069.63465736196,54069.63465736225,54069.6346573628,54069.63465736203,54069.6346573619,0.0,54069.63465736201,54069.63465736218,54069.634657362396,54069.63465736219,54069.63465736196,54069.6346573618,54069.63465736186,54069.63465736175,54069.634657361865,54069.63465736186,54069.63465736195,54069.63465736215,54069.634657362156,54069.634657362265,54069.6346573624,54069.63465736139,54065.09025709909,54063.89017296562,54063.89017296571,54063.89017296575,54063.890172965825,54063.890172965854,54063.890172965956,54063.890172966094,54063.89017296608,54063.89017296623,54063.587171378305,54063.10598609063,54063.10598609067,54063.10598609054,54063.10598609054,54063.105986090675,54063.10598609084,54063.10598609086,54063.105986090755,54063.10598609085,54063.105986090966,54063.10598609089,54063.105986091105,54063.10598609108,52093.90073167258,51794.22860680333,51923.48313026549,51973.32511896496,51997.20184187573,51999.683312022644,52015.33465513883,52133.28633726993,52194.19115083542,52218.1715412737,52287.56851457826,52419.54907963774,52544.22604573209,52680.172455835505,52686.60786735125,52724.90125302226,52751.68534706223,52898.81004398434,53091.81676389925,53108.10186979979,53211.2204153085,53256.36344204146,53796.00077595312,53816.29575967606,53838.11316090845,54071.383121989005,54169.72078464012,54380.04396071069,54494.83958448465,54611.86514769229,54688.982469740746,54784.68827447577,54901.084375574435,54917.751725141374,55163.523472086155,55332.76636969713,55448.17709083143,55708.13056401841,55749.3406444863,55750.54264398252,55937.02428629279,55978.136904374915,56200.56763086713,56930.0566669582,56967.76765330584,57111.4831643756,57226.402056487386,57314.75935723486,57341.26845323204,57538.02504157224,
