demand,node,product,valued1220,n256,p2,10617.721018286304
d1898,n934,p2,7948.950850772492
d1785,n821,p2,6096.238995788415
d1428,n464,p2,5691.518978586558
d1640,n676,p2,5522.5228135976795
d1258,n294,p2,5505.743713446141
d1916,n952,p2,5403.04804495732
d2171,n1207,p2,4767.851500434852
d1414,n450,p2,4511.473881278594
d1427,n463,p2,4420.7371761595095
d1790,n826,p2,4185.773774077311
d2212,n1248,p2,3831.1686901734365
d2109,n1145,p2,3579.352066868687
d2163,n1199,p2,3368.955008902912
d1362,n398,p2,3360.2780271906227
d1196,n232,p2,3310.6638347992935
d1696,n732,p2,3277.8841912940766
d1948,n984,p2,3121.2356991366178
d1242,n278,p2,2959.989433437222
d2215,n1251,p2,2948.0864857895076
d1347,n383,p2,2877.539866630222
d2103,n1139,p2,2848.987673452719
d2147,n1183,p2,2580.7996179352317
d2254,n1290,p2,2572.604989566506
d1236,n272,p2,2563.909336824271
d1991,n1027,p2,2477.5293709984235
d1322,n358,p2,2444.2676563340083
d1400,n436,p2,2378.282313888151
d1624,n660,p2,2344.835122625332
d1694,n730,p2,2312.3524214922413
d1824,n860,p2,2291.7538211048795
d1706,n742,p2,2267.0024571414783
d1358,n394,p2,2238.0049718221317
d1581,n617,p2,2233.944719490432
d2204,n1240,p2,2176.4321008829297
d1530,n566,p2,2139.0360128113275
d1946,n982,p2,2114.3771600940954
d2065,n1101,p2,2060.8138937244676
d1986,n1022,p2,2052.5261910683607
d1238,n274,p2,2052.285155486417
d1832,n868,p2,2015.2970161893272
d2190,n1226,p2,2007.231960262907
d1597,n633,p2,1963.914579006728
d1988,n1024,p2,1817.3220356928075
d1962,n998,p2,1809.0343330382786
d1638,n674,p2,1775.9582039200152
d1450,n486,p2,1747.0351244935453
d1561,n597,p2,1722.28347704874
d2102,n1138,p2,1714.1997474685684
d1376,n412,p2,1627.3377105386721
