0,0.009,0.01015,0.02175,0.0366,0.05465,0.0785,0.1068,0.14105,0.1823,0.2332,0.2742,0.3212,0.38175,0.4075,0.45015,0.4833,0.51375,0.53195,0.5414,0.53945,0.53565,0.5289,0.5215,0.513,0.50725,0.49735,0.4947,0.4824,0.47395,0.46725,0.4606,0.4494,0.4414,0.4311,0.4263,0.41855,0.413,0.41075,0.4039,0.398,0.39385,0.3852,0.37985,0.37475,0.3679,0.36305,0.35855
0,0.0075,0.0142,0.02475,0.042,0.07475,0.1093,0.1551,0.21835,0.2944,0.3904,0.46225,0.53815,0.60465,0.6582,0.69395,0.72645,0.75035,0.75785,0.7614,0.76635,0.7659,0.7669,0.7638,0.75955,0.75875,0.75845,0.7542,0.7524,0.75215,0.73975,0.72405,0.7226,0.72365,0.719,0.7228,0.72005,0.71935,0.7268,0.7164,0.72145,0.7187,0.72315,0.7265,0.72885,0.73205,0.72995,0.7365
0,0.0091,0.01125,0.01305,0.0203,0.02195,0.0313,0.038,0.0437,0.04855,0.057,0.06475,0.07065,0.08025,0.08405,0.08495,0.094,0.1016,0.0981,0.10045,0.10435,0.10415,0.10645,0.10495,0.10565,0.10585,0.10845,0.1132,0.11245,0.11095,0.1124,0.1124,0.10895,0.10895,0.10555,0.1095,0.107,0.10875,0.1112,0.11165,0.11025,0.1142,0.1126,0.11335,0.11315,0.11265,0.1106,0.1099
0.0114,0.021,0.0152,0.01295,0.0124,0.01335,0.0121,0.01355,0.01125,0.00895,0.0097,0.01235,0.0105,0.012,0.00755,0.00445,0.0065,0.0091,0.00305,0.0017,0.00145,0.0007,0.0012,0.00035,0,0.0017,0.00125,0.0078,0.00635,0.00725,0.0096,0.01415,0.0145,0.0168,0.0221,0.0275,0.03395,0.0398,0.051,0.0609,0.06975,0.0819,0.09685,0.1117,0.12715,0.13865,0.155,0.1734
0,0.0049,0.01045,0.01455,0.0246,0.04025,0.05605,0.07975,0.11235,0.14705,0.2029,0.26635,0.3348,0.3954,0.45105,0.50015,0.55225,0.5938,0.6184,0.6406,0.65475,0.66615,0.6674,0.67305,0.6733,0.6746,0.6797,0.68645,0.68505,0.70085,0.6965,0.68935,0.6947,0.69195,0.68165,0.6817,0.6738,0.67345,0.66855,0.6627,0.662,0.6601,0.668,0.66335,0.65935,0.6566,0.64645,0.64415
0,0.01435,0.02905,0.0501,0.0735,0.10955,0.14435,0.18795,0.24185,0.30215,0.3685,0.4308,0.4755,0.50885,0.53825,0.56745,0.5995,0.62905,0.6495,0.6631,0.6778,0.68265,0.6891,0.69365,0.6993,0.6966,0.6999,0.696,0.6947,0.68745,0.6802,0.67015,0.6657,0.65775,0.6527,0.6496,0.6431,0.64555,0.6466,0.63995,0.6442,0.6398,0.6447,0.6462,0.6454,0.6484,0.6471,0.64995
0.00615,0.0113,0.0074,0.0055,0.0033,0.00405,0.00425,0.0056,0.00315,0.0009,0.004,0.00575,0.0053,0.00655,0.00085,0,0.00555,0.0092,0.00595,0.0076,0.01115,0.0141,0.01975,0.02325,0.02915,0.03505,0.03835,0.047,0.04595,0.0486,0.05325,0.05885,0.06135,0.06555,0.0711,0.07685,0.08315,0.08695,0.09375,0.09865,0.10025,0.10455,0.1077,0.1097,0.1123,0.1114,0.1134,0.11335
0,0.01085,0.00955,0.01225,0.0156,0.0198,0.02625,0.03165,0.03835,0.04675,0.05705,0.07115,0.0795,0.0926,0.0998,0.11565,0.128,0.1333,0.1405,0.1533,0.1643,0.17015,0.1883,0.18405,0.2013,0.21085,0.2251,0.2355,0.239,0.25135,0.26355,0.27745,0.284,0.28845,0.29775,0.3047,0.318,0.3264,0.3418,0.35295,0.35775,0.327,0.33425,0.3414,0.33905,0.334,0.334,0.33155
0.0019,0.00875,0.00125,0.00025,0.00055,0.0004,0.0017,0.00115,0.00165,0,0.0011,0.0076,0.0067,0.00875,0.00855,0.0089,0.0158,0.0235,0.0236,0.0322,0.0441,0.0567,0.0729,0.0894,0.10715,0.12715,0.1449,0.168,0.1849,0.20155,0.2189,0.23655,0.24925,0.2634,0.2756,0.28795,0.2979,0.31605,0.3275,0.33415,0.3404,0.34945,0.3572,0.36275,0.36685,0.3729,0.3769,0.38015
0,0.0039,0.0041,0.0051,0.01345,0.01835,0.0284,0.03705,0.0487,0.05705,0.0698,0.0843,0.09655,0.10865,0.1148,0.1273,0.134,0.1394,0.12385,0.1224,0.1307,0.13005,0.13225,0.13205,0.1284,0.1289,0.1259,0.13165,0.1288,0.1283,0.12755,0.1303,0.1251,0.1225,0.1216,0.1214,0.117,0.1169,0.11975,0.11755,0.11485,0.1177,0.1166,0.11525,0.11305,0.1129,0.1113,0.11175
