Hour,Solar-bus015,Solar-bus018,Solar-bus019,Solar-bus032,Solar-bus054,Solar-bus055,Solar-bus069,Solar-bus076,Solar-bus092,Solar-bus100,Solar-bus104,Solar-bus105,Solar-bus110,Solar-bus112
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,2.77406175,0,0,0
26,0,0,0,0,0,0,0,0,7.692299099,2.84766873,19.82404289,5.835066045,4.990739034,3.153719156
27,0,0,0,0,0.628109068,0,0,0,20.39096346,7.186916609,44.49586512,15.0187885,12.94671033,8.191199995
28,0.642134032,1.116582841,0.260049401,1.099119095,2.954816157,0.000119223,0.642049476,0.000119343,38.49365986,12.76267562,74.39794065,27.3535655,23.8113533,15.08780905
29,2.516572758,5.07795437,1.792842436,6.713554403,7.798217725,0.107938387,2.54600899,0.108046353,62.39805509,19.31987774,107.1386817,42.64179516,37.52810739,23.81891286
30,5.772479028,12.01252134,4.66818103,16.72374006,15.72527867,0.31072238,5.829313084,0.311033181,92.02653171,26.59282645,140.6491728,60.53438816,53.90959001,34.25169571
31,10.05765962,20.95238807,9.120341496,29.67845605,26.04604513,0.590422114,9.993965771,0.591012685,125.4003355,34.27331115,174.1511882,80.07630538,72.24513056,45.8206129
32,14.86470414,30.54896343,15.35236877,43.55506156,37.75633357,0.919285283,14.35592111,0.920204799,160.065428,42.04249275,207.1891742,100.1610203,91.69323646,57.85193748
33,19.68620219,39.45365634,23.5673078,56.33091577,49.85196045,1.269559579,18.23113314,1.270829458,193.5677708,49.58153216,239.3075773,119.6820063,111.4124151,69.6719425
34,24.15755129,46.60618548,33.73203859,66.40070945,61.58394266,1.609425643,21.07788108,1.611035474,223.9852385,56.61799821,270.0489481,137.733219,130.6294102,80.723639
35,28.48538053,52.09950878,44.86878145,73.8284597,73.22409877,1.8907959,22.92374477,1.892687172,251.5233583,63.06509152,298.9482538,154.2105423,148.8439108,90.91698988
36,33.01912691,56.31489395,55.76359175,79.09551523,85.2994478,2.061515721,23.9386292,2.063577756,276.9195704,68.88242065,325.5385656,169.2103423,165.6238423,100.2786961
37,38.10822742,59.63360872,65.20252489,82.68322473,98.33700876,2.069430477,24.29243936,2.071500429,300.9113149,74.02959413,349.3529547,182.828985,180.5371299,108.8354584
38,43.84462316,62.37918305,72.294935,85.09925633,112.4852366,1.893828512,24.17920686,1.895722818,323.8634218,78.51922387,370.0485939,195.1639665,193.2735975,116.6100588
39,49.2902716,64.6441959,77.44337127,86.95655592,126.3783301,1.639770058,23.88946976,1.641410241,344.6502802,82.57593511,387.779062,206.3173029,204.010663,123.6096031
40,53.24963431,66.46348847,81.37368166,88.89438883,138.2719238,1.443758318,23.73789275,1.44520244,361.7736688,86.47735642,402.8220392,216.3921402,213.0476425,129.8372781
41,54.52717285,67.87190196,84.81171412,91.55202037,146.4216526,1.442296498,24.03914052,1.443739158,373.7353664,90.5011164,415.4552058,225.4916245,220.6838525,135.2962707
42,52.52479297,68.92091113,88.27711329,95.61076791,149.7453867,1.730954188,25.12650871,1.732685579,379.7826355,94.70036522,425.920004,233.6066925,227.1679108,139.9835793
43,49.03417712,69.72852496,91.46471053,101.920157,149.8099389,2.241566529,27.4078168,2.24380866,382.1446734,98.23033949,434.3129235,240.2794434,232.5456419,143.8714492
44,46.44445192,70.42938595,93.86313387,111.371765,148.8443577,2.865035046,31.30951524,2.867900803,383.7961614,100.0217974,440.6942159,244.9397668,236.8121718,146.9259373
45,47.144744,71.15813664,94.96101137,124.8571697,149.0776915,3.492261268,37.25805449,3.495754409,387.7117806,99.0054972,445.124133,247.0175524,239.9626265,149.1131004
46,52.74005384,72.04253466,94.47573256,142.5512376,152.0213743,4.028064598,45.35137688,4.032093677,395.8223214,94.66078693,447.650332,246.0767082,241.9891955,150.4211907
47,61.69887735,73.18279813,93.03973299,161.7619916,156.3163821,4.432935949,54.37339238,4.437370002,405.8830117,88.66137422,448.2700931,242.2172147,242.8723215,150.9272409
48,71.70558427,74.67226026,91.51420973,179.0807438,159.8860765,4.681284111,62.77950283,4.685966575,414.6051888,83.22955658,446.9681021,235.6730707,242.5895109,150.7304791
49,80.44454437,76.60425429,90.76035983,191.0988062,160.6538188,4.747517875,69.02511009,4.752266589,418.70019,80.5876315,443.7290448,226.678275,241.1182697,149.9301333
50,85.95187569,78.90936861,91.35072633,195.2363843,157.2004749,4.62607435,71.96501253,4.63070159,415.8721649,82.10442367,438.5452228,215.7737727,238.44501,148.579423
