#1.Supply reference no.,2.Node,3.Time,4.Product,5.Bid,6.Capacity,7. Emissions,8. Emissions coefficients
S0100,N05035,T0,Recyclables,80,26429.67496834107,,
S0101,N05037,T0,Recyclables,80,9237.188687209793,,
S0102,N05039,T0,Recyclables,80,3557.028281975517,,
S0103,N05041,T0,Recyclables,80,6253.060363022372,,
S0104,N05043,T0,Recyclables,80,9520.894892359645,,
S0105,N05045,T0,Recyclables,80,67770.11397214014,,
S0106,N05047,T0,Recyclables,80,9382.059940903335,,
S0107,N05049,T0,Recyclables,80,6626.21359223301,,
S0108,N05051,T0,Recyclables,80,54974.25073870832,,
S0109,N05053,T0,Recyclables,80,9854.537779653861,,
S0110,N05055,T0,Recyclables,80,25097.847192908397,,
S0111,N05057,T0,Recyclables,80,11010.764035457998,,
S0112,N05059,T0,Recyclables,80,18130.856901646264,,
S0113,N05061,T0,Recyclables,80,7015.829463908823,,
S0114,N05063,T0,Recyclables,80,20818.657661460533,,
S0115,N05065,T0,Recyclables,80,7450.443224989447,,
S0116,N05067,T0,Recyclables,80,9194.385816800337,,
S0117,N05069,T0,Recyclables,80,36909.24440692275,,
S0118,N05071,T0,Recyclables,80,14129.886027859857,,
S0119,N05073,T0,Recyclables,80,3461.544955677501,,
S0120,N05075,T0,Recyclables,80,8898.607007176022,,
S0121,N05077,T0,Recyclables,80,4719.290840016884,,
S0122,N05079,T0,Recyclables,80,7101.435204727733,,
S0123,N05081,T0,Recyclables,80,6599.324609539891,,
S0124,N05083,T0,Recyclables,80,11595.736597720557,,
S0125,N05085,T0,Recyclables,80,40616.082735331365,,
S0126,N05087,T0,Recyclables,80,9065.977205571971,,
S0127,N05089,T0,Recyclables,80,9233.347403967919,,
S0128,N05091,T0,Recyclables,80,23376.952300548754,,
S0129,N05093,T0,Recyclables,80,22326.08695652174,,
S0130,N05095,T0,Recyclables,80,3730.9835373575347,,
S0131,N05097,T0,Recyclables,80,4655.635289151541,,
S0132,N05099,T0,Recyclables,80,4560.151962853525,,
S0133,N05101,T0,Recyclables,80,3964.7530603630225,,
S0134,N05103,T0,Recyclables,80,12429.295061207262,,
S0135,N05105,T0,Recyclables,80,5497.973828619671,,
S0136,N05107,T0,Recyclables,80,9091.768678767414,,
S0137,N05109,T0,Recyclables,80,5581.384550443225,,
S0138,N05111,T0,Recyclables,80,12602.1528070916,,
S0139,N05113,T0,Recyclables,80,10547.615027437738,,
S0140,N05115,T0,Recyclables,80,34780.6247361756,,
S0141,N05117,T0,Recyclables,80,4544.786829886028,,
S0142,N05119,T0,Recyclables,80,219021.73913043478,,
S0143,N05121,T0,Recyclables,80,10190.924440692275,,
S0144,N05123,T0,Recyclables,80,12670.747150696496,,
S0145,N05125,T0,Recyclables,80,67725.11608273533,,
S0146,N05127,T0,Recyclables,80,5397.551709582102,,
S0147,N05129,T0,Recyclables,80,4295.652173913044,,
S0148,N05131,T0,Recyclables,80,70130.30814689743,,
S0149,N05133,T0,Recyclables,80,8691.726466863656,,
S0150,N05135,T0,Recyclables,80,9477.54326720135,,
S0151,N05137,T0,Recyclables,80,6782.059940903335,,
S0152,N05139,T0,Recyclables,80,21431.06796116505,,
S0153,N05141,T0,Recyclables,80,8668.13001266357,,
S0154,N05143,T0,Recyclables,80,134922.8788518362,,
S0155,N05145,T0,Recyclables,80,42156.43731532292,,
S0156,N05147,T0,Recyclables,80,3440.143520472773,,
S0157,N05149,T0,Recyclables,80,11119.417475728156,,
S0158,N06001,T0,Recyclables,80,923199.1979738286,,
S0159,N06003,T0,Recyclables,80,660.7007176023639,,
S0160,N06005,T0,Recyclables,80,22210.299704516674,,
