WARNING: using JuMP.getdual in module Main conflicts with an existing identifier.
  [nonlinear] <nonlin>: ((1.000000 * <_var0_>) + (1.000000 * <_var1_>) + (1.000000 * <_var2_>) + (1.000000 * <_var3_>)) == 8;
violation: left hand side is violated by 8 (scaled: 8)
all 1 solutions given by solution candidate storage are infeasible

presolving:
(round 1, fast)       0 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 1397 upgd conss, 0 impls, 0 clqs
(round 2, fast)       0 del vars, 250 del conss, 0 add conss, 3234 chg bounds, 0 chg sides, 0 chg coeffs, 1397 upgd conss, 0 impls, 0 clqs
(round 3, exhaustive) 0 del vars, 495 del conss, 0 add conss, 3234 chg bounds, 0 chg sides, 0 chg coeffs, 1397 upgd conss, 0 impls, 0 clqs
presolving (4 rounds: 4 fast, 2 medium, 2 exhaustive):
 0 deleted vars, 495 deleted constraints, 0 added constraints, 3234 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 1906 variables (0 bin, 0 int, 0 impl, 1906 cont) and 902 constraints
    901 constraints of type <linear>
      1 constraints of type <quadratic>
Presolving Time: 2.06

  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
      1 |     0 |   841 |     - |9108k| 3.614750e+05 |      --      |    Inf 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit http://projects.coin-or.org/Ipopt
******************************************************************************

   2600 |  2601 | 19619 |   7.2 | 250M| 3.783715e+05 | 6.974285e+05 |  84.32%
   2700 |  2701 | 20002 |   7.1 | 255M| 3.785083e+05 | 6.974285e+05 |  84.26%
   2800 |  2801 | 20377 |   7.0 | 260M| 3.786178e+05 | 6.974285e+05 |  84.20%
y  2830 |  2829 | 20472 |   6.9 | 262M| 3.786367e+05 | 6.942612e+05 |  83.36%
   2900 |  2901 | 20724 |   6.9 | 265M| 3.787028e+05 | 6.942612e+05 |  83.33%
  node  | left  |LP iter|LP it/n| mem |  dualbound   | primalbound  |  gap   
   3000 |  3001 | 21088 |   6.8 | 293M| 3.788169e+05 | 6.942612e+05 |  83.27%
   3100 |  3101 | 21497 |   6.7 | 298M| 3.789071e+05 | 6.942612e+05 |  83.23%
   3200 |  3201 | 21887 |   6.6 | 303M| 3.790301e+05 | 6.942612e+05 |  83.17%
   3300 |  3301 | 22290 |   6.5 | 308M| 3.791203e+05 | 6.942612e+05 |  83.12%
   3400 |  3401 | 22713 |   6.4 | 313M| 3.791668e+05 | 6.942612e+05 |  83.10%
   3500 |  3501 | 23136 |   6.4 | 318M| 3.792480e+05 | 6.942612e+05 |  83.06%
   3600 |  3601 | 23536 |   6.3 | 350M| 3.793002e+05 | 6.942612e+05 |  83.04%
   3700 |  3701 | 23923 |   6.2 | 355M| 3.793647e+05 | 6.942612e+05 |  83.01%
   3800 |  3801 | 24318 |   6.2 | 360M| 3.794250e+05 | 6.942612e+05 |  82.98%
   3900 |  3901 | 24709 |   6.1 | 365M| 3.795018e+05 | 6.942612e+05 |  82.94%
   4000 |  4001 | 25098 |   6.1 | 370M| 3.795300e+05 | 6.942612e+05 |  82.93%
   4100 |  4101 | 25495 |   6.0 | 375M| 3.795621e+05 | 6.942612e+05 |  82.91%
   4200 |  4201 | 25848 |   6.0 | 380M| 3.796347e+05 | 6.942612e+05 |  82.88%
   4300 |  4301 | 26211 |   5.9 | 417M| 3.796967e+05 | 6.942612e+05 |  82.85%
   4400 |  4401 | 26572 |   5.8 | 422M| 3.797458e+05 | 6.942612e+05 |  82.82%
