,date,secchi_m,chla,TP,Perception
0,1973-09-17,,,70,
1,1973-11-27,,,40,
2,1974-02-12,,,80,
3,1974-04-08,,,40,
4,1974-07-15,,,30,
5,1974-11-22,,,20,
6,1975-02-24,,,0,
7,1987-08-09,2.0,,,
8,1987-08-23,2.4,,,
9,1991-05-02,,3.0,13,
10,1991-06-28,,,12,
11,1991-06-29,,3.0,14,
12,1991-06-30,8.8,,11,
13,1991-07-11,2.4,,,2.0
14,1991-07-18,2.0,,,2.0
15,1991-07-21,,6.0,15,
16,1991-07-25,2.3,,,2.0
17,1991-08-01,2.5,,,2.0
18,1991-08-15,2.1,,,2.0
19,1991-08-20,,6.0,4,
20,1991-08-22,1.7,,,2.0
21,1991-08-29,1.8,,,2.0
22,1991-09-05,1.7,,,2.0
23,1991-09-12,2.0,,,3.0
24,1991-09-19,1.8,,,3.0
25,1991-09-26,2.1,,,2.0
26,1991-10-03,2.2,,,2.0
27,1991-10-11,2.7,,,2.0
28,1991-10-18,2.6,,,2.0
29,1991-10-25,2.6,,,2.0
30,1993-06-11,1.6,,,2.0
31,1993-06-22,2.5,,,2.0
32,1993-07-09,2.1,,,2.0
33,1993-07-21,2.3,,,2.0
34,1993-07-28,1.8,,,2.0
35,1993-08-06,1.4,,,2.0
36,1993-08-13,1.7,,,2.0
37,1993-08-20,1.8,,,2.0
38,1993-08-26,2.1,,,2.0
39,1993-09-03,2.1,,,2.0
40,1993-09-11,1.7,,,2.0
41,1993-09-17,2.1,,,2.0
42,1993-09-23,2.1,,,2.0
43,1993-10-07,1.8,,,2.0
44,1993-10-17,2.2,,,2.0
45,1993-11-01,2.4,,,2.0
46,1993-11-10,3.0,,,2.0
47,1993-11-18,2.7,,,2.0
48,1994-04-17,2.1,,,2.0
49,1994-05-01,2.1,,,2.0
50,1994-05-23,2.7,,,2.0
51,1994-06-11,1.9,,,2.0
52,1994-06-30,2.9,,,2.0
53,1994-07-15,2.1,,,2.0
54,1994-07-29,1.7,,,2.0
55,1994-08-16,2.1,,,2.0
56,1994-09-01,2.1,,,2.0
57,1994-09-15,2.0,,,2.0
58,1994-10-09,2.1,,,2.0
59,1994-10-29,2.2,,,2.0
60,1994-11-15,2.5,,,2.0
61,1994-12-01,2.1,,,2.0
62,1995-05-20,2.5,,,2.0
63,1995-06-26,,2.39,12,
64,1995-06-30,3.0,,,2.0
65,1995-07-09,2.6,,,2.0
66,1995-07-13,,,10,
67,1995-07-18,,0.59,,
68,1995-07-26,2.4,,,2.0
69,1995-08-16,,6.18,12,
70,1995-08-20,2.1,,,2.0
71,1995-09-05,1.7,,,2.0
72,1995-09-27,2.0,,,2.0
73,1995-10-12,1.8,,,2.0
74,1995-11-04,2.6,,,2.0
75,1996-04-16,,6.81,13,
76,1996-05-02,2.43,3.53,14,
77,1996-05-31,5.0,,,
78,1996-06-10,,7.12,13,
79,1996-06-10,4.6,,,3.0
80,1996-07-01,3.1,,,3.0
81,1996-07-12,1.8,,,3.0
82,1996-07-15,,4.33,13,
83,1996-07-22,1.8,,,3.0
84,1996-08-12,,4.02,10,
85,1996-08-29,2.1,,,2.0
86,1996-09-10,2.0,,,2.0
87,1996-10-05,2.0,,,2.0
88,1997-02-10,,,9,
89,1997-03-22,3.3,,,
90,1997-04-14,,1.52,8,
91,1997-06-02,,6.44,18,
92,1997-06-10,2.7,,,3.0
93,1997-07-14,,3.58,,
94,1997-07-14,1.8,,,3.0
95,1997-07-31,2.1,,,2.0
96,1997-08-18,,5.4,27,
97,1997-09-23,2.4,,,3.0
98,1997-10-15,2.1,,,2.0
99,1997-11-19,4.0,,,1.0
100,1998-04-02,2.6,3.45,13,
101,1998-05-19,2.4,,,2.0
102,1998-06-01,1.8,,,2.0
103,1998-06-23,3.2,2.93,14,
104,1998-07-01,2.1,,,2.0
105,1998-07-13,2.7,,,2.0
106,1998-07-22,2.5,5.21,30,
107,1998-08-17,2.4,5.61,20,
108,1998-08-24,1.8,,,3.0
109,1998-09-08,1.5,,,3.0
110,1998-09-22,1.7,9.63,15,
111,1998-10-10,2.3,,,3.0
112,1998-10-19,2.1,4.6,23,
113,1998-10-22,2.6,,,3.0
114,1999-03-23,3.8,,,1.0
115,1999-04-13,3.3,,,1.0
116,1999-04-25,3.0,,,1.0
117,1999-06-11,2.3,,,1.0
118,1999-06-29,2.6,,,2.0
119,1999-08-24,2.2,6.0,17,
120,1999-08-26,1.8,,,2.0
121,1999-09-11,2.0,,,2.0
122,1999-10-09,2.0,,,2.0
123,1999-10-21,2.4,,,1.0
124,2000-03-04,4.3,,,5.0
125,2000-03-31,3.0,,,4.0
126,2000-04-22,2.7,,,4.0
127,2000-05-06,2.1,,,
128,2000-07-07,2.1,,,4.0
129,2000-08-08,2.0,,,4.0
130,2000-08-22,1.5,,,3.0
131,2000-09-08,1.5,,,3.0
132,2000-09-13,1.6,,,5.0
133,2000-10-10,1.8,,,3.0
134,2001-04-24,2.0,,14,4.0
135,2001-05-19,2.7,,,4.0
136,2001-06-09,2.4,,,3.0
137,2001-06-23,1.8,,,3.0
138,2001-07-02,1.5,,,3.0
139,2001-07-10,2.1,,,3.0
140,2001-08-26,2.1,,,3.0
141,2001-08-28,2.1,9.0,25,4.0
142,2001-09-27,1.8,,,3.0
143,2001-10-08,3.0,4.0,17,4.0
144,2001-10-16,2.9,,,3.0
145,2002-03-27,3.3,,,5.0
146,2002-04-16,2.3,,15,4.0
147,2002-05-26,1.8,,,4.0
148,2002-07-05,2.1,,,4.0
149,2002-07-15,2.0,,,4.0
150,2002-08-01,2.3,4.93,19,4.0
151,2002-08-15,2.1,,,3.0
152,2002-09-15,2.4,,,4.0
153,2003-03-30,3.6,,,3.0
154,2003-04-13,5.5,,,3.0
155,2003-05-27,3.6,,,3.0
156,2003-06-02,3.6,,,3.0
157,2003-06-13,3.0,,,3.0
158,2003-06-29,2.0,,,3.0
159,2003-07-12,1.5,,,3.0
160,2003-07-23,2.1,9.5,22,4.0
161,2003-07-29,1.8,,,3.0
162,2003-08-26,1.8,,,3.0
163,2003-09-08,1.2,8.76,28,
164,2003-09-09,1.2,,,4.0
165,2003-10-06,3.0,,,3.0
166,2003-10-10,3.3,3.04,21,4.0
167,2004-03-23,3.0,,,4.0
168,2004-04-17,3.3,,,4.0
169,2004-05-08,1.8,,,3.0
170,2004-05-12,1.6,,,
171,2004-05-16,3.0,,,3.0
172,2004-05-28,2.9,,,2.0
173,2004-06-14,2.7,,,2.0
174,2004-06-22,3.0,5.06,13,4.0
175,2004-06-29,2.7,,,3.0
176,2004-07-10,3.0,,,3.0
177,2004-07-15,,5.92,,
178,2004-07-18,2.7,,,4.0
179,2004-07-28,,11.2,,
180,2004-08-17,1.9,,20,5.0
181,2004-08-18,,18.3,,
182,2004-08-26,1.5,,,3.0
183,2004-09-09,,7.16,,
184,2004-09-16,2.1,,,3.0
185,2004-09-29,3.0,5.48,19,5.0
186,2004-10-17,4.0,,,4.0
187,2005-04-11,5.2,,12,2.0
188,2005-04-15,6.4,,,5.0
189,2005-06-01,5.2,,,5.0
190,2005-06-06,4.6,,,5.0
191,2005-06-14,,3.23,,
192,2005-06-19,5.2,,,5.0
193,2005-07-01,,5.8,,
194,2005-07-05,1.9,6.09,23,5.0
195,2005-07-18,1.5,,,3.0
196,2005-07-21,,7.56,,
197,2005-08-05,1.5,,,4.0
198,2005-08-09,1.9,5.16,25,4.0
199,2005-08-12,,14.8,,
200,2005-08-29,1.8,,,3.0
201,2005-09-01,,5.43,,
202,2005-10-03,1.8,9.49,26,4.0
203,2005-10-10,1.8,,,3.0
204,2006-04-15,2.3,,,3.0
205,2006-04-26,2.5,,26,4.0
206,2006-05-21,3.3,,,3.0
207,2006-06-19,,2.32,,
208,2006-06-28,2.3,,,3.0
209,2006-07-17,1.8,,,3.0
210,2006-07-25,1.6,,,4.0
211,2006-07-26,,7.29,25,
212,2006-08-09,1.7,,,3.0
213,2006-08-21,2.2,5.99,22,5.0
214,2006-09-25,1.5,9.95,33,2.0
215,2007-05-21,3.3,,,4.0
216,2007-06-01,3.6,,,3.0
217,2007-06-12,2.1,,,3.0
218,2007-07-06,1.8,,,4.0
219,2007-07-22,1.8,,,3.0
220,2007-07-24,2.2,4.58,19,5.0
221,2007-08-26,2.6,,,4.0
222,2007-09-03,2.7,,,4.0
223,2007-09-04,2.9,4.88,17,5.0
224,2007-09-22,2.7,,,4.0
225,2007-09-27,2.5,5.96,17,
226,2007-09-27,0.7,,,
227,2007-09-28,1.7,,,
228,2008-04-15,1.8,,,
229,2008-04-15,5.9,,,
230,2008-04-15,5.7,,12,
231,2008-07-22,2.4,,,5.0
232,2008-07-22,2.4,0.8,14,
233,2008-07-22,2.45,,,
234,2008-08-12,2.2,6.14,19,5.0
235,2008-08-12,2.3,,,
236,2008-08-25,2.5,2.61,21,4.0
237,2008-08-25,2.4,,,
238,2009-04-16,5.5,,9,2.0
239,2009-07-21,1.8,4.24,20,4.0
240,2009-08-13,2.4,2.62,16,4.0
241,2009-09-08,2.2,5.03,19,
242,2009-09-08,2.2,,,4.0
243,2010-04-27,4.0,,15,
244,2010-04-27,4.05,,,
245,2010-07-16,2.0,5.68,17,
246,2010-07-16,2.05,,,
247,2010-08-25,1.8,5.23,15,
248,2010-09-09,1.8,7.02,19,
249,2011-05-02,2.25,,15,
