#supply,node,prod,bid($/toe),Recyclable (ton/yr)
s168,168,1,0,6663
s169,169,1,0,115019
s170,170,1,0,17719
s171,171,1,0,8470
s172,172,1,0,7232
s173,173,1,0,20604
s174,174,1,0,27767
s175,175,1,0,2825022
s176,176,1,0,10239
s177,177,1,0,5905
s178,178,1,0,8578
s179,179,1,0,57538
s180,180,1,0,10677
s181,181,1,0,506244
s182,182,1,0,9413
s183,183,1,0,3508
s184,184,1,0,18654
s185,185,1,0,11703
s186,186,1,0,7109
s187,187,1,0,21101
s188,188,1,0,18836
s189,189,1,0,2648
s190,190,1,0,7114
s191,191,1,0,28004
s192,192,1,0,4452
s193,193,1,0,9713
s194,194,1,0,2096
s195,195,1,0,3645
s196,196,1,0,26830
s197,197,1,0,14873
s198,198,1,0,31129
s199,199,1,0,5271
s200,200,1,0,20671
s201,201,1,0,11943
s202,202,1,0,11648
s203,203,1,0,6811
s204,204,1,0,292035
s205,205,1,0,60262
s206,206,1,0,70754
s207,207,1,0,27261
s208,208,1,0,382066
s209,209,1,0,59607
s210,210,1,0,8600
s211,211,1,0,18702
s212,212,1,0,19554
s213,213,1,0,15698
s214,214,1,0,57051
s215,215,1,0,24643
s216,216,1,0,144243
s217,217,1,0,20408
s218,218,1,0,6274
s219,219,1,0,7328
s220,220,1,0,7554
s221,221,1,0,16281
s222,222,1,0,168821
s223,223,1,0,94081
s224,224,1,0,6690
s225,225,1,0,8468
s226,226,1,0,18999
s227,227,1,0,15586
s228,228,1,0,18462
s229,229,1,0,7954
s230,230,1,0,27779
s231,231,1,0,98284
s232,232,1,0,11473
s233,233,1,0,8965
s234,234,1,0,8536
s235,235,1,0,2291
s236,236,1,0,2926
s237,237,1,0,3148
s238,238,1,0,17433
s239,239,1,0,8509
s240,240,1,0,77824
s241,241,1,0,12885
s242,242,1,0,106782
s243,243,1,0,3712
s244,244,1,0,2716
s245,245,1,0,11867
s246,246,1,0,142444
s247,247,1,0,2930
s248,248,1,0,24408
s249,249,1,0,72297
s250,250,1,0,9135
s251,251,1,0,41555
s252,252,1,0,6319
s253,253,1,0,9239
s254,254,1,0,7617
s255,255,1,0,8894
s256,256,1,0,7425
s257,257,1,0,30265
s258,258,1,0,378889
s259,259,1,0,36530
s260,260,1,0,154997
s261,261,1,0,21096
s262,262,1,0,3886
s263,263,1,0,2013
s264,264,1,0,7577
s265,265,1,0,6830
s266,266,1,0,3056
s267,267,1,0,14062
s268,268,1,0,72621
s269,269,1,0,14465
s270,270,1,0,13638
s271,271,1,0,11584
s272,272,1,0,11002
s273,273,1,0,8024
s274,274,1,0,5345
s275,275,1,0,11125
s276,276,1,0,7181
s277,277,1,0,10124
s278,278,1,0,23495
s279,279,1,0,6222
s280,280,1,0,6597
s281,281,1,0,5134
s282,282,1,0,8892
s283,283,1,0,9668
s284,284,1,0,25731
s285,285,1,0,9344
s286,286,1,0,47776
s287,287,1,0,4893
s288,288,1,0,4377
s289,289,1,0,9425
s290,290,1,0,21604
s291,291,1,0,9395
s292,292,1,0,53197
s293,293,1,0,5177
s294,294,1,0,10862
s295,295,1,0,8659
s296,296,1,0,5574
s297,297,1,0,3810
s298,298,1,0,4909
s299,299,1,0,6746
s300,300,1,0,5852
s301,301,1,0,8226
s302,302,1,0,5925
s303,303,1,0,9358
s304,304,1,0,7728
s305,305,1,0,10938
s306,306,1,0,5061
s307,307,1,0,5241
s308,308,1,0,3785
s309,309,1,0,8880
s310,310,1,0,10642
s311,311,1,0,20279
s312,312,1,0,9955
s313,313,1,0,81498
s314,314,1,0,11277
s315,315,1,0,5588
s316,316,1,0,8216
s317,317,1,0,18774
s318,318,1,0,122793
s319,319,1,0,6131
s320,320,1,0,4708
s321,321,1,0,6459
s322,322,1,0,8783
s323,323,1,0,12157
s324,324,1,0,18196
s325,325,1,0,21921
s326,326,1,0,8246
s327,327,1,0,5819
s328,328,1,0,4789
s329,329,1,0,4282
s330,330,1,0,5514
s331,331,1,0,23526
s332,332,1,0,7589
s333,333,1,0,3320
s334,334,1,0,8375
s335,335,1,0,4938
s336,336,1,0,13750
s337,337,1,0,3728
s338,338,1,0,263078
s339,339,1,0,51228
s340,340,1,0,10086
s341,341,1,0,2723
s342,342,1,0,5377
s343,343,1,0,94591
s344,344,1,0,6366
s345,345,1,0,19103
s346,346,1,0,53174
s347,347,1,0,9342
s348,348,1,0,3383
s349,349,1,0,6779
s350,350,1,0,3922
s351,351,1,0,19276
s352,352,1,0,27468
s353,353,1,0,12122
s354,354,1,0,3526
s355,355,1,0,20046
s356,356,1,0,5778
s357,357,1,0,11114
s358,358,1,0,56271
s359,359,1,0,4084
s360,360,1,0,6988
