#tp,location,provider,size,type
tp1,5,1,1,tA1
tp2,13,1,1,tA1
tp3,41,1,1,tA1
tp4,45,1,1,tA1
tp5,68,1,1,tA1
tp6,91,1,1,tA1
tp7,99,1,2,tA1
tp8,99,1,2,tA2
tp9,99,1,2,tA3
tp10,134,1,1,tA1
tp11,144,1,1,tA1
tp12,169,1,1,tA1
tp13,175,1,1,tA1
tp14,175,1,2,tA1
tp15,181,1,1,tA1
tp16,204,1,1,tA1
tp17,208,1,1,tA1
tp18,216,1,1,tA1
tp19,222,1,1,tA1
tp20,242,1,1,tA1
tp21,258,1,1,tA1
tp22,260,1,1,tA1
tp23,260,4,3,tA2
tp24,260,1,2,tA3
tp25,260,2,3,tA3
tp26,260,1,3,tA4
tp27,260,1,3,tA5
tp28,260,1,2,tA6
tp29,318,1,1,tA1
tp30,338,2,1,tA1
