,n65,n140,n162,n172,n69,n74,n75,n84,n89,n90,n92,n103,n108,n122,n133,n143,n148,n151,n152,n166,n168,n170,n184,n189,n200,n203,n145,n78,n81,n107,n111,n132,n157,n159,n161,n180,n171,n58,n60,n70,n76,n105,n115,n117,n118,n120,n124,n128,n129,n130,n256,n934,n821,n464,n676,n294,n952,n1207,n450,n463,n826,n1248,n1145,n1199,n398,n232,n732,n984,n278,n1251,n383,n1139,n1183,n1290,n272,n1027,n358,n436,n660,n730,n860,n742,n394,n617,n1240,n566,n982,n1101,n1022,n274,n868,n1226,n633,n1024,n998,n674,n486,n597,n1138,n412,
n65,0.0,65486.225525741735,65486.22552566011,65486.22552587989,65905.20728146721,65905.20728232751,65905.2072826423,65905.20728136304,65905.2072814252,65905.20728192214,65905.20728222803,65905.20728250155,65905.20728290989,65905.20728138633,65905.20728136209,65905.20728137197,65905.20728141112,65905.20728145188,65905.20728180278,65905.20728206617,65905.20728218678,65905.20728230287,65905.2072824472,65905.2072826208,65905.20728284621,65905.20727586682,65916.38818657887,65935.62915725779,65935.62915726256,65935.62915726741,65935.6291572759,65935.62915729702,65935.62915730543,65935.62915732428,65935.62915734689,65935.6291573908,65960.45270488481,65990.53001195384,65990.53001192397,65990.5300119403,65990.5300119127,65990.53001188656,65990.53001185226,65990.5300118292,65990.53001180547,65990.53001178647,65990.53001177058,65990.53001182358,65990.53001180627,65990.53001179305,98531.5846242986,103192.80926038414,100396.47037778176,99405.84845727003,98965.4397864786,98920.7692014595,98643.32018473154,96710.43757178875,95758.16797325514,95383.48001354882,94290.85546061271,92169.30360186515,90140.8554877045,87949.90302661162,87847.27473143901,87238.97725628979,86815.9980004001,84529.43634363441,81612.01530374479,81369.12632671968,79839.22117673034,79172.79931291295,71195.917737031,70891.68882491907,70564.08765184203,67022.29160395995,65506.172758488836,62216.2472316573,60394.26685777446,58519.024690886654,57274.02900719001,55719.37988030538,53815.34966593722,53541.57608895881,49474.97378736483,46646.117172400416,44705.81600054588,40308.22644089901,39608.18065137184,39587.75161111075,36411.90931587331,35710.2028480713,31905.89752220745,19375.027639741376,18727.15559517799,16260.908260939166,14291.771709292643,12774.955483630878,12317.450831873144,8571.236515927478,
n140,65486.22552548999,0.0,65486.225525534355,65486.22552575408,65905.20728134319,65905.20728220347,65905.20728251846,65905.20728123923,65905.2072813012,65905.20728179828,65905.20728210418,65905.20728237754,65905.20728278605,65905.20728126248,65905.20728123827,65905.20728124812,65905.20728128726,65905.20728132817,65905.20728167875,65905.20728194212,65905.20728206295,65905.20728217898,65905.20728232335,65905.20728249682,65905.2072827224,65905.20727574281,65916.38818645729,65935.62915713842,65935.62915714309,65935.629157148,65935.62915715652,65935.62915717765,65935.62915718606,65935.62915720478,65935.6291572275,65935.62915727143,65960.45270476755,65990.53001183915,65990.53001180927,65990.53001182563,65990.53001179814,65990.53001177183,65990.5300117376,65990.5300117145,65990.53001169079,65990.53001167168,65990.53001165594,65990.53001170882,65990.53001169163,65990.53001167848,98531.58462477877,103192.80926003681,100396.47037507394,99405.84845463184,98965.43978826908,98920.76920424086,98643.32018853721,96710.43757516747,95758.16797584337,95383.48001686731,94290.85546342126,92169.30360531498,90140.85549042706,87949.90302989598,87847.2747340987,87238.97725867349,86815.99800283297,84529.43634625216,81612.01530605069,81369.12632914924,79839.22117890333,79172.7993148353,71195.91773940854,70891.68882678766,70564.08765391947,67022.29160611918,65506.17275780727,62216.247234373004,60394.266858688185,58519.024689045844,57274.02900785583,55719.3798803621,53815.34966676492,53541.57609173342,49474.973787492185,46646.117172798826,44705.81600129299,40308.22644148758,39608.18065223748,39587.751612770226,36411.90931627162,35710.20284853155,31905.897521990682,19375.02763938776,18727.155594970394,16260.908260499422,14291.771708653228,12774.955483020902,12317.45083123165,8571.236515057779,
n162,65486.22552557158,65486.22552569738,0.0,65486.22552583574,65905.20728142333,65905.20728228345,65905.20728259863,65905.20728131918,65905.20728138115,65905.20728187806,65905.20728218414,65905.20728245749,65905.20728286581,65905.20728134266,65905.2072813184,65905.20728132823,65905.20728136743,65905.20728140813,65905.20728175892,65905.2072820223,65905.2072821429,65905.20728225881,65905.20728240331,65905.20728257694,65905.20728280232,65905.2072758229,65916.38818653558,65935.62915721533,65935.62915721978,65935.6291572249,65935.62915723321,65935.62915725453,65935.6291572628,65935.62915728166,65935.62915730423,65935.62915734817,65960.45270484265,65990.53001191241,65990.53001188258,65990.53001189893,65990.53001187132,65990.53001184521,65990.53001181092,65990.53001178782,65990.53001176406,65990.53001174505,65990.53001172908,65990.53001178215,65990.53001176487,65990.53001175162,98531.58462425812,103192.8092599977,100396.47037334238,99405.8484536584,98965.4397874927,98920.7692025592,98643.32018601714,96710.4375726437,95758.16797436743,95383.48001498579,94290.85546164324,92169.30360319062,90140.85548870018,87949.90302767669,87847.27473240504,87238.97725722709,86815.99800122685,84529.43634454084,81612.01530476454,81369.12632778996,79839.22117770757,79172.79931380815,71195.91773826342,70891.68882577105,70564.08765282795,67022.29160486977,65506.17275820766,62216.24723124995,60394.266858849966,58519.02469118744,57274.02900752668,55719.379880530505,53815.3496662638,53541.576089875,49474.97378779202,46646.11717287048,44705.81600100781,40308.22644130658,39608.180652005576,39587.75161190918,36411.90931628299,35710.20284851018,31905.89752250854,19375.02763995254,18727.155595428696,16260.908261103337,14291.77170939631,12774.955483754804,12317.450831986733,8571.236515984916,
n172,65486.225525352005,65486.2255254776,65486.22552539617,0.0,65905.20728120653,65905.20728206667,65905.20728238183,65905.20728110243,65905.2072811644,65905.20728166144,65905.20728196738,65905.20728224072,65905.2072826494,65905.20728112585,65905.20728110161,65905.20728111149,65905.20728115067,65905.20728119138,65905.20728154214,65905.20728180552,65905.20728192611,65905.20728204217,65905.20728218654,65905.20728236015,65905.20728258556,65905.20727560618,65916.38818632266,65935.62915700585,65935.62915701032,65935.62915701543,65935.62915702377,65935.62915704508,65935.62915705351,65935.62915707215,65935.62915709477,65935.62915713871,65960.45270463696,65990.53001171055,65990.53001168073,65990.53001169702,65990.53001166954,65990.53001164326,65990.53001160901,65990.5300115859,65990.53001156228,65990.5300115431,65990.5300115273,65990.53001158027,65990.53001156301,65990.53001154984,98531.58462469786,103192.80926662307,100396.47038061846,99405.84845858418,98965.43978598714,98920.7692015244,98643.32018617105,96710.43757334615,95758.1679735103,95383.48001438627,94290.85546194628,92169.30360339905,90140.85549035449,87949.90302818888,87847.27473363216,87238.97725937459,86815.9980025416,84529.43634517927,81612.01530529199,81369.1263277683,79839.22117666205,79172.79931280142,71195.91773651281,70891.68882458679,70564.0876514701,67022.29160357686,65506.172758357476,62216.24723135886,60394.266857196206,58519.0246902373,57274.02900669715,55719.37987985847,53815.34966531079,53541.57608835609,49474.97378673389,46646.11717169234,44705.81599985221,40308.22644019247,39608.180650523755,39587.75161020513,36411.90931506579,35710.20284722318,31905.897521305415,19375.027638660944,18727.155594109474,16260.908259831831,14291.77170817896,12774.955482480831,12317.450830737176,8571.236514724918,
n69,65129.43036111115,65129.43036123895,65129.430361156024,65129.43036137884,0.0,65486.22552648492,65486.22552680315,65486.22552551075,65486.225525573325,65486.22552607556,65486.22552638445,65486.22552666079,65486.22552707327,65486.225525534035,65486.22552550955,65486.2255255199,65486.22552555944,65486.22552560058,65486.225525954964,65486.225526221075,65486.22552634294,65486.225526459966,65486.225526605995,65486.22552678138,65486.22552700893,65486.22551995727,65477.67654771917,65473.43898973874,65473.43898974342,65473.43898974842,65473.43898975698,65473.43898977847,65473.43898978681,65473.438989805654,65473.438989828486,65473.43898987296,65470.5290196022,65467.61145005874,65467.611450028766,65467.611450045086,65467.611450017306,65467.611449990975,65467.61144995634,65467.61144993326,65467.61144990917,65467.61144988986,65467.61144987388,65467.61144992735,65467.61144990996,65467.61144989674,62407.47844971355,61953.22891298213,62225.96287096319,62321.423811121465,62363.67234676647,62367.95073640676,62394.495135866746,62578.1011194482,62667.852645121035,62703.077267873596,62805.59400052651,63004.18642850597,63193.89621165855,63398.858647667956,63408.462767730154,63465.39558741011,63504.99159078531,63719.16278468396,63992.740520374995,64015.5334190452,64159.15735458435,64221.74935315189,64972.211429947165,65000.87383721053,65031.74119481157,65365.64527124047,65508.67687004833,65819.2372150319,65991.33008280575,66168.52505710056,66286.2051684876,66433.19591621112,66613.28142490853,66639.18071555386,67024.04550190402,67291.94636285747,67475.7833774695,67892.6991162073,67959.10053076198,67961.03842149122,68262.39083256076,68328.99969342505,68690.26983401999,69881.86350540322,69943.5355322455,70178.36879143941,70365.95983774723,70510.53557918243,70554.15865905928,70911.07005701716,
n74,65129.43036023194,65129.43036035973,65129.43036027677,65129.430360499755,65486.22552474679,0.0,65486.22552593418,65486.22552464155,65486.2255247043,65486.22552520641,65486.225525515256,65486.22552579162,65486.22552620428,65486.225524665075,65486.225524640555,65486.22552465073,65486.22552469025,65486.22552473142,65486.225525085785,65486.225525351714,65486.225525473725,65486.225525591006,65486.22552573684,65486.22552591221,65486.225526139955,65486.2255190881,65477.67654686299,65473.43898889513,65473.438988899805,65473.43898890499,65473.43898891356,65473.4389889349,65473.43898894337,65473.43898896221,65473.43898898487,65473.43898902953,65470.52901877151,65467.61144924041,65467.61144921059,65467.611449226926,65467.611449199176,65467.611449172655,65467.61144913815,65467.61144911493,65467.611449090975,65467.61144907175,65467.61144905557,65467.61144910924,65467.61144909164,65467.61144907844,62407.47844903827,61953.2289153842,62225.96287341715,62321.42381353273,62363.67234911854,62367.95073869021,62394.49513861345,62578.101122354325,62667.85264796506,62703.07727069626,62805.59400334621,63004.18643129753,63193.89621449341,63398.85865059825,63408.46277046802,63465.39559014766,63504.99159355464,63719.162787749694,63992.74052349653,64015.53342210285,64159.15735762173,64221.74935620007,64972.21143316864,65000.87384042771,65031.741198095355,65365.645274401504,65508.67686932882,65819.23721671072,65991.33008520845,66168.52505917817,66286.2051704068,66433.19591907188,66613.28142780006,66639.18071873332,67024.0455052337,67291.94636622323,67475.78338079991,67892.69911963763,67959.10053397827,67961.03842504,68262.39083615271,68328.99969697472,68690.26983762413,69881.86350903996,69943.53553615887,70178.36879538622,70365.95984152441,70510.5355831543,70554.15866325387,70911.07006080286,
n75,65129.43035991001,65129.43036003785,65129.430359954655,65129.43036017789,65486.22552442854,65486.22552529755,0.0,65486.225524323345,65486.22552438594,65486.225524888185,65486.22552519722,65486.22552547339,65486.225525885864,65486.22552434701,65486.225524322355,65486.22552433248,65486.22552437204,65486.225524413174,65486.225524767586,65486.22552503366,65486.22552515551,65486.225525272566,65486.22552541858,65486.22552559398,65486.22552582172,65486.22551876987,65477.67654654953,65473.438988586546,65473.43898859105,65473.43898859625,65473.438988604634,65473.438988626156,65473.43898863443,65473.438988653455,65473.43898867626,65473.4389887206,65470.5290184674,65467.6114489412,65467.61144891105,65467.61144892755,65467.611448899785,65467.61144887327,65467.61144883878,65467.6114488155,65467.61144879158,65467.611448772295,65467.61144875627,65467.61144880961,65467.61144879222,65467.61144877889,62407.478448795555,61953.2289212613,62225.96287953416,62321.423818584204,62363.6723531539,62367.950743983565,62394.49514220975,62578.10112801943,62667.852653272676,62703.07727583978,62805.59400881286,63004.186437801,63193.89622041151,63398.85865690679,63408.462776788474,63465.39559643973,63504.991600036636,63719.16279368069,63992.74052981378,64015.533427615104,64159.157353309995,64221.749351518476,64972.21142895837,65000.87383713904,65031.74119449486,65365.64527155024,65508.676869054754,65819.23721401546,65991.33008042457,66168.5250552971,66286.20516712965,66433.19591509821,66613.2814235088,66639.18071418181,67024.04550048622,67291.94636133157,67475.78337604417,67892.69911475055,67959.10052936453,67961.0384200327,68262.3908310873,68328.99969194045,68690.26983252542,69881.86350388647,69943.5355306765,70178.36878991213,70365.9598362521,70510.53557770478,70554.15865757264,70911.07005552754,
n84,65129.430361217564,65129.430361345396,65129.43036126242,65129.43036148525,65486.225525720954,65486.22552659014,65486.22552690853,0.0,65486.22552567851,65486.2255261806,65486.22552648964,65486.22552676578,65486.22552717843,65486.225525639245,65486.225525614755,65486.225525625065,65486.225525664435,65486.225525705595,65486.22552606001,65486.22552632612,65486.225526448165,65486.225526565206,65486.22552671123,65486.2255268866,65486.22552711432,65486.22552006244,65477.67654782284,65473.43898984071,65473.43898984553,65473.43898985057,65473.438989859096,65473.43898988063,65473.438989888935,65473.43898990779,65473.4389899306,65473.438989975075,65470.529019702815,65467.61145015782,65467.611450127864,65467.611450144184,65467.61145011647,65467.61145009008,65467.61145005547,65467.61145003224,65467.611450008255,65467.61144998902,65467.611449972974,65467.611450026605,65467.61145000906,65467.61144999567,62407.478449795395,61953.22891291146,62225.962870911964,62321.423811091714,62363.67234670319,62367.95073611554,62394.495135686964,62578.10111925555,62667.852644914754,62703.07726767515,62805.59400032859,63004.18642830674,63193.89621145652,63398.85864746952,63408.462767412966,63465.39558709942,63504.991590487494,63719.16278437764,63992.74052006444,64015.53341874442,64159.1573543027,64221.749352883846,64972.21142964053,65000.87383689884,65031.74119449006,65365.645270915455,65508.67687011142,65819.2372148314,65991.33008168638,66168.52505644935,66286.20516814153,66433.1959160131,66613.28142451246,66639.1807151752,67024.04550150142,67291.9463623548,67475.78337705648,67892.69911577173,67959.10053039926,67961.03842105487,68262.39083212188,68328.99969298116,68690.26983357404,69881.86350495061,69943.53553173947,70178.36879097545,70365.95983730085,70510.53557875405,70554.15865861576,70911.07005658535,
n89,65129.43036115388,65129.430361282095,65129.43036119894,65129.430361421946,65486.22552565837,65486.22552652756,65486.225526845745,65486.2255255532,0.0,65486.225526118,65486.225526426875,65486.22552670321,65486.22552711569,65486.22552557667,65486.22552555214,65486.2255255625,65486.225525601854,65486.22552564299,65486.22552599743,65486.22552626335,65486.22552638535,65486.225526502596,65486.22552664863,65486.22552682379,65486.225527051574,65486.22551999988,65477.67654776116,65473.43898977991,65473.438989784605,65473.4389897896,65473.43898979837,65473.43898981968,65473.43898982816,65473.43898984702,65473.43898986984,65473.43898991432,65470.529019642774,65467.61145009888,65467.61145006889,65467.611450085235,65467.6114500575,65467.611450030985,65467.6114499965,65467.61144997322,65467.61144994934,65467.61144993008,65467.61144991404,65467.611449967524,65467.611449949996,65467.61144993673,62407.478449749084,61953.22891302138,62225.96287099906,62321.42381115759,62363.67234680307,62367.95073625759,62394.4951357546,62578.10111933415,62667.85264500178,62703.077267824105,62805.59400047766,63004.186428457746,63193.89621160857,63398.8586476168,63408.462767570316,63465.39558725273,63504.99159063098,63719.1627845268,63992.740520216845,64015.53341888959,64159.15735443558,64221.74935300361,64972.211429787596,65000.87383705086,65031.74119464205,65365.64527107507,65508.676870084106,65819.23721482887,65991.3300823765,66168.52505679868,66286.2051683228,66433.19591607188,66613.28142472345,66639.18071537242,67024.0455017181,67291.94636261977,67475.78337727512,67892.69911600833,67959.10053060022,67961.03842129013,68262.39083235692,68328.99969321946,68690.26983381591,69881.86350519257,69943.53553200558,70178.36879122167,70365.95983753663,70510.53557897544,70554.15865884497,70911.07005680975,
n90,65129.430360646016,65129.43036077382,65129.43036069108,65129.43036091388,65486.225525156326,65486.225526025286,65486.22552634371,65486.22552505113,65486.225525113696,0.0,65486.225525924994,65486.225526200964,65486.22552661383,65486.22552507464,65486.22552505013,65486.225525060254,65486.22552509981,65486.22552514096,65486.22552549535,65486.22552576128,65486.225525883114,65486.22552600055,65486.225526146394,65486.22552632176,65486.225526549526,65486.22551949764,65477.67654726655,65473.43898929268,65473.43898929735,65473.43898930219,65473.43898931094,65473.43898933243,65473.43898934072,65473.438989359754,65473.43898938242,65473.4389894271,65470.52901916292,65467.61144962613,65467.61144959616,65467.61144961245,65467.611449584714,65467.611449558375,65467.61144952373,65467.61144950044,65467.61144947655,65467.61144945729,65467.611449441254,65467.611449494885,65467.61144947728,65467.61144946414,62407.47844935734,61953.22891307798,62225.962871054704,62321.42381121153,62363.67234686397,62367.95073638001,62394.49513579758,62578.10111937826,62667.85264505603,62703.077267815635,62805.59400234458,63004.186430334645,63193.89621351281,63398.858649502814,63408.46276948591,63465.395589143845,63504.9915925656,63719.1627864186,63992.740522172055,64015.53342076936,64159.15735629809,64221.749354760614,64972.21143182613,65000.87383908952,65031.74119663076,65365.64527304295,65508.676869753224,65819.23721544069,65991.33008404024,66168.52505827115,66286.2051697189,66433.19591784068,66613.28142650914,66639.18071744581,67024.04550392454,67291.94636474746,67475.78337948048,67892.69911828247,67959.10053278708,67961.03842345663,68262.39083460288,68328.99969542272,68690.2698360533,69881.86350744065,69943.535534241,70178.36879346079,70365.95983995286,70510.53558124613,70554.15866129952,70911.07005914742,
