#1. Tech location reference ID,2. Node ID,3. Time ID,4. Tech ID
L001,N06037,T0,TA1
L002,N06037,T0,TA2
L003,N17031,T0,TA1
L004,N17031,T0,TA2
L005,N04013,T0,TA2
L006,N06073,T0,TA2
L007,N06059,T0,TA1
L008,N06059,T0,TA2
L009,N36047,T0,TA2
L010,N06065,T0,TA2
L011,N36081,T0,TA2
L012,N32003,T0,TA2
L013,N06071,T0,TA2
L014,N06085,T0,TA2
L015,N26163,T0,TA2
L016,N36061,T0,TA1
L017,N06001,T0,TA1
L018,N25017,T0,TA1
L019,N42101,T0,TA1
L020,N06067,T0,TA1
L021,N36103,T0,TA1
L022,N36005,T0,TA1
L023,N36059,T0,TA1
L024,N39049,T0,TA2
L025,N39035,T0,TA1
L026,N42003,T0,TA1
L027,N49035,T0,TA1
L028,N06013,T0,TA1
L029,N51059,T0,TA1
L030,N37119,T0,TA1
L031,N24031,T0,TA1
L032,N04019,T0,TA1
L033,N06019,T0,TA1
L034,N36119,T0,TA1
L035,N18097,T0,TA1
L036,N24033,T0,TA1
L037,N09001,T0,TA1
L038,N34003,T0,TA1
L039,N36029,T0,TA1
L040,N55079,T0,TA1
L041,N17043,T0,TA1
L042,N53053,T0,TA1
L043,N06029,T0,TA1
L044,N09003,T0,TA1
L045,N26099,T0,TA1
L046,N06075,T0,TA1
L047,N09009,T0,TA1
L048,N34013,T0,TA1
L049,N34023,T0,TA1
L050,N25027,T0,TA1
L051,N42091,T0,TA1
L052,N24005,T0,TA1
L053,N06111,T0,TA1
L054,N39061,T0,TA1
L055,N25009,T0,TA1
L056,N25025,T0,TA1
L057,N21111,T0,TA1
L058,N06077,T0,TA1
L059,N06081,T0,TA1
L060,N36055,T0,TA1
L061,N25021,T0,TA1
L062,N47037,T0,TA1
L063,N17097,T0,TA1
L064,N17197,T0,TA1
L065,N11001,T0,TA1
L066,N44007,T0,TA1
L067,N49049,T0,TA1
L068,N26081,T0,TA1
L069,N42017,T0,TA1
L070,N34025,T0,TA1
L071,N34029,T0,TA1
L072,N41067,T0,TA1
L073,N24003,T0,TA1
L074,N24510,T0,TA1
L075,N25005,T0,TA1
L076,N42045,T0,TA1
L077,N34039,T0,TA1
L078,N10003,T0,TA1
L079,N42071,T0,TA1
L080,N06099,T0,TA1
L081,N37081,T0,TA1
L082,N39153,T0,TA1
L083,N39113,T0,TA1
L084,N25023,T0,TA1
L085,N34031,T0,TA1
L086,N34007,T0,TA1
L087,N34027,T0,TA1
L088,N53011,T0,TA1
L089,N18089,T0,TA1
L090,N16001,T0,TA1
L091,N06097,T0,TA1
L092,N32031,T0,TA1
L093,N51153,T0,TA1
L094,N47093,T0,TA1
L095,N36067,T0,TA1
L096,N06107,T0,TA1
L097,N25013,T0,TA1
L098,N42133,T0,TA1
L099,N06095,T0,TA1
L100,N06083,T0,TA1
L101,N06053,T0,TA1
L102,N42011,T0,TA1
L103,N04021,T0,TA1
L104,N33011,T0,TA1
L105,N51107,T0,TA1
L106,N26049,T0,TA1
L107,N06061,T0,TA1
L108,N36071,T0,TA1
L109,N34021,T0,TA1
L110,N18003,T0,TA1
L111,N41039,T0,TA1
L112,N37067,T0,TA1
L113,N39151,T0,TA1
L114,N18057,T0,TA1
L115,N51087,T0,TA1
L116,N21067,T0,TA1
L117,N36001,T0,TA1
L118,N39093,T0,TA1
L119,N42095,T0,TA1
L120,N17111,T0,TA1
L121,N26139,T0,TA1
L122,N26065,T0,TA1
L123,N18141,T0,TA1
L124,N42049,T0,TA1
L125,N09011,T0,TA1
L126,N49057,T0,TA1
L127,N26077,T0,TA1
L128,N39165,T0,TA1
L129,N39099,T0,TA1
L130,N42069,T0,TA1
L131,N06007,T0,TA1
L132,N42019,T0,TA1
L133,N06017,T0,TA1
L134,N54039,T0,TA1
L135,N06025,T0,TA1
L136,N18081,T0,TA1
L137,N24043,T0,TA1
L138,N42107,T0,TA1
L139,N42021,T0,TA1
L140,N39173,T0,TA1
L141,N42051,T0,TA1
L142,N18035,T0,TA1
L143,N54011,T0,TA1
L144,N06037,T0,TB2
L145,N17031,T0,TB2
L146,N04013,T0,TB2
L147,N06059,T0,TB2
L148,N36047,T0,TB2
L149,N06065,T0,TB2
L150,N36081,T0,TB2
L151,N06071,T0,TB2
L152,N06085,T0,TB2
L153,N36005,T0,TB2
L154,N39049,T0,TB2
L155,N24033,T0,TB2
L156,N06029,T0,TB2
L157,N34023,T0,TB2
L158,N25027,T0,TB2
L159,N34017,T0,TB2
L160,N34025,T0,TB2
L161,N06099,T0,TB2
L162,N18003,T0,TB1
L163,N42019,T0,TB1
L164,N26115,T0,TB2
L165,N24043,T0,TB1
L166,N34037,T0,TB2
L167,N39023,T0,TB1
L168,N41003,T0,TB2
L169,N39141,T0,TB2
L170,N18053,T0,TB2
L171,N06109,T0,TB1
L172,N39005,T0,TB2
L173,N04013,T0,TC1
L174,N06059,T0,TC2
L175,N36047,T0,TC2
L176,N36081,T0,TC2
L177,N06071,T0,TC2
L178,N36061,T0,TC2
L179,N39049,T0,TC2
L180,N06029,T0,TC2
L181,N36085,T0,TC2
L182,N06107,T0,TC2
L183,N39089,T0,TC2
L184,N41033,T0,TC1
L185,N39159,T0,TC2
L186,N39097,T0,TC2
L187,N36047,T0,TD2
L188,N06071,T0,TD2
L189,N39049,T0,TD2
L190,N36047,T0,TE1
L191,N36047,T0,TE2
L192,N06071,T0,TE1
L193,N06071,T0,TE2
L194,N39049,T0,TE1
L195,N39049,T0,TE2
L196,N36047,T0,TF2
L197,N06071,T0,TF2
L198,N39049,T0,TF2
