,n65,n140,n162,n172,n69,n74,n75,n84,n89,n90,n92,n103,n108,n122,n133,n143,n148,n151,n152,n166,n168,n170,n184,n189,n200,n203,n145,n78,n81,n107,n111,n132,n157,n159,n161,n180,n171,n58,n60,n70,n76,n105,n115,n117,n118,n120,n124,n128,n129,n130,n256,n934,n821,n464,n676,n294,n952,n1207,n450,n463,n826,n1248,n1145,n1199,n398,n232,n732,n984,n278,n1251,n383,n1139,n1183,n1290,n272,n1027,n358,n436,n660,n730,n860,n742,n394,n617,n1240,n566,n982,n1101,n1022,n274,n868,n1226,n633,n1024,n998,n674,n486,n597,n1138,n412,
n65,0.0,99602.28269997066,99602.2826298288,99602.28259728353,99607.29195884106,99607.2920114578,99607.29186436385,99607.29195173395,99607.29195407558,99607.29196923826,99607.29199682335,99607.29203716469,99607.29209043473,99607.2919480346,99607.29195252563,99607.29195098397,99607.29195255502,99607.29195745008,99607.29196546933,99607.29197676253,99607.29199118691,99607.29200880197,99607.29202958789,99607.29205391218,99607.29208114582,99607.29202504805,99609.72179055924,99612.12382067608,99612.12381852069,99612.12381702165,99612.12381644813,99612.12381636056,99612.12381752934,99612.1238193605,99612.12382197163,99612.12382612113,99614.50488564193,99616.86869487395,99616.86870059614,99616.86870964638,99616.86871473264,99616.86872505184,99616.86873209932,99616.8687456704,99616.86875267471,99616.86876733071,99616.86877683294,99616.86879532614,99616.86880393622,99616.86882425754,99669.02545766308,99656.3213839436,99647.67501544738,99645.82729872965,99645.06135984002,99644.98588654242,99644.52347630229,99641.71161723434,99640.60675069237,99640.22095649428,99639.2377822493,99637.80682855455,99636.8422623254,99636.08115092089,99636.05087413426,99635.87899090983,99635.76742382027,99635.2550234484,99634.7704936107,99634.7369140993,99634.54306465597,99634.46822290697,99633.88427188562,99633.87064726512,99633.85675749494,99633.74165263528,99633.71174489478,99633.68342617952,99633.689264551,99633.71147844347,99633.73453892834,99633.77259131943,99633.82538022209,99633.83349300877,99633.94440395116,99633.9788136957,99633.97759996692,99633.90378636937,99633.88594272552,99633.88664142053,99633.80564262884,99633.7880236511,99633.69416868627,99633.8251726758,99633.88024228973,99634.11636151912,99634.32143791598,99634.49025910956,99634.54387476311,99635.13186533099,
n140,99602.28251690937,0.0,99602.2825382981,99602.2825057529,99607.2918673104,99607.29191992713,99607.29177283322,99607.2918602033,99607.29186254492,99607.29187770763,99607.29190529273,99607.29194563399,99607.29199890407,99607.29185650393,99607.291860995,99607.2918594533,99607.29186102438,99607.2918659194,99607.29187393865,99607.29188523185,99607.29189965624,99607.29191727136,99607.29193805714,99607.29196238154,99607.29198961516,99607.29193351738,99609.72169902855,99612.12372914543,99612.12372699002,99612.12372549095,99612.12372491743,99612.1237248299,99612.12372599867,99612.12372782978,99612.12373044099,99612.12373459045,99614.50479411121,99616.8686033432,99616.86860906544,99616.8686181157,99616.86862320192,99616.86863352114,99616.8686405686,99616.86865413969,99616.86866114402,99616.86867580001,99616.86868530224,99616.86870379544,99616.8687124055,99616.86873272687,99669.02536613234,99656.32129950113,99647.67452234117,99645.82680490756,99645.06143704093,99644.98614083996,99644.52373086291,99641.7118719779,99640.60701597446,99640.22122153899,99639.23804667465,99637.80720963053,99636.8426387475,99636.08152735977,99636.05124865392,99635.87936799155,99635.76779896357,99635.25540045142,99634.7708680439,99634.7372268444,99634.54343895798,99634.4685974148,99633.88464527909,99633.87107970649,99633.85719020753,99633.7421015703,99633.71166071392,99633.68339908945,99633.68923292494,99633.71146737089,99633.73459650678,99633.7728133628,99633.82567560478,99633.83369325582,99633.94462371414,99633.97907715722,99633.97785783658,99633.90422124737,99633.88637303075,99633.88716020828,99633.80610907506,99633.78847986767,99633.69455770016,99633.82563496222,99633.88070535345,99634.11672722474,99634.32189673265,99634.4906508439,99634.54436866587,99635.13236018564,
n162,99602.28258705126,99602.28267858186,0.0,99602.2825758948,99607.29193745228,99607.291990069,99607.29184297509,99607.2919303452,99607.2919326868,99607.29194784953,99607.29197543456,99607.2920157759,99607.29206904597,99607.29192664583,99607.29193113689,99607.29192959523,99607.29193116628,99607.29193606133,99607.29194408053,99607.29195537377,99607.29196979814,99607.29198741319,99607.29200819909,99607.2920325234,99607.29205975703,99607.29200365927,99609.72176917047,99612.12379928732,99612.1237971319,99612.12379563287,99612.12379505935,99612.12379497179,99612.12379614053,99612.12379797173,99612.12380058288,99612.12380473236,99614.50486425316,99616.86867348518,99616.8686792074,99616.86868825761,99616.86869334386,99616.86870366309,99616.86871071058,99616.86872428161,99616.86873128595,99616.8687459419,99616.86875544416,99616.86877393746,99616.86878254743,99616.86880286875,99669.02543627331,99656.32136598148,99647.67442003418,99645.82675645982,99645.06139118125,99644.9859160877,99644.52350637787,99641.71164739855,99640.60684159385,99640.22104748792,99639.23787289072,99637.80691965048,99636.84235303686,99636.08124175687,99636.05096516067,99635.8790821136,99635.76751448582,99635.25511406631,99634.77061528558,99634.73701170801,99634.54318617431,99634.46834452506,99633.88439269048,99633.87076704486,99633.85687816328,99633.74177654096,99633.7117270588,99633.68343251476,99633.68925699923,99633.71147703206,99633.7345588985,99633.77266277156,99633.82546466653,99633.83355112026,99633.9444636573,99633.97888994793,99633.97767597578,99633.90390997934,99633.8860842514,99633.88680601341,99633.805794279,99633.78817157421,99633.69429204453,99633.82532327651,99633.88039330709,99634.11647856553,99634.32158706679,99634.4903747904,99634.544025325,99635.13201639304,
n172,99602.28261959642,99602.28271112709,99602.28264098524,0.0,99607.29196999747,99607.29202261423,99607.29187552027,99607.29196289039,99607.29196523198,99607.29198039473,99607.2920079798,99607.29204832112,99607.29210159114,99607.29195919103,99607.29196368209,99607.29196214041,99607.29196371147,99607.29196860647,99607.29197662575,99607.29198791899,99607.29200234334,99607.29201995842,99607.2920407443,99607.29206506867,99607.2920923023,99607.29203620445,99609.72180171567,99612.12383183258,99612.12382967713,99612.12382817811,99612.12382760453,99612.123827517,99612.12382868578,99612.12383051694,99612.12383312812,99612.12383727763,99614.50489679837,99616.86870603036,99616.86871175258,99616.86872080287,99616.86872588909,99616.86873620826,99616.86874325573,99616.8687568268,99616.8687638311,99616.86877848711,99616.8687879894,99616.86880648264,99616.86881509263,99616.86883541399,99669.02546882196,99656.32199279731,99647.67497882518,99645.82737332316,99645.06137009773,99644.9859281455,99644.52323073351,99641.71138562124,99640.60666215651,99640.22090806557,99639.23780489464,99637.8067159232,99636.84226167493,99636.08108885791,99636.0508666966,99635.87897876937,99635.76742498651,99635.25508331589,99634.77048888625,99634.7361181675,99634.5431063415,99634.46826495533,99633.8843137939,99633.8706902275,99633.85679912748,99633.74169055797,99633.71176641391,99633.68343885666,99633.68929147857,99633.71150583413,99633.73456408858,99633.7726178761,99633.82540987273,99633.83352077697,99633.94443912854,99633.9788403402,99633.97762674023,99633.90381920793,99633.8859689826,99633.88667756236,99633.80567128674,99633.78805291724,99633.6942031358,99633.8252001838,99633.88026998886,99634.11639391046,99634.32146597398,99634.4902929813,99634.54390205647,99635.13189277152,
n69,99597.30094599143,99597.30103752202,99597.30096738019,99597.30093483493,0.0,99602.28266105674,99602.28251396287,99602.28260133293,99602.28260367455,99602.2826188373,99602.28264642238,99602.2826867636,99602.28274003361,99602.28259763356,99602.28260212461,99602.28260058293,99602.28260215401,99602.28260704901,99602.28261506822,99602.28262636148,99602.28264078581,99602.28265840092,99602.2826791868,99602.28270351113,99602.28273074474,99602.282674647,99604.69430687923,99607.073445841,99607.07344368559,99607.07344218656,99607.07344161306,99607.07344152551,99607.07344269425,99607.07344452538,99607.07344713657,99607.07345128607,99609.4255284798,99611.7527587967,99611.75276451891,99611.7527735691,99611.75277865543,99611.7527889746,99611.75279602209,99611.7528095931,99611.75281659745,99611.75283125344,99611.75284075561,99611.7528592489,99611.75286785894,99611.75288818027,99670.67761011246,99657.67031426102,99648.63293594222,99646.6574091701,99645.83147576026,99645.74974155697,99645.24778586328,99642.1391242106,99640.8810528607,99640.43498418268,99639.27813762364,99637.52471509276,99636.27202481804,99635.21931258492,99635.17583437942,99634.92635386711,99634.76155873346,99633.97090950767,99633.15161051338,99633.09104709761,99632.73014073513,99632.58397044029,99631.19822303415,99631.15537693491,99631.11008519967,99630.65771294614,99630.48304859949,99630.13418279543,99629.95588677158,99629.78212019053,99629.67139156286,99629.53905118161,99629.38104971562,99629.35897061034,99629.04710954614,99628.84255598794,99628.71166254216,99628.42414170831,99628.37833879158,99628.37823898399,99628.17651770216,99628.13252269858,99627.89331468182,99627.07792349975,99627.03377985481,99626.8572018355,99626.70068268983,99626.56573787438,99626.52097875766,99626.03556546284,
n74,99597.30089337468,99597.30098490529,99597.3009147634,99597.30088221822,99602.2825558233,0.0,99602.28246134607,99602.28254871618,99602.28255105778,99602.28256622051,99602.28259380553,99602.28263414685,99602.28268741693,99602.28254501682,99602.28254950784,99602.28254796621,99602.28254953725,99602.28255443227,99602.28256245152,99602.28257374474,99602.28258816912,99602.28260578416,99602.28262657006,99602.2826508944,99602.282678128,99602.28262203027,99604.6942542625,99607.07339322424,99607.07339106883,99607.07338956978,99607.07338899627,99607.07338890876,99607.0733900775,99607.07339190865,99607.0733945198,99607.07339866926,99609.42547586304,99611.75270617992,99611.75271190213,99611.75272095237,99611.75272603866,99611.75273635783,99611.7527434053,99611.75275697636,99611.75276398068,99611.75277863666,99611.75278813891,99611.75280663217,99611.7528152422,99611.75283556354,99670.67755749558,99657.67043355413,99648.63305447993,99646.6575281828,99645.83159168292,99645.74984103392,99645.2479658178,99642.13930421718,99640.8812330845,99640.4351641291,99639.27831728147,99637.52489764498,99636.27220501777,99635.21949274738,99635.17599781457,99634.92651841757,99634.76172251906,99633.97112097955,99633.15182038472,99633.09122365083,99632.73035039642,99632.58418016274,99631.19843235795,99631.15558486491,99631.11029339726,99630.65792959083,99630.4829983817,99630.13416026912,99629.95586282517,99629.78210686734,99629.67141227839,99629.53915817695,99629.38118331769,99629.35905814682,99629.0472068516,99628.84267230617,99628.711777723,99628.42434455578,99628.37853748054,99628.37851016282,99628.17675895369,99628.13275855813,99627.89351573713,99627.0781626232,99627.03401932548,99626.8573901125,99626.70092006584,99626.5659257255,99626.5212175289,99626.03580467105,
n75,99597.30104046855,99597.30113199913,99597.3010618573,99597.30102931213,99602.28270291709,99602.28275553389,0.0,99602.28269581006,99602.28269815166,99602.28271331439,99602.28274089948,99602.28278124073,99602.28283451078,99602.28269211069,99602.28269660176,99602.28269506009,99602.28269663115,99602.28270152619,99602.28270954547,99602.28272083864,99602.28273526301,99602.28275287809,99602.28277366394,99602.28279798831,99602.2828252219,99602.28276912414,99604.69440135636,99607.0735403182,99607.07353816282,99607.07353666368,99607.07353609023,99607.07353600264,99607.07353717141,99607.07353900255,99607.07354161373,99607.0735457632,99609.42562295696,99611.75285327391,99611.75285899606,99611.75286804626,99611.75287313257,99611.75288345177,99611.75289049928,99611.75290407031,99611.75291107465,99611.75292573063,99611.75293523283,99611.7529537261,99611.75296233608,99611.7529826574,99670.67770458982,99657.67045041248,99648.63264522693,99646.65797682456,99645.83122858916,99645.74977864955,99645.24805287873,99642.13956792264,99640.88134454537,99640.4351279942,99639.27853564579,99637.5250714815,99636.27221441302,99635.21964345624,99635.1761365997,99634.92650631777,99634.7614752655,99633.97104294384,99633.15162959465,99633.09116065613,99632.73016528583,99632.5838662677,99631.19787691484,99631.15493106,99631.1097448338,99630.65762134049,99630.48305464805,99630.13416105647,99629.95590646604,99629.78213615132,99629.67140548883,99629.53905906864,99629.38105243225,99629.3589803131,99629.04711910085,99628.84254886548,99628.71165830459,99628.42414326312,99628.37832539063,99628.37823815073,99628.17650303211,99628.13251008773,99627.89331558623,99627.07791410477,99627.03376704417,99626.85719937999,99626.70067473345,99626.56573878642,99626.52096893142,99626.03555255482,
n84,99597.30095309847,99597.30104462909,99597.3009744872,99597.30094194207,99602.28261554708,99602.28266816383,99602.28252106991,0.0,99602.2826107816,99602.2826259443,99602.2826535294,99602.28269387066,99602.28274714075,99602.28260474058,99602.28260923164,99602.28260769,99602.28260926106,99602.28261415608,99602.28262217536,99602.28263346855,99602.28264789292,99602.282665508,99602.28268629388,99602.28271061824,99602.28273785186,99602.28268175405,99604.69431398633,99607.07345294808,99607.0734507927,99607.07344929359,99607.07344872011,99607.07344863252,99607.07344980132,99607.07345163246,99607.07345424363,99607.0734583931,99609.42553558685,99611.75276590373,99611.75277162596,99611.75278067618,99611.7527857625,99611.75279608168,99611.75280312914,99611.75281670019,99611.7528237045,99611.75283836052,99611.75284786274,99611.75286635598,99611.75287496594,99611.75289528735,99670.67761721955,99657.67032766137,99648.63294817363,99646.65742180556,99645.83148710045,99645.74973507333,99645.2477789318,99642.13911726589,99640.88103902561,99640.43497021693,99639.27812382278,99637.52470203322,99636.27201111756,99635.21929880041,99635.17580438295,99634.9263242986,99634.76152863391,99633.97087930991,99633.15157993633,99633.09102982681,99632.73011049064,99632.58394019092,99631.19819312134,99631.15534608357,99631.11005333155,99630.65768127896,99630.48305515318,99630.13417439438,99629.9558940188,99629.78212504824,99629.67138785633,99629.5390289055,99629.3810200394,99629.35895063479,99629.04709332349,99628.84252787784,99628.71163415267,99628.42409743513,99628.37828968943,99628.37818766855,99628.17646627083,99628.13247312584,99627.89327783453,99627.0778720801,99627.03372818345,99626.85716600518,99626.70063218866,99626.56570358462,99626.52092719567,99626.03551359629,
n89,99597.30095075686,99597.30104228752,99597.30097214562,99597.30093960043,99602.28261320545,99602.28266582219,99602.28251872827,99602.2826060984,0.0,99602.2826236027,99602.28265118776,99602.28269152906,99602.28274479911,99602.28260239899,99602.28260689008,99602.2826053484,99602.28260691949,99602.2826118145,99602.28261983373,99602.28263112697,99602.28264555131,99602.28266316639,99602.28268395226,99602.28270827663,99602.28273551022,99602.28267941241,99604.69431164466,99607.07345060649,99607.07344845108,99607.07344695201,99607.07344637852,99607.07344629093,99607.07344745971,99607.07344929085,99607.07345190206,99607.07345605156,99609.42553324526,99611.75276356214,99611.75276928437,99611.75277833457,99611.7527834209,99611.75279374007,99611.75280078748,99611.7528143586,99611.75282136288,99611.75283601889,99611.7528455211,99611.75286401436,99611.75287262436,99611.75289294572,99670.67761487795,99657.67031867964,99648.63294035867,99646.65741348207,99645.83148017197,99645.74972607061,99645.24777027946,99642.13910861182,99640.88103729984,99640.43497683003,99639.27813029994,99637.5247077693,99636.27201750538,99635.21930524839,99635.17581143691,99634.92633089743,99634.76153569967,99633.97088590775,99633.15158716537,99633.0910293808,99632.73011744904,99632.5839471481,99631.19819961915,99631.15535407058,99631.11006208838,99630.65768935723,99630.48305299626,99630.13418293616,99629.95589000653,99629.7821221242,99629.67139015713,99629.5390411823,99629.38103127894,99629.35895806274,99629.04709709506,99628.8425394279,99628.71164581069,99628.42411423543,99628.37831065885,99628.37820664955,99628.1764876403,99628.1324934519,99627.89329090918,99627.07789359927,99627.03374986534,99626.85717923302,99626.7006531313,99626.56571566092,99626.52094884898,99626.0355354475,
n90,99597.30093559415,99597.30102712476,99597.30095698289,99597.30092443772,99602.28259804272,99602.28265065947,99602.28250356557,99602.28259093568,99602.28259327728,0.0,99602.28263602509,99602.28267636632,99602.2827296364,99602.28258723633,99602.28259172737,99602.28259018567,99602.28259175675,99602.28259665174,99602.282604671,99602.2826159642,99602.2826303886,99602.28264800366,99602.28266878951,99602.28269311388,99602.28272034755,99602.28266424977,99604.69429648198,99607.07343544373,99607.07343328836,99607.07343178926,99607.07343121579,99607.07343112823,99607.07343229697,99607.07343412809,99607.07343673929,99607.07344088878,99609.42551808254,99611.75274839948,99611.75275412161,99611.75276317185,99611.75276825814,99611.75277857734,99611.75278562476,99611.75279919583,99611.75280620018,99611.75282085619,99611.75283035841,99611.75284885164,99611.75285746167,99611.752877783,99670.67759971524,99657.67035859171,99648.63298037526,99646.65745350976,99645.83151950774,99645.74976600596,99645.24781036384,99642.13914870568,99640.88107737256,99640.43500868423,99639.2781855328,99637.52476352661,99636.2720728383,99635.21936059026,99635.17586678034,99634.92638637873,99634.76159119385,99633.97094149803,99633.15164266979,99633.09107282435,99632.73017278542,99632.58400249739,99631.19825465987,99631.15540853566,99631.11011700101,99630.65774607958,99630.48303850643,99630.13417874843,99629.95588022235,99629.78211725902,99629.67139667933,99629.5390773783,99629.38107393878,99629.35898612256,99629.04712630597,99628.84257651323,99628.71168356619,99628.4241796678,99628.37837597239,99628.37828436386,99628.17655801999,99628.13256195991,99627.89334729864,99627.07796352595,99627.03381996066,99626.85723234946,99626.70072235432,99626.56576813913,99626.52101875526,99626.03560556255,
