#  ord,name,trans_vc_truck($/tonne/km),trans_fc_truck($/tonne)
1,Recyclables,0.07,3.01
2,Plastic Bales,0.07,3.01
3,Plastic Flakes,0.07,3.01
4,Pyrolysis Oil,0.0945,7.66
5,Wax,1000000000,0
6,Pyrolysis Gas,1000000000,0
7,Ethylene,1000000000,0
8,Propylene,1000000000,0
9,C4,1000000000,0
10,Pyrolysis Gasoline,1000000000,0
11,Fuel Gas,1000000000,0
12,Fuel Oil,1000000000,0
13,LDPE,1000000000,0
14,PP,1000000000,0
15,rPET,1000000000,0
16,rHDPE,1000000000,0
