# 1. Storage ID| 2. Storage node|3. Storage product| 4. Storage bid| 5. Storage capacity
L001|NC002|Digestate|0.0007995495625570776|28.538812785388128
L002|NC003|Digestate|0.0007995495625570776|28.538812785388128
L003|NC004|Digestate|0.0007995495625570776|28.538812785388128
L004|NC005|Digestate|0.0007995495625570776|28.538812785388128
L005|NC006|Digestate|0.0007995495625570776|28.538812785388128
L006|NC007|Digestate|0.0007995495625570776|28.538812785388128
L007|NC008|Digestate|0.0007995495625570776|28.538812785388128
L008|NC013|Digestate|0.0007995495625570776|28.538812785388128
L009|NC015|Digestate|0.0007995495625570776|28.538812785388128
L010|NC025|Digestate|0.0007995495625570776|28.538812785388128
L011|NC026|Digestate|0.0007995495625570776|28.538812785388128
L012|NC029|Digestate|0.0007995495625570776|28.538812785388128
L013|NC031|Digestate|0.0007995495625570776|28.538812785388128
L014|NC032|Digestate|0.0007995495625570776|28.538812785388128
L015|NC034|Digestate|0.0007995495625570776|28.538812785388128
L016|NC040|Digestate|0.0007995495625570776|28.538812785388128
L017|NC041|Digestate|0.0007995495625570776|28.538812785388128
L018|NC042|Digestate|0.0007995495625570776|28.538812785388128
L019|NC043|Digestate|0.0007995495625570776|28.538812785388128
L020|NC044|Digestate|0.0007995495625570776|28.538812785388128
L021|NC045|Digestate|0.0007995495625570776|28.538812785388128
L022|NC048|Digestate|0.0007995495625570776|28.538812785388128
L023|NC049|Digestate|0.0007995495625570776|28.538812785388128
L024|NC050|Digestate|0.0007995495625570776|28.538812785388128
L025|NC051|Digestate|0.0007995495625570776|28.538812785388128
L026|NC052|Digestate|0.0007995495625570776|28.538812785388128
L027|NC054|Digestate|0.0007995495625570776|28.538812785388128
L028|NC061|Digestate|0.0007995495625570776|28.538812785388128
L029|NC063|Digestate|0.0007995495625570776|28.538812785388128
L030|NC064|Digestate|0.0007995495625570776|28.538812785388128
L031|NC065|Digestate|0.0007995495625570776|28.538812785388128
L032|NC066|Digestate|0.0007995495625570776|28.538812785388128
L033|NC068|Digestate|0.0007995495625570776|28.538812785388128
L034|NC069|Digestate|0.0007995495625570776|28.538812785388128
L035|NC070|Digestate|0.0007995495625570776|28.538812785388128
L036|NC071|Digestate|0.0007995495625570776|28.538812785388128
L037|NC074|Digestate|0.0007995495625570776|28.538812785388128
L038|NC076|Digestate|0.0007995495625570776|28.538812785388128
L039|NC080|Digestate|0.0007995495625570776|28.538812785388128
L040|NC086|Digestate|0.0007995495625570776|28.538812785388128
L041|NC089|Digestate|0.0007995495625570776|28.538812785388128
L042|NC090|Digestate|0.0007995495625570776|28.538812785388128
L043|NC092|Digestate|0.0007995495625570776|28.538812785388128
L044|NC093|Digestate|0.0007995495625570776|28.538812785388128
L045|NC095|Digestate|0.0007995495625570776|28.538812785388128
L046|NC097|Digestate|0.0007995495625570776|28.538812785388128
L047|NC101|Digestate|0.0007995495625570776|28.538812785388128
L048|NC105|Digestate|0.0007995495625570776|28.538812785388128
L049|NC106|Digestate|0.0007995495625570776|28.538812785388128
L050|NC107|Digestate|0.0007995495625570776|28.538812785388128
L051|NC109|Digestate|0.0007995495625570776|28.538812785388128
L052|NC110|Digestate|0.0007995495625570776|28.538812785388128
L053|NC111|Digestate|0.0007995495625570776|28.538812785388128
L054|NC115|Digestate|0.0007995495625570776|28.538812785388128
L055|NC116|Digestate|0.0007995495625570776|28.538812785388128
L056|NC120|Digestate|0.0007995495625570776|28.538812785388128
L057|NC121|Digestate|0.0007995495625570776|28.538812785388128
L058|NC128|Digestate|0.0007995495625570776|28.538812785388128
L059|NC130|Digestate|0.0007995495625570776|28.538812785388128
L060|NC132|Digestate|0.0007995495625570776|28.538812785388128
L061|NC133|Digestate|0.0007995495625570776|28.538812785388128
L062|NC136|Digestate|0.0007995495625570776|28.538812785388128
L063|NC143|Digestate|0.0007995495625570776|28.538812785388128
L064|NC146|Digestate|0.0007995495625570776|28.538812785388128
L065|NC150|Digestate|0.0007995495625570776|28.538812785388128
L066|NC152|Digestate|0.0007995495625570776|28.538812785388128
L067|NC154|Digestate|0.0007995495625570776|28.538812785388128
L068|NC157|Digestate|0.0007995495625570776|28.538812785388128
L069|NC158|Digestate|0.0007995495625570776|28.538812785388128
L070|NC160|Digestate|0.0007995495625570776|28.538812785388128
L071|NC161|Digestate|0.0007995495625570776|28.538812785388128
L072|NC162|Digestate|0.0007995495625570776|28.538812785388128
L073|NC166|Digestate|0.0007995495625570776|28.538812785388128
L074|NC167|Digestate|0.0007995495625570776|28.538812785388128
