Hour,Wind01,Wind02,Wind03,Wind04,Wind05,Wind06,Wind07,Wind08,Wind09,Wind10,Wind11,Wind12,Wind13,Wind14,Wind15,Wind16,Wind17
1.0,1.4776568475,12.443899455,6.761710644,2.7522724524999997,0.037264074,6.5951440009999995,1.5259936265,0.5266531835,0.339638465,0.43141908900000003,2.1978024444999997,26.349556865,20.569183045,226.55811725,17.13583276,46.2062836895,12.072014615
2.0,1.774973058,14.34331706,6.81525504,2.7290730004999997,0.0624068795,7.2176254150000005,1.7435392545,0.6362273224999999,0.457038447,0.5574772885,2.373369435,25.074177210000002,19.479044045,224.06327579999999,18.321861635,47.660598918,11.097993505000002
3.0,1.9374938130000001,15.58825957,6.858868438,2.77489127,0.076570348,7.390983412500001,1.8963118695,0.693058603,0.534080856,0.6320774935,2.4270544015,23.788776939999998,18.378685655,223.4400933,19.332203035,49.205263636000005,10.194783277500001
4.0,1.9874771300000003,16.25172009,6.893639467,2.8755952899999997,0.082078939,7.191327609,1.992755712,0.7174771845,0.58870312,0.673538671,2.3808572244999997,22.507536915000003,17.27364264,224.323662,20.18702357,50.896056565,9.362757598
5.0,1.947181025,16.406691690000002,6.9206567545,3.01705309,0.0812571135,6.694767606999999,2.0413150235,0.7298132245000001,0.6388426690000001,0.7001797875,2.256777784,21.24463798,16.169449775,226.34907455,20.90648988,52.7887564105,8.602290124
6.0,1.8403624619999999,16.1218791,6.9410483345,3.18371726,0.07666693200000001,5.981767154,2.0504623005,0.7884150425,0.748208273,0.731657126,2.07878751,20.023080345,15.073951885,229.11964545,21.510085375,54.95940178,7.915269335
7.0,1.6967741889999999,15.448833569999998,6.956099859,3.354378629,0.071820866,5.1502065345000005,2.0287830739999997,0.919033577,0.8685162545,0.8438289545,1.878744035,18.9011415355,14.00423401,232.111578,22.01456072,57.56507079,7.309642959
8.0,1.5476679025,14.43481797,6.9671363865,3.506412587,0.07046898900000001,4.3023201685,1.9848911295,1.0562608,0.9951453585,0.971361798,1.6904765414999998,17.9459184055,12.979691254999999,234.76929755,22.435983405,60.783101545,6.7948735445
9.0,1.4242952965,13.12709518,6.975482974,3.6171945225,0.076361374,3.5403424765000002,1.9274002555,1.1990415125,1.1262611790000001,1.110511238,1.547814212,17.2245078145,12.0197187115,236.5372296,22.790420885,64.79083195999999,6.3804236275
10.0,1.3504133349999998,11.59436993,6.982267655499999,3.6711770255,0.0920600835,2.9447372025,1.864782948,1.5732602980000001,1.39937011,1.412726278,1.4747284765,16.7599099575,11.132161205500001,237.0186887,23.097356595,69.66430070999999,6.0681816895
