Hour,Wind01,Wind02,Wind03,Wind04,Wind05,Wind06,Wind07,Wind08,Wind09,Wind10,Wind11,Wind12,Wind13,Wind14,Wind15,Wind16,Wind17
1.0,2.401171945,10.84155659,6.507755947,3.164451388,0.037557904,4.763720576,2.67423645,0.642226075,0.627839003,0.603704777,2.171968739,28.95524598,15.97850243,228.5934037,17.76703163,90.26418351,13.52373639
2.0,2.442214356,10.89030126,6.613928542,3.228238657,0.044043343,4.760144407,2.727405899,0.764534446,0.744097607,0.710645918,2.212891259,29.01152851,15.98300997,231.6061964,17.97426262,92.23821572,13.35917236
3.0,2.478977448,10.94466859,6.700495371,3.284759152,0.052935,4.741308355,2.779264877,0.923489161,0.892823743,0.852330607,2.255890708,29.00389993,15.95871338,234.0333939,18.18308427,94.09424447,13.22268631
4.0,2.511669191,10.99983175,6.769598234,3.334513274,0.063972178,4.708694339,2.829733143,1.114765121,1.070288155,1.024853469,2.300295416,28.94584104,15.90639598,235.9384478,18.39751797,95.82448504,13.10340404
5.0,2.540497553,11.05096386,6.823378929,3.378001424,0.076894182,4.663784276,2.878730458,1.334037225,1.272761591,1.224309126,2.345433715,28.85083262,15.82684106,237.38481,18.62158512,97.42115268,12.99045133
6.0,2.565592995,11.09290761,6.864056059,3.415732089,0.091436339,4.607672224,2.926014159,1.576830085,1.496416546,1.446699775,2.39037575,28.73139384,15.71976005,238.4373895,18.85963889,98.87508604,12.87213568
7.0,2.586775939,11.11918379,6.894155434,3.448246089,0.107318074,4.539900795,2.970691901,1.838067154,1.737032509,1.687657909,2.433158934,28.5961973,15.5805768,239.1669247,19.11735962,100.1716172,12.73349137
8.0,2.603789301,11.12298272,6.916279666,3.476092332,0.124254839,4.459624738,3.011708916,2.1125216,1.990290717,1.942723596,2.471562497,28.45295394,15.40364327,239.6456114,19.40075946,101.2947018,12.55873439
9.0,2.616375993,11.09749473,6.933031368,3.499819721,0.141962084,4.365998804,3.048010438,2.394966587,2.251872409,2.207436902,2.503365666,28.30937471,15.18331143,239.9456454,19.71585053,102.2282951,12.33208071
10.0,2.624666476,11.0375625,6.946629141,3.519936743,0.160175137,4.26011705,3.079353804,2.680926727,2.517950079,2.477800025,2.527638589,28.17797877,14.91929269,240.1319357,20.06698602,102.9632359,12.04183783
11.0,2.630341395,10.94463809,6.957755544,3.536790203,0.178708835,4.15083076,3.108744776,2.96893241,2.786661253,2.751663681,2.548615083,28.09051811,14.63273628,240.2402448,20.45188328,103.5178954,11.69267927
12.0,2.635468939,10.82182594,6.966709126,3.550686487,0.197397894,4.048930528,3.140001217,3.258265473,3.05663471,3.027340717,2.571819884,28.08355291,14.35015086,240.2990483,20.86660072,103.9175279,11.29337004
13.0,2.6421173,10.67223047,6.973788435,3.561931978,0.21607703,3.965206945,3.176940993,3.548207751,3.326499233,3.303143979,2.602777726,28.19364337,14.09804511,240.3368221,21.30719674,104.187388,10.85267515
14.0,2.651954916,10.50002099,6.979316834,3.570918699,0.23459737,3.908170822,3.222511638,3.837921105,3.594927723,3.5774772,2.645881468,28.44479473,13.89750762,240.3758147,21.7693778,104.3552666,10.38051748
15.0,2.665051223,10.3136264,6.983716947,3.578381217,0.252875695,3.877213843,3.276179357,4.126087491,3.860769563,3.84910765,2.700996462,28.81079244,13.74794674,240.4133663,22.24744265,104.4591013,9.8914513
16.0,2.681075903,10.12254048,6.987436211,3.585139738,0.2708452,3.869447913,3.336540026,4.411268891,4.122918254,4.116893487,2.766856181,29.25286698,13.64335072,240.4405899,22.73533807,104.5393662,9.401188723
17.0,2.699698641,9.936257004,6.990922064,3.592014464,0.288439077,3.881984935,3.402189517,4.692027286,4.380267298,4.379692867,2.8421941,29.73224884,13.57770784,240.4485984,23.22701087,104.6365355,8.925441868
18.0,2.72069051,9.762492895,6.994530346,3.599685824,0.305626199,3.911170842,3.472016959,4.967480781,4.63220621,4.63691732,2.925773194,30.21218608,13.54252657,240.4315047,23.71707206,104.7838508,8.476723248
19.0,2.744228142,9.601857602,6.998250502,3.608275137,0.322518151,3.95028769,3.54608449,5.238971973,4.880108549,4.890191866,3.016474437,30.66399698,13.51939628,240.3954209,24.20278953,104.9856238,8.054746949
20.0,2.77058956,9.453183707,7.001980382,3.617763948,0.339262196,3.991851563,3.624747504,5.508399583,5.125843886,5.141694902,3.113208307,31.06101738,13.48742651,240.3494587,24.68209538,105.2389332,7.65602745
21.0,2.800052784,9.315303793,7.005617832,3.628133799,0.356005596,4.028378546,3.708361394,5.77766233,5.371281794,5.393604822,3.214885277,31.37658313,13.42572684,240.30273,25.1529217,105.5408583,7.277079232
22.0,2.833094584,9.189036351,7.009049873,3.639289904,0.372856756,4.055125444,3.797242451,6.04817918,5.617763805,5.647518406,3.320599335,31.60130276,13.32296386,240.2626048,25.61371206,105.8837303,6.915662302
23.0,2.870986712,9.083143501,7.012120216,3.650832159,0.389768648,4.078311945,3.891550562,6.319450078,5.864519295,5.902705979,3.430178512,31.79487557,13.20603223,240.2294857,26.06495587,106.2408904,6.574518787
24.0,2.915199668,9.008373268,7.014661742,3.662284129,0.406655383,4.106898456,3.991406514,6.590495214,6.110249602,6.157856253,3.543634348,32.03427355,13.11138365,240.2020336,26.50765403,106.5809318,6.257636341
25.0,2.967203952,8.975473679,7.016507336,3.67316938,0.423431074,4.149845386,4.096931092,6.860334778,6.353656064,6.411657937,3.660978386,32.39646869,13.07546982,240.1789094,26.94280742,106.8724481,5.969002618
26.0,3.027700332,8.992139376,7.01755752,3.683103987,0.440031399,4.213323557,4.207657877,7.12825679,6.593870999,6.663153537,3.781631418,32.93669174,13.12549038,240.159541,27.36974727,107.0912649,5.711314402
27.0,3.094310655,9.05385146,7.017983378,3.692074057,0.4564783,4.292345453,4.320771631,7.39462059,6.831750649,6.912800733,3.902651235,33.62320851,13.25163681,240.1464254,27.78112624,107.2421367,5.482104986
28.0,3.163887037,9.153037647,7.018023634,3.700158205,0.472815285,4.379133973,4.432869909,7.660053348,7.068582237,7.161411001,4.020504882,34.40254355,13.43484852,240.1428268,28.16792732,107.3370502,5.277616792
29.0,3.233281592,9.282125654,7.017917012,3.707435049,0.489085859,4.465912016,4.540550267,7.925182234,7.305652986,7.409795813,4.1316594,35.22122142,13.65606496,240.1520091,28.52113351,107.3879921,5.094092244
30.0,3.300010623,9.431490495,7.017857523,3.713954671,0.505354217,4.546075702,4.641175716,8.19102443,7.544558057,7.659117836,4.233204392,36.03120217,13.89614342,240.1758976,28.83148715,107.4090006,4.928022096
31.0,3.364247175,9.58329637,7.017860325,3.719653026,0.521767292,4.617714032,4.735171087,8.460157169,7.788124366,7.911944498,4.324719697,36.80618778,14.13561274,240.2110616,29.08876788,107.4223192,4.776890438
32.0,3.426828477,9.71765478,7.017895863,3.724437536,0.538492707,4.68008923,4.823726666,8.735547695,8.039486769,8.17119442,4.406407711,37.52531573,14.35491961,240.2527314,29.2825147,107.4522428,4.638429692
33.0,3.488591761,9.814677224,7.01793458,3.728215623,0.555698082,4.73246352,4.90803274,9.020163253,8.301780119,8.43978622,4.478470834,38.1677235,14.53451075,240.2961372,29.40226658,107.5230665,4.510372281
34.0,3.549843286,9.860941637,7.017953241,3.730942103,0.573449707,4.775102355,4.988834335,9.315160153,8.576223038,8.718847466,4.541633062,38.71860079,14.66114485,240.3368719,29.44275442,107.6513727,4.390972619
35.0,3.608765426,9.868891704,7.017953888,3.732761372,0.591408555,4.812284119,5.06509544,9.614450964,8.85636921,9.002341513,4.598704791,39.18734622,14.7468286,240.3719783,29.41947676,107.8228945,4.280573083
36.0,3.663009585,9.857437548,7.017944881,3.733865219,0.609134268,4.849290424,5.135334784,9.910137321,9.133856088,9.282440664,4.653018015,39.58941066,14.80988066,240.3988617,29.35312402,108.0156522,4.180038039
37.0,3.710227165,9.845489289,7.01793458,3.734445433,0.626186488,4.891402884,5.198071094,10.19432086,9.400321122,9.551317222,4.707904731,39.94024496,14.86861973,240.4149274,29.26438664,108.2076666,4.090231856
38.0,3.748956941,9.848822706,7.01792958,3.734679425,0.642247287,4.942271179,5.252712603,10.46122977,9.649545694,9.803211659,4.766292861,40.25086339,14.93565666,240.4197243,29.17254694,108.3792946,4.010741596
39.0,3.781287169,9.870676202,7.017929406,3.734687083,0.657488456,4.999017253,5.302225556,10.71359849,9.883886909,10.04063713,4.829494039,40.51453383,15.00077108,240.4213754,29.09125473,108.5202391,3.9360451
40.0,3.810193477,9.911153837,7.01793182,3.734573916,0.672204215,5.057131115,5.3504657,10.956288,10.1078458,10.26817495,4.898415828,40.72008755,15.04803478,240.4301469,29.03275168,108.6225395,3.859342905
41.0,3.838651493,9.970359668,7.01793458,3.734445433,0.686688785,5.112102775,5.401288783,11.19415928,10.3259234,10.49040645,4.973965791,40.85635585,15.06151957,240.4563053,29.00927948,108.6782354,3.773835548
42.0,3.869594961,10.04749635,7.01793592,3.734384595,0.701117073,5.160177098,5.458129078,11.43023819,10.54096432,10.71019053,5.056441079,40.91732761,15.02834418,240.5050715,29.0286736,108.6837346,3.677132109
43.0,3.905790092,10.13816089,7.017935966,3.734384169,0.715186731,5.200618376,5.522734952,11.66021006,10.74918744,10.9234964,5.143697201,40.91762217,14.94781499,240.5614845,29.08114464,108.6529194,3.584475844
