#1. Tech location reference ID,2. Node ID,3. Time ID,4. Tech ID
L01,N06037,T0,TA2
L02,N04013,T0,TA2
L03,N06073,T0,TA1
L04,N06059,T0,TA2
L05,N36047,T0,TA2
L06,N06065,T0,TA2
L07,N32003,T0,TA2
L08,N06071,T0,TA2
L09,N06085,T0,TA2
L10,N36061,T0,TA2
L11,N25017,T0,TA2
L12,N42101,T0,TA2
L13,N06067,T0,TA2
L14,N36005,T0,TA2
L15,N36059,T0,TA2
L16,N24033,T0,TA2
L17,N09003,T0,TA1
L18,N25027,T0,TA1
L19,N24005,T0,TA1
L20,N06111,T0,TA2
L21,N34027,T0,TA2
L22,N34021,T0,TA2
L23,N06037,T0,TB2
L24,N04013,T0,TB2
L25,N06059,T0,TB2
L26,N06065,T0,TB2
L27,N36081,T0,TB2
L28,N06071,T0,TB2
L29,N36061,T0,TB2
L30,N42101,T0,TB2
L31,N36005,T0,TB2
L32,N25027,T0,TB2
L33,N06111,T0,TB2
L34,N24003,T0,TB2
L35,N34027,T0,TB2
L36,N06017,T0,TB2
L37,N06037,T0,TC2
L38,N06065,T0,TC2
L39,N36081,T0,TC2
L40,N06071,T0,TC2
L41,N36061,T0,TC2
L42,N36005,T0,TC2
L43,N34005,T0,TC1
L44,N34021,T0,TC1
L45,N06071,T0,TD2
L46,N36061,T0,TD2
L47,N06071,T0,TE2
L48,N36061,T0,TE2
L49,N06071,T0,TF2
L50,N36061,T0,TF2
