#1. Env. stakeholder reference,2. Node,3. Time,4. Impact,5. Bid (USD/impact unit),6. Capacity
V0075,N04013,T0,CO2,0.0,Inf
V0076,N04015,T0,CO2,0.0,Inf
V0077,N04017,T0,CO2,0.0,Inf
V0078,N04019,T0,CO2,0.0,Inf
V0079,N04021,T0,CO2,0.0,Inf
V0080,N04023,T0,CO2,0.0,Inf
V0081,N04025,T0,CO2,0.0,Inf
V0082,N04027,T0,CO2,0.0,Inf
V0083,N05001,T0,CO2,0.0,Inf
V0084,N05003,T0,CO2,0.0,Inf
V0085,N05005,T0,CO2,0.0,Inf
V0086,N05007,T0,CO2,0.0,Inf
V0087,N05009,T0,CO2,0.0,Inf
V0088,N05011,T0,CO2,0.0,Inf
V0089,N05013,T0,CO2,0.0,Inf
V0090,N05015,T0,CO2,0.0,Inf
V0091,N05017,T0,CO2,0.0,Inf
V0092,N05019,T0,CO2,0.0,Inf
V0093,N05021,T0,CO2,0.0,Inf
V0094,N05023,T0,CO2,0.0,Inf
V0095,N05025,T0,CO2,0.0,Inf
V0096,N05027,T0,CO2,0.0,Inf
V0097,N05029,T0,CO2,0.0,Inf
V0098,N05031,T0,CO2,0.0,Inf
V0099,N05033,T0,CO2,0.0,Inf
V0100,N05035,T0,CO2,0.0,Inf
V0101,N05037,T0,CO2,0.0,Inf
V0102,N05039,T0,CO2,0.0,Inf
V0103,N05041,T0,CO2,0.0,Inf
V0104,N05043,T0,CO2,0.0,Inf
V0105,N05045,T0,CO2,0.0,Inf
V0106,N05047,T0,CO2,0.0,Inf
V0107,N05049,T0,CO2,0.0,Inf
V0108,N05051,T0,CO2,0.0,Inf
V0109,N05053,T0,CO2,0.0,Inf
V0110,N05055,T0,CO2,0.0,Inf
V0111,N05057,T0,CO2,0.0,Inf
V0112,N05059,T0,CO2,0.0,Inf
V0113,N05061,T0,CO2,0.0,Inf
V0114,N05063,T0,CO2,0.0,Inf
V0115,N05065,T0,CO2,0.0,Inf
V0116,N05067,T0,CO2,0.0,Inf
V0117,N05069,T0,CO2,0.0,Inf
V0118,N05071,T0,CO2,0.0,Inf
V0119,N05073,T0,CO2,0.0,Inf
V0120,N05075,T0,CO2,0.0,Inf
V0121,N05077,T0,CO2,0.0,Inf
V0122,N05079,T0,CO2,0.0,Inf
V0123,N05081,T0,CO2,0.0,Inf
V0124,N05083,T0,CO2,0.0,Inf
V0125,N05085,T0,CO2,0.0,Inf
V0126,N05087,T0,CO2,0.0,Inf
V0127,N05089,T0,CO2,0.0,Inf
V0128,N05091,T0,CO2,0.0,Inf
V0129,N05093,T0,CO2,0.0,Inf
V0130,N05095,T0,CO2,0.0,Inf
V0131,N05097,T0,CO2,0.0,Inf
V0132,N05099,T0,CO2,0.0,Inf
V0133,N05101,T0,CO2,0.0,Inf
V0134,N05103,T0,CO2,0.0,Inf
V0135,N05105,T0,CO2,0.0,Inf
V0136,N05107,T0,CO2,0.0,Inf
V0137,N05109,T0,CO2,0.0,Inf
V0138,N05111,T0,CO2,0.0,Inf
V0139,N05113,T0,CO2,0.0,Inf
V0140,N05115,T0,CO2,0.0,Inf
V0141,N05117,T0,CO2,0.0,Inf
V0142,N05119,T0,CO2,0.0,Inf
V0143,N05121,T0,CO2,0.0,Inf
V0144,N05123,T0,CO2,0.0,Inf
V0145,N05125,T0,CO2,0.0,Inf
V0146,N05127,T0,CO2,0.0,Inf
V0147,N05129,T0,CO2,0.0,Inf
V0148,N05131,T0,CO2,0.0,Inf
V0149,N05133,T0,CO2,0.0,Inf
V0150,N05135,T0,CO2,0.0,Inf
V0151,N05137,T0,CO2,0.0,Inf
