id,partition,component
185,9,1
186,9,1
187,6,1
188,6,1
189,6,1
190,6,1
191,6,1
192,6,1
193,11,1
194,11,1
195,2,1
196,2,1
197,11,1
198,11,1
199,11,1
200,2,1
201,2,1
202,11,1
203,4,1
204,9,1
205,9,1
206,4,1
207,9,1
208,3,1
209,3,1
210,9,1
211,3,2
212,6,2
213,6,2
214,3,2
215,6,2
216,3,2
217,2,2
218,2,2
219,2,2
220,2,2
221,2,2
222,2,2
223,2,2
224,2,2
225,2,2
226,2,3
227,4,3
228,4,3
229,4,3
230,4,3
231,4,3
232,4,3
233,4,3
234,3,3
235,3,3
236,3,3
237,3,3
238,3,3
239,3,3
240,3,3
241,0,3
242,2,3
243,2,3
244,2,3
245,2,3
246,2,3
247,2,3
248,2,3
249,2,3
250,2,3
251,2,3
252,4,3
253,4,3
254,4,3
255,4,3
256,4,3
257,4,3
258,4,3
259,3,3
260,3,3
261,3,3
262,3,3
263,3,3
264,3,3
265,0,3
266,0,3
267,2,3
268,2,3
269,2,1
270,2,1
271,2,1
272,2,1
273,2,1
274,2,1
275,2,1
276,4,1
277,4,1
278,4,1
279,4,1
280,4,1
281,4,1
282,4,1
283,4,1
284,3,1
285,3,1
286,3,1
287,3,1
288,3,1
289,0,1
290,0,1
291,2,1
292,2,1
293,2,1
294,2,1
295,2,1
296,2,1
297,2,1
298,2,1
299,2,1
300,4,1
301,4,1
302,4,1
303,4,1
304,4,1
305,4,1
306,4,1
307,4,1
308,3,1
309,3,1
310,3,1
311,3,1
312,3,1
313,0,1
314,0,1
315,0,1
316,1,1
317,1,1
318,1,1
319,1,1
320,1,1
321,1,1
322,1,1
323,1,1
324,1,1
325,4,1
326,4,1
327,4,1
328,4,1
329,4,1
330,4,1
331,4,1
332,4,1
333,3,1
334,3,1
335,3,1
336,3,1
337,0,1
338,0,1
339,0,1
340,0,2
341,1,2
342,1,2
343,1,2
344,1,2
345,1,2
346,1,2
347,1,2
348,1,2
349,5,2
350,4,2
351,4,2
352,4,2
353,4,2
354,4,2
355,4,2
356,4,2
357,5,2
358,3,2
359,3,2
360,3,2
361,2,2
362,2,2
363,2,2
364,2,2
365,2,3
366,2,3
367,2,3
368,2,3
369,2,3
370,4,3
371,4,3
372,4,3
373,4,3
374,4,3
375,4,3
376,3,3
377,3,3
378,3,3
379,3,3
380,3,3
381,3,3
382,3,3
383,3,3
384,3,3
385,2,3
386,2,3
387,2,3
388,2,3
389,2,3
390,2,3
391,2,3
392,2,3
393,2,3
394,2,3
395,4,3
396,4,3
397,4,3
398,4,3
399,4,3
400,4,3
401,3,3
402,3,3
403,3,3
404,3,3
405,3,3
406,3,3
407,3,3
408,3,3
409,2,3
410,2,3
411,2,3
412,2,3
413,2,3
414,2,3
415,2,3
416,2,1
417,2,1
418,2,1
419,4,1
420,4,1
421,4,1
422,4,1
423,4,1
424,4,1
425,4,1
426,3,1
427,3,1
428,3,1
429,3,1
430,3,1
431,3,1
432,3,1
433,11,1
434,11,1
435,11,1
436,11,1
437,11,1
438,11,1
439,11,1
440,11,1
441,11,1
442,9,1
443,9,1
444,9,1
445,9,1
446,9,1
447,9,1
448,9,1
449,6,1
450,6,1
451,6,1
452,6,1
453,6,1
454,6,1
455,6,1
456,6,1
457,11,1
458,11,1
459,11,1
460,11,1
461,11,1
462,11,1
463,11,1
464,11,1
465,11,1
466,9,1
467,9,1
468,9,1
469,9,1
470,9,1
471,9,1
472,9,1
473,9,1
474,6,1
475,6,1
476,6,1
477,6,1
478,6,1
479,6,1
480,6,1
481,11,1
482,11,2
483,11,2
484,11,2
485,11,2
486,11,2
487,11,2
488,11,2
489,11,2
490,9,2
491,9,2
492,9,2
493,9,2
494,9,2
495,9,2
496,9,2
497,9,2
498,6,2
499,6,2
500,6,2
501,6,2
502,6,2
503,6,2
504,6,3
505,12,3
506,12,3
507,12,3
508,12,3
509,12,3
510,12,3
511,10,3
512,10,3
513,10,3
514,10,3
515,10,3
516,10,3
517,10,3
518,7,3
519,7,3
520,7,3
521,7,3
522,7,3
523,7,3
524,8,3
525,8,3
526,8,3
527,8,3
528,8,3
529,12,3
530,12,3
531,12,3
532,12,3
533,12,3
534,12,3
535,12,3
536,10,3
537,10,3
538,10,3
539,10,3
540,10,3
541,10,3
542,6,3
543,7,3
544,7,3
545,7,3
546,7,3
547,7,1
548,8,1
549,8,1
550,8,1
551,8,1
552,8,1
553,12,1
554,12,1
555,12,1
556,12,1
557,12,1
558,12,1
559,12,1
560,11,1
561,9,1
562,9,1
