#TIME,N(kg),P(kg),Rnat(mH2O),DIN (P),DIN (NP),DON (P),DON (NP),DIP (P),DIP (NP),DOP (P),DOP (NP)
1,55792.19795473616,3215.4085351013227,1.4912355604173981,5428.940278125,46907.33305295578,1047.143475,560.7245571323742,299.1838500000003,2221.967017535921,2.991838500000003,148.38519756277458
2,149501.20787991438,6539.315321709535,1.3893988398812793,5428.940278125,140038.11688795363,1047.143475,1679.9295257190913,299.1838500000003,5388.57273400487,2.991838500000003,349.00618407465964
3,62419.09470546061,2707.195665502907,1.5374146335247612,5428.940278125,53215.09948285357,1047.143475,635.1575655572434,299.1838500000003,1726.2091226508105,2.991838500000003,116.94482290723016
4,66558.11066057759,3494.535573043093,1.578733225498359,5428.940278125,57090.1367171535,1047.143475,680.5057406491696,299.1838500000003,2445.9462248145605,2.991838500000003,167.87730913640084
5,79779.57005660361,3780.418549930064,1.8486735888116164,5428.940278125,68757.33079489024,1047.143475,813.1340443675106,299.1838500000003,2602.1239574628594,2.991838500000003,194.86639039378284
6,50134.61643075525,2825.8646875335307,1.2198065521551205,5428.940278125,42740.78230043279,1047.143475,516.0764797302171,299.1838500000003,1979.0214680427675,2.991838500000003,122.44001543036974
7,73723.7492609463,3630.130005548718,1.5829833823373634,5428.940278125,64149.261748572404,1047.143475,764.5466550166282,299.1838500000003,2571.019637819845,2.991838500000003,176.6997779459169
8,53416.5731903989,3035.363170621823,1.318987481427999,5428.940278125,45461.81483564806,1047.143475,546.7904020779399,299.1838500000003,2129.675756581205,2.991838500000003,135.20446790965096
9,79557.18557683362,3796.2486628507922,1.77979415639117,5428.940278125,68893.48930918708,1047.143475,816.2925637624453,299.1838500000003,2644.474287545529,2.991838500000003,193.6517195016426
10,131746.73111007875,3453.2577735296054,1.7339209028566331,5428.940278125,120708.50781144536,1047.143475,1432.0974279663506,299.1838500000003,2343.2500234748786,2.991838500000003,169.0558242971767
11,103667.68548093307,2475.613117553484,1.8301619996729037,5428.940278125,92461.70580285086,1047.143475,1094.0157447954537,299.1838500000003,1395.0848481443898,2.991838500000003,103.84740067950378
12,118864.58564776486,2162.072180430251,1.9315115896525297,5428.940278125,106959.22309510772,1047.143475,1262.1457854512062,299.1838500000003,1066.8296678778936,2.991838500000003,82.06929699246868
13,105887.16333494903,1873.602387264394,1.8737119562190558,5428.940278125,94430.74365696458,1047.143475,1116.0005690554012,299.1838500000003,819.2546754198684,2.991838500000003,61.85312526297886
14,81338.645019738,1677.4708352888733,1.3237874740868045,5428.940278125,73026.89963611124,1047.143475,878.1689901647383,299.1838500000003,850.7391378451039,2.991838500000003,54.081561126599205
15,89879.72834686954,1665.986413277898,1.6362060157786695,5428.940278125,79838.6613716044,1047.143475,949.9647601754767,299.1838500000003,712.7262230716829,2.991838500000003,49.823201962484774
