node,product,amount(tonne/week),time
beef04,p1,4573.54746531,1
beef04,p1,4771.83943062,2
beef04,p1,4970.13139593,3
beef04,p1,3454.9483741234053,4
beef04,p1,3653.240339433405,5
beef04,p1,3851.532304743405,6
beef04,p1,4049.8242700534047,7
beef04,p1,2534.6412482468104,8
beef04,p1,1126.7889663187423,9
beef04,p1,1325.0809316287423,10
beef04,p1,1523.3728969387423,11
beef04,p1,1721.6648622487423,12
beef04,p1,344.18299068880515,13
beef04,p1,542.4749559988052,14
beef11,p1,272.08098264,1
beef11,p1,274.50000000000006,2
beef11,p1,274.50000000000006,3
beef11,p1,175.35401736000006,4
beef11,p1,274.50000000000006,5
beef11,p1,99.14598264,8
beef11,p1,175.35401736000006,9
beef11,p1,274.50000000000006,10
beef11,p1,274.50000000000006,11
beef14,p1,981.6892239599999,1
beef14,p1,1130.40819792,2
beef14,p1,1229.55418056,3
beef14,p1,99.14598264,5
beef14,p1,198.29196528,6
beef14,p1,297.43794792,7
beef14,p1,396.58393056,8
beef14,p1,495.7299132,9
beef14,p1,594.87589584,10
beef14,p1,99.14598264,12
beef14,p1,198.29196528,13
beef14,p1,297.43794792,14
beef16,p1,4008.0594653099997,1
beef16,p1,4206.3514306199995,2
beef16,p1,3489.313751095854,3
beef16,p1,2596.649900840409,4
beef16,p1,2794.9418661504087,5
beef16,p1,2993.2338314604085,6
beef16,p1,3191.5257967704083,7
beef16,p1,3389.817762080408,8
beef16,p1,3588.109727390408,9
beef16,p1,2729.3182109473278,10
beef16,p1,1836.6543606918817,11
beef16,p1,1375.2846986049865,12
beef16,p1,76.7396582815908,13
beef16,p1,275.0316235915908,14
beef19,p1,2602.4835912000012,1
beef19,p1,3123.000000000001,2
beef19,p1,2841.6140535837458,3
beef19,p1,2179.892879852069,4
beef19,p1,1720.6184604742189,5
beef19,p1,1634.9900237363686,6
beef19,p1,1274.8615869985183,7
beef19,p1,815.587167620668,8
beef19,p1,457.99318648441215,9
beef19,p1,217.98252006951873,10
beef19,p1,77.11783629462525,11
beef19,p1,263.71337722096894,12
beef19,p1,175.80891814731262,13
beef19,p1,87.90445907365631,14
beef20,p1,1080.26046531,1
beef20,p1,1337.2522735988105,2
beef20,p1,830.0330102428015,3
beef20,p1,1003.3660693800002,4
beef20,p1,1201.6580346900002,5
beef20,p1,1399.9500000000003,6
beef20,p1,1201.6580346900002,7
beef20,p1,1399.9500000000003,8
beef20,p1,198.29196531,10
beef20,p1,198.29196531,13
beef20,p1,396.58393062,14
beef28,p1,7157.008059213001,1
beef28,p1,7390.001118426001,2
beef28,p1,6807.027874711814,3
beef28,p1,6158.662486960785,4
beef28,p1,5575.6892432465975,5
beef28,p1,4882.956505055674,6
beef28,p1,4299.983261341487,7
beef28,p1,4098.628235412592,8
beef28,p1,3419.4444307466147,9
beef28,p1,2760.584026368055,10
beef28,p1,2069.3050830717207,11
beef28,p1,1562.7702693494423,12
beef28,p1,699.4742539091781,13
beef28,p1,798.6202365491781,14
beef30,p1,924.6189653100001,1
beef30,p1,1122.91093062,2
beef30,p1,898.1379261788917,3
beef30,p1,673.3649217377833,4
beef30,p1,476.02704801332493,5
beef30,p1,674.319013323325,6
beef30,p1,449.54600888221665,7
beef30,p1,224.77300444110833,8
beef30,p1,198.29196531,10
beef30,p1,396.58393062,11
beef30,p1,594.87589593,12
beef30,p1,793.16786124,13
beef30,p1,991.45982655,14
beef33,p1,3911.2047066,1
beef33,p1,4159.0696632,2
beef33,p1,4277.898079531213,3
beef33,p1,4099.339799966462,4
beef33,p1,4248.058773926462,5
beef33,p1,3669.946679212987,6
beef33,p1,3378.331714163808,7
beef33,p1,2266.7748767327193,8
beef33,p1,1526.6811011007867,9
beef33,p1,674.2436343945408,10
beef33,p1,148.71897396,12
beef33,p1,297.43794792,13
beef33,p1,446.15692188,14
beef39,p1,514.0711714894053,1
beef39,p1,594.7500000000001,2
beef39,p1,535.2624104070002,3
beef39,p1,555.0916069380002,4
beef39,p1,574.9208034690001,5
beef39,p1,594.7500000000001,6
beef39,p1,306.71060051064103,7
beef39,p1,326.539797041641,8
beef39,p1,19.829196531,10
beef39,p1,39.658393062,11
beef39,p1,59.487589593,12
beef39,p1,79.316786124,13
beef39,p1,99.14598265500001,14
beef41,p1,15143.387775677056,1
beef41,p1,14688.627030340358,2
beef41,p1,12411.220612782816,3
beef41,p1,10403.301187017225,4
beef41,p1,8519.681943660184,5
beef41,p1,6619.578424265632,6
beef41,p1,4463.4812047815585,7
beef41,p1,2231.7406023907793,8
beef41,p1,99.14598264,11
beef41,p1,198.29196528,12
beef41,p1,297.43794792,13
beef41,p1,396.58393056,14
beef54,p1,2754.2687022599994,1
beef54,p1,3026.9201545199994,2
beef54,p1,3076.493145839999,3
beef54,p1,3126.066137159999,4
beef54,p1,3175.639128479999,5
beef54,p1,3225.2121197999986,6
beef54,p1,3274.7851111199984,7
beef54,p1,3324.358102439998,8
beef54,p1,3145.4058427997293,9
beef54,p1,2474.725409027584,10
beef54,p1,1804.0449752554387,11
beef54,p1,1335.7992911501046,12
beef54,p1,698.4652673887783,13
beef54,p1,570.772068135271,14
dairy003,p2,2271.908889825741,1
dairy003,p2,1622.8591919885794,2
dairy003,p2,914.4907304159807,3
dairy003,p2,987.8239628159807,4
dairy003,p2,1061.1571952159807,5
dairy003,p2,1134.4904276159807,6
dairy003,p2,1207.8236600159807,7
dairy003,p2,1281.1568924159808,8
dairy003,p2,622.6380243011612,9
dairy003,p2,695.9712567011612,10
dairy003,p2,769.3044891011613,11
dairy003,p2,9.046552800000029,12
dairy003,p2,82.37978520000004,13
dairy003,p2,155.71301760000006,14
dairy003,p2,229.04625000000007,15
dairy003,p3,2909.57949387,1
dairy003,p3,2933.17623774,2
dairy003,p3,2807.0170906782932,3
dairy003,p3,2830.613834548293,4
dairy003,p3,2854.210578418293,5
dairy003,p3,2877.807322288293,6
dairy003,p3,2901.404066158293,7
dairy003,p3,2925.000810028293,8
dairy003,p3,1817.5367043032834,9
dairy003,p3,465.16709114177263,10
dairy003,p3,134.65927452000005,11
dairy003,p3,158.25601839000007,12
dairy003,p3,181.85276226000008,13
dairy003,p3,205.4495061300001,14
dairy003,p3,229.04625000000007,15
dairy004,p2,4443.7729295399995,1
dairy004,p2,3688.759766790939,2
dairy004,p2,2450.3547226100145,3
dairy004,p2,1211.94967842909,4
dairy004,p2,1005.2419321699417,5
dairy004,p2,347.37562295301643,6
dairy004,p2,640.7085524930164,7
dairy004,p2,238.66204619402902,8
dairy004,p2,293.33292954,11
dairy004,p2,586.66585908,12
dairy004,p2,293.33292954,14
dairy004,p2,329.4000000000001,15
dairy004,p3,2690.1897494558075,1
dairy004,p3,2784.5767249358073,2
dairy004,p3,2878.963700415807,3
dairy004,p3,2973.350675895807,4
dairy004,p3,3067.7376513758068,5
dairy004,p3,3162.1246268558066,6
dairy004,p3,1171.8525544208344,7
dairy004,p3,1266.2395299008344,8
dairy004,p3,94.38697547999999,10
dairy004,p3,188.77395095999998,11
dairy004,p3,46.23907356000012,12
dairy004,p3,140.6260490400001,13
dairy004,p3,235.0130245200001,14
dairy004,p3,329.4000000000001,15
dairy010,p2,1157.3694383700001,1
dairy010,p2,1414.0357517400003,2
dairy010,p2,1338.1870001074944,3
dairy010,p2,1246.3544190300001,4
dairy010,p2,1429.6875000000002,5
dairy010,p2,760.1376805656438,6
dairy010,p2,183.33308097,8
dairy010,p2,366.66616194,9
dairy010,p2,330.778693236717,10
dairy010,p2,294.89122453343396,11
dairy010,p2,183.33308097,13
dairy010,p2,332.8631952542063,14
dairy010,p3,983.2917285599999,1
dairy010,p3,1065.8803321199998,2
dairy010,p3,1124.8721918099998,3
dairy010,p3,1183.8640514999997,4
dairy010,p3,508.4825245415229,5
dairy010,p3,567.4743842315229,6
dairy010,p3,626.4662439215228,7
dairy010,p3,685.4581036115228,8
dairy010,p3,744.4499633015228,9
dairy010,p3,803.4418229915227,10
dairy010,p3,862.4336826815227,11
dairy010,p3,58.99185969,13
dairy014,p2,146.40000000000003,1
dairy014,p2,146.40000000000003,2
dairy014,p2,146.40000000000003,5
dairy014,p2,146.40000000000003,6
dairy014,p2,146.40000000000003,8
dairy014,p2,146.40000000000003,9
dairy014,p2,146.40000000000003,10
dairy014,p2,146.40000000000003,12
dairy014,p3,99.20651226000004,1
dairy014,p3,146.40000000000003,2
dairy014,p3,146.40000000000003,3
dairy014,p3,47.193487739999995,5
dairy014,p3,47.193487739999995,7
dairy014,p3,94.38697547999999,8
dairy014,p3,47.193487739999995,10
dairy014,p3,94.38697547999999,11
dairy014,p3,52.013024520000045,12
dairy014,p3,99.20651226000004,13
dairy014,p3,146.40000000000003,14
dairy016,p2,3297.4842166524945,1
dairy016,p2,3714.900000000001,2
dairy016,p2,3398.5730965221487,3
dairy016,p2,3101.6164236050513,4
dairy016,p2,3074.9420685024675,5
dairy016,p2,2649.05440505743,6
dairy016,p2,2295.8882615467637,7
dairy016,p2,2515.887958716764,8
dairy016,p2,2298.4082605717845,9
dairy016,p2,1798.8421170611182,10
dairy016,p2,1445.675973550452,11
dairy016,p2,869.6261793372126,12
dairy016,p2,516.4600358265463,13
dairy016,p2,16.89389231588001,14
dairy016,p3,2474.99295096,1
dairy016,p3,2569.37992644,2
dairy016,p3,2640.17015805,3
dairy016,p3,2644.997829068157,4
dairy016,p3,1606.4289031868768,5
dairy016,p3,1677.219134796877,6
dairy016,p3,1748.009366406877,7
dairy016,p3,709.4404405255967,8
dairy016,p3,70.79023160999999,10
dairy016,p3,141.58046321999998,11
dairy016,p3,212.37069483,12
dairy016,p3,283.16092643999997,13
