#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,4.535901418781449e8,7.870474532152993e9
2.5431221463719704e6,5.570624616342369e8,9.665875671276276e9
1.9092393115614345e6,3.4019048958795446e8,5.902819169076964e9
1.5560973061185484e6,2.502679529655544e8,4.342527246896424e9
1.9210607107483805e6,3.875885718645052e8,6.725247535544199e9
2.6067928106942493e6,5.813994117450997e8,1.0088158539340197e10
2.879117185993429e6,6.453095054258274e8,1.1197095260449116e10
2.9689175106173707e6,5.490825047588911e8,9.527411358328398e9
2.9985296167452415e6,5.54808686978663e8,9.62676927457537e9
2.9679765409505223e6,5.469653468408586e8,9.49067546851072e9
2.954601455267023e6,5.443789662065984e8,9.445797855368351e9
2.950190953875321e6,5.435260942582006e8,9.430999238005861e9
1.975736618926649e6,2.8349053051722574e8,4.9189891810782995e9
1.518594625514945e6,1.9315640554088503e8,3.351555578869161e9
1.3095575634758798e6,1.536322365483565e8,3.512325649295587e9
2.0144328727793773e6,8.602576641964526e8,1.966712928773433e10
2.6705833095403537e6,1.1848647459523728e9,2.7088265663858414e10
2.9001524219983225e6,1.2919055544914093e9,2.9535422496302624e10
2.896033307695893e6,1.2806524878710456e9,2.927815595243183e10
1.9277554209616836e6,6.518585400647252e8,1.4902728238686193e10
2.523198965042558e6,1.1161440925851724e9,2.551718059160538e10
2.8515516973446854e6,1.2506704809420023e9,2.8592710148086655e10
2.9598276528829862e6,1.30041732500483e9,2.9730017788064816e10
2.99553219069979e6,1.316821595613918e9,3.0105050669918037e10
3.007305940599975e6,1.3222309858835063e9,3.022871963821393e10
1.8717629334224164e6,4.4187201117887384e8,1.0102036092411411e10
1.3175688923618088e6,1.4586886780655098e8,3.3348402479931035e9
1.8667702451244206e6,7.614340552798539e8,1.7407833295226444e10
2.2745849462575396e6,4.0875726358093125e8,9.424608155267332e9
1.6003215532278824e6,1.9303622662855473e8,4.45078524062803e9
1.398129175938486e6,1.8068737893508404e8,4.1660611242650313e9
2.3214344708447866e6,4.339996184165779e8,1.0006614456899902e10
