# 1.Supply reference no.| 2.Node| 3.Product| 4.Bid| 5.Capacity| 6.Notes
S056|NC056|Manure|0.0|23147.27754|
S057|NC057|Manure|0.0|35781.76673|
S058|NC058|Manure|0.0|29273.09048|
S059|NC059|Manure|0.0|34792.70318|
S060|NC060|Manure|0.0|23833.24097|
S061|NC061|Manure|0.0|130189.4776|
S062|NC062|Manure|0.0|62295.05086|
S063|NC063|Manure|0.0|34904.37165|
S064|NC064|Manure|0.0|32623.14443|
S065|NC065|Manure|0.0|70989.23849|
S066|NC066|Manure|0.0|47060.2817|
S067|NC067|Manure|0.0|44635.48074|
S068|NC068|Manure|0.0|41062.08986|
S069|NC069|Manure|0.0|67192.51068|
S070|NC070|Manure|0.0|89813.35117|
S071|NC071|Manure|0.0|64560.32543|
S072|NC072|Manure|0.0|30070.72237|
S073|NC073|Manure|0.0|26800.43161|
S074|NC074|Manure|0.0|20148.18162|
S075|NC075|Manure|0.0|17515.99637|
S076|NC076|Manure|0.0|35510.57188|
S077|NC077|Manure|0.0|52468.22593|
S078|NC078|Manure|0.0|47570.76611|
S079|NC079|Manure|0.0|17484.0911|
S080|NC080|Manure|0.0|28363.79012|
S081|NC081|Manure|0.0|69266.3536|
S082|NC082|Manure|0.0|25891.13125|
S083|NC083|Manure|0.0|44571.67019|
S084|NC084|Manure|0.0|39562.5419|
S085|NC085|Manure|0.0|45656.44957|
S086|NC086|Manure|0.0|209856.9511|
S087|NC087|Manure|0.0|39897.5473|
S088|NC088|Manure|0.0|29384.75894|
S089|NC089|Manure|0.0|47841.96095|
S090|NC090|Manure|0.0|42019.24813|
S091|NC091|Manure|0.0|28555.22178|
S092|NC092|Manure|0.0|32032.89683|
S093|NC093|Manure|0.0|27422.58449|
S094|NC094|Manure|0.0|30708.82789|
S095|NC095|Manure|0.0|22413.4562|
S096|NC096|Manure|0.0|23785.38305|
S097|NC097|Manure|0.0|31187.40702|
S098|NC098|Manure|0.0|25524.22058|
S099|NC099|Manure|0.0|41062.08986|
S100|NC100|Manure|0.0|28044.73736|
S101|NC101|Manure|0.0|24742.54133|
S102|NC102|Manure|0.0|23035.60907|
S103|NC103|Manure|0.0|20243.89745|
S104|NC104|Manure|0.0|26928.05271|
S105|NC105|Manure|0.0|21663.68222|
S106|NC106|Manure|0.0|12363.29434|
S107|NC107|Manure|0.0|47762.19776|
S108|NC108|Manure|0.0|26624.95259|
S109|NC109|Manure|0.0|29193.32729|
S110|NC110|Manure|0.0|45704.30748|
S111|NC111|Manure|0.0|83607.77504|
S112|NC112|Manure|0.0|26624.95259|
S113|NC113|Manure|0.0|46374.31827|
S114|NC114|Manure|0.0|83623.72768|
S115|NC115|Manure|0.0|73812.85539|
S116|NC116|Manure|0.0|137862.6964|
S117|NC117|Manure|0.0|62023.85601|
S118|NC118|Manure|0.0|21695.58749|
S119|NC119|Manure|0.0|37616.32008|
S120|NC120|Manure|0.0|138947.4758|
S121|NC121|Manure|0.0|133044.9998|
S122|NC122|Manure|0.0|39801.83147|
S123|NC123|Manure|0.0|25619.93641|
S124|NC124|Manure|0.0|34138.64503|
S125|NC125|Manure|0.0|32000.99155|
S126|NC126|Manure|0.0|75743.12458|
S127|NC127|Manure|0.0|38142.75713|
S128|NC128|Manure|0.0|66650.12099|
S129|NC129|Manure|0.0|59822.39199|
S130|NC130|Manure|0.0|25524.22058|
S131|NC131|Manure|0.0|92126.48366|
S132|NC132|Manure|0.0|49453.17738|
S133|NC133|Manure|0.0|15505.964|
S134|NC134|Manure|0.0|22094.40344|
S135|NC135|Manure|0.0|14596.66365|
S136|NC136|Manure|0.0|21679.63486|
S137|NC137|Manure|0.0|29576.1906|
S138|NC138|Manure|0.0|30708.82789|
S139|NC139|Manure|0.0|79348.42073|
S140|NC140|Manure|0.0|25045.64145|
S141|NC141|Manure|0.0|24710.63605|
S142|NC142|Manure|0.0|22812.27214|
S143|NC143|Manure|0.0|159287.0891|
S144|NC144|Manure|0.0|25923.03653|
S145|NC145|Manure|0.0|31330.98076|
S146|NC146|Manure|0.0|80528.91593|
S147|NC147|Manure|0.0|26880.1948|
S148|NC148|Manure|0.0|38557.52572|
S149|NC149|Manure|0.0|26242.08929|
S150|NC150|Manure|0.0|26672.81051|
S151|NC151|Manure|0.0|24263.96219|
S152|NC152|Manure|0.0|44332.38062|
S153|NC153|Manure|0.0|21137.24517|
S154|NC154|Manure|0.0|47347.42918|
S155|NC155|Manure|0.0|54462.30567|
S156|NC156|Manure|0.0|48097.20316|
S157|NC157|Manure|0.0|67080.84222|
S158|NC158|Manure|0.0|46581.70256|
S159|NC159|Manure|0.0|17276.70681|
S160|NC160|Manure|0.0|35558.4298|
S161|NC161|Manure|0.0|142393.2456|
S162|NC162|Manure|0.0|154341.7713|
S163|NC163|Manure|0.0|38605.38363|
S164|NC164|Manure|0.0|32447.66541|
S165|NC165|Manure|0.0|39450.87344|
S166|NC166|Manure|0.0|33037.91302|
S167|NC167|Manure|0.0|16702.41184|
S168|NC168|Manure|0.0|29432.61686|
S169|NC169|Manure|0.0|20307.708|
S170|NC170|Manure|0.0|34074.83448|
S171|NC171|Manure|0.0|109195.8062|
S172|NC172|Manure|0.0|54079.44236|
S173|NC173|Manure|0.0|27964.97417|
S174|NC174|Manure|0.0|171171.8043|
S175|NC175|Manure|0.0|31107.64383|
S176|NC176|Manure|0.0|37712.03591|
S177|NC177|Manure|0.0|18457.20201|
S178|NC178|Manure|0.0|22716.55632|
S179|NC179|Manure|0.0|26258.04192|
S180|NC180|Manure|0.0|35462.71397|
S181|NC181|Manure|0.0|23721.5725|
S182|NC182|Manure|0.0|29129.51674|
S183|NC183|Manure|0.0|172655.3996|
S184|NC184|Manure|0.0|75775.02985|
S185|NC185|Manure|0.0|29911.19599|
S186|NC186|Manure|0.0|27310.91602|
S187|NC187|Manure|0.0|31905.27573|
S188|NC188|Manure|0.0|73701.18693|
