Point,Delivery_date,Delivery_hour,Delivery_interval,Hou_price
N,1/1/20,1.0,1.0,-6.08
N,1/1/20,1.0,2.0,-6.24
N,1/1/20,1.0,3.0,-6.25
N,1/1/20,1.0,4.0,-6.25
N,1/1/20,2.0,1.0,-14.09
N,1/1/20,2.0,2.0,-18.99
N,1/1/20,2.0,3.0,-18.99
N,1/1/20,2.0,4.0,-18.99
N,1/1/20,3.0,1.0,-18.99
N,1/1/20,3.0,2.0,-18.99
N,1/1/20,3.0,3.0,-18.99
N,1/1/20,3.0,4.0,-18.99
N,1/1/20,4.0,1.0,-18.99
N,1/1/20,4.0,2.0,-18.99
N,1/1/20,4.0,3.0,-18.99
N,1/1/20,4.0,4.0,-18.99
N,1/1/20,5.0,1.0,-18.99
N,1/1/20,5.0,2.0,-18.99
N,1/1/20,5.0,3.0,-18.99
N,1/1/20,5.0,4.0,-18.99
N,1/1/20,6.0,1.0,-18.99
N,1/1/20,6.0,2.0,-18.99
N,1/1/20,6.0,3.0,-18.99
N,1/1/20,6.0,4.0,-18.99
N,1/1/20,7.0,1.0,-18.99
N,1/1/20,7.0,2.0,-18.99
N,1/1/20,7.0,3.0,-18.99
N,1/1/20,7.0,4.0,-18.99
N,1/1/20,8.0,1.0,-18.99
N,1/1/20,8.0,2.0,-18.99
N,1/1/20,8.0,3.0,-18.99
N,1/1/20,8.0,4.0,-18.99
N,1/1/20,9.0,1.0,-18.99
N,1/1/20,9.0,2.0,-18.99
N,1/1/20,9.0,3.0,-18.99
N,1/1/20,9.0,4.0,-18.99
N,1/1/20,10.0,1.0,-18.99
N,1/1/20,10.0,2.0,-18.99
N,1/1/20,10.0,3.0,-18.99
N,1/1/20,10.0,4.0,-18.99
N,1/1/20,11.0,1.0,-18.03
N,1/1/20,11.0,2.0,-6.54
N,1/1/20,11.0,3.0,-6.25
N,1/1/20,11.0,4.0,-6.25
N,1/1/20,12.0,1.0,-6.25
N,1/1/20,12.0,2.0,-6.25
N,1/1/20,12.0,3.0,-6.25
N,1/1/20,12.0,4.0,-6.09
N,1/1/20,13.0,1.0,-6.0
N,1/1/20,13.0,2.0,-6.0
N,1/1/20,13.0,3.0,-6.0
N,1/1/20,13.0,4.0,-6.24
N,1/1/20,14.0,1.0,-6.25
N,1/1/20,14.0,2.0,-6.24
N,1/1/20,14.0,3.0,-6.24
N,1/1/20,14.0,4.0,-6.16
N,1/1/20,15.0,1.0,-6.24
N,1/1/20,15.0,2.0,-6.25
N,1/1/20,15.0,3.0,-6.25
N,1/1/20,15.0,4.0,-6.25
N,1/1/20,16.0,1.0,-6.24
N,1/1/20,16.0,2.0,-6.08
N,1/1/20,16.0,3.0,-6.0
N,1/1/20,16.0,4.0,-5.99
N,1/1/20,17.0,1.0,-5.68
N,1/1/20,17.0,2.0,-5.66
N,1/1/20,17.0,3.0,-5.66
N,1/1/20,17.0,4.0,-2.41
N,1/1/20,18.0,1.0,-1.0
N,1/1/20,18.0,2.0,-2.56
N,1/1/20,18.0,3.0,-2.35
N,1/1/20,18.0,4.0,-5.31
N,1/1/20,19.0,1.0,-5.34
N,1/1/20,19.0,2.0,-5.99
N,1/1/20,19.0,3.0,-5.99
N,1/1/20,19.0,4.0,-4.11
N,1/1/20,20.0,1.0,1.38
N,1/1/20,20.0,2.0,-1.1
N,1/1/20,20.0,3.0,-5.56
N,1/1/20,20.0,4.0,-5.99
N,1/1/20,21.0,1.0,0.56
N,1/1/20,21.0,2.0,9.74
N,1/1/20,21.0,3.0,15.8
N,1/1/20,21.0,4.0,16.2
N,1/1/20,22.0,1.0,15.76
N,1/1/20,22.0,2.0,15.35
N,1/1/20,22.0,3.0,15.09
N,1/1/20,22.0,4.0,14.54
N,1/1/20,23.0,1.0,15.65
N,1/1/20,23.0,2.0,16.75
N,1/1/20,23.0,3.0,16.43
N,1/1/20,23.0,4.0,15.85
N,1/1/20,24.0,1.0,14.87
N,1/1/20,24.0,2.0,14.78
N,1/1/20,24.0,3.0,14.63
N,1/1/20,24.0,4.0,15.19
N,1/2/20,1.0,1.0,15.35
N,1/2/20,1.0,2.0,15.14
