# 1. Arc ID| 2. Arc first node| 3. Arc second node| 4. Arc capacity|5. Arc length
A00103|NC001|NC222|1.00E+06|152.9273802
A00104|NC001|NC223|1.00E+06|147.9756913
A00105|NC001|NC224|1.00E+06|85.28580179
A00106|NC001|NC227|1.00E+06|90.19944855
A00107|NC001|NC228|1.00E+06|149.0507552
A00108|NC001|NC229|1.00E+06|179.8741269
A00109|NC001|NC230|1.00E+06|184.4081023
A00110|NC001|NC231|1.00E+06|265.4144017
A00111|NC001|NC233|1.00E+06|134.8502793
A00112|NC001|NC234|1.00E+06|118.8978598
A00113|NC001|NC236|1.00E+06|86.64097609
A00114|NC001|NC237|1.00E+06|98.85311841
A00115|NC001|NC238|1.00E+06|67.37231838
A00116|NC001|NC240|1.00E+06|60.35154475
A00117|NC001|NC241|1.00E+06|82.72862523
A00118|NC001|NC242|1.00E+06|120.1290674
A00119|NC001|NC243|1.00E+06|88.42823234
A00120|NC001|NC245|1.00E+06|75.57510714
A00121|NC002|NMAD|1.00E+06|92.87746114
A00122|NC003|NMAD|1.00E+06|169.6686423
A00123|NC004|NMAD|1.00E+06|327.1448914
A00124|NC005|NMAD|1.00E+06|307.8431935
A00125|NC006|NMAD|1.00E+06|328.3952635
A00126|NC007|NMAD|1.00E+06|332.1109194
A00127|NC008|NMAD|1.00E+06|301.850426
A00128|NC009|NC002|1.00E+06|132.5442677
A00129|NC009|NC003|1.00E+06|18.40088593
A00130|NC009|NC004|1.00E+06|318.8769847
A00131|NC009|NC005|1.00E+06|316.7814774
A00132|NC009|NC006|1.00E+06|323.2827046
A00133|NC009|NC007|1.00E+06|334.8991637
A00134|NC009|NC008|1.00E+06|296.0901453
A00135|NC009|NC013|1.00E+06|39.52154641
A00136|NC009|NC015|1.00E+06|10.27440193
A00137|NC009|NC025|1.00E+06|10.05576336
A00138|NC009|NC026|1.00E+06|5.362791821
A00139|NC009|NC029|1.00E+06|306.4812902
A00140|NC009|NC031|1.00E+06|392.2902751
A00141|NC009|NC032|1.00E+06|16.48707222
A00142|NC009|NC034|1.00E+06|17.95419197
A00143|NC009|NC040|1.00E+06|2.988747728
A00144|NC009|NC041|1.00E+06|240.4594432
A00145|NC009|NC042|1.00E+06|277.918963
A00146|NC009|NC043|1.00E+06|196.5142926
A00147|NC009|NC044|1.00E+06|181.5736634
A00148|NC009|NC045|1.00E+06|197.2691975
A00149|NC009|NC048|1.00E+06|191.774369
A00150|NC009|NC049|1.00E+06|212.326005
A00151|NC009|NC050|1.00E+06|197.3729776
A00152|NC009|NC051|1.00E+06|212.9926898
A00153|NC009|NC052|1.00E+06|185.6731828
A00154|NC009|NC054|1.00E+06|145.2496464
A00155|NC009|NC061|1.00E+06|148.5518432
