,n65,n140,n162,n172,n69,n74,n75,n84,n89,n90,n92,n103,n108,n122,n133,n143,n148,n151,n152,n166,n168,n170,n184,n189,n200,n203,n145,n78,n81,n107,n111,n132,n157,n159,n161,n180,n171,n58,n60,n70,n76,n105,n115,n117,n118,n120,n124,n128,n129,n130,n256,n934,n821,n464,n676,n294,n952,n1207,n450,n463,n826,n1248,n1145,n1199,n398,n232,n732,n984,n278,n1251,n383,n1139,n1183,n1290,n272,n1027,n358,n436,n660,n730,n860,n742,n394,n617,n1240,n566,n982,n1101,n1022,n274,n868,n1226,n633,n1024,n998,n674,n486,n597,n1138,n412,
n65,0.0,99998.59143247193,99998.59143183807,99998.59143193942,100003.3532796286,100003.35328004415,100003.35328110598,100003.35327959638,100003.35327960015,100003.35327969832,100003.35327992857,100003.3532802496,100003.35328070309,100003.35327969202,100003.35327960961,100003.3532795841,100003.35327959442,100003.35327961754,100003.3532796686,100003.35327975749,100003.3532798837,100003.35328001912,100003.35328018456,100003.35328038911,100003.35328062682,100003.35328237008,100005.74481528203,100008.13598936974,100008.13598935609,100008.13598933701,100008.1359893238,100008.13598932659,100008.13598933267,100008.13598933867,100008.13598935166,100008.13598938454,100010.52716398783,100012.91852815264,100012.9185281765,100012.91852826896,100012.91852830372,100012.91852840001,100012.91852843671,100012.91852855547,100012.91852859857,100012.9185287455,100012.9185287998,100012.91852897844,100012.91852903922,100012.91852922214,100058.68547351607,100044.9819609582,100035.93068215501,100034.10940051952,100033.37878990547,100033.30738214488,100032.87515521803,100030.43567475125,100029.60766056764,100029.34418791614,100028.75069480189,100028.17370644145,100028.09638956744,100028.33787735435,100028.35530278385,100028.46790396124,100028.5549708974,100029.1286328416,100030.04598206209,100030.12920528631,100030.67182890316,100030.91680574352,100034.06220953648,100034.18538252368,100034.31800599342,100035.74498760443,100036.34842350332,100037.6344266092,100038.33036343248,100039.03328991673,100039.49216376139,100040.05618909637,100040.73318445912,100040.82926888352,100042.21911480401,100043.14481771206,100043.76047157303,100045.09854579032,100045.30427113018,100045.31024222555,100046.21820114809,100046.41324611638,100047.43508294548,100050.33549393104,100050.46297026538,100050.92343655742,100051.26143988573,100051.4972332446,100051.54454632252,100052.7764554518,
n140,99998.59143086744,0.0,99998.59143103579,99998.59143113716,100003.35327881855,100003.35327923413,100003.35328029597,100003.35327878638,100003.35327879012,100003.35327888826,100003.35327911851,100003.3532794396,100003.35327989305,100003.35327888196,100003.35327879958,100003.35327877408,100003.35327878436,100003.35327880751,100003.35327885857,100003.35327894741,100003.35327907372,100003.35327920907,100003.35327937451,100003.35327957901,100003.35327981679,100003.35328156,100005.74481446689,100008.13598854865,100008.13598853497,100008.13598851587,100008.13598850265,100008.13598850551,100008.13598851155,100008.13598851755,100008.13598853057,100008.13598856346,100010.52716315982,100012.91852731656,100012.91852734044,100012.91852743289,100012.9185274677,100012.9185275639,100012.91852760062,100012.91852771936,100012.91852776246,100012.9185279094,100012.91852796367,100012.91852814237,100012.91852820312,100012.918528386,100058.68547199765,100044.98195943542,100035.93067768872,100034.10939604907,100033.37878935593,100033.30738273,100032.87515581299,100030.43567530728,100029.60766132221,100029.34418865772,100028.75069557404,100028.17370803794,100028.0963911803,100028.33787896059,100028.35530440892,100028.46790558015,100028.55497252592,100029.12863448184,100030.04598371846,100030.12920695226,100030.67183055375,100030.91680740615,100034.06221120196,100034.1853846826,100034.31800818472,100035.74498977994,100036.34842518819,100037.63442870465,100038.33036555274,100039.03329202929,100039.49216589524,100040.05619215641,100040.73318676444,100040.82927118188,100042.21911712947,100043.14482043956,100043.76047396036,100045.09854791906,100045.30427361114,100045.31024471295,100046.21820363108,100046.41324857248,100047.4350854931,100050.33549651144,100050.46297283522,100050.92343916112,100051.2614424973,100051.49723606285,100051.54454915442,100052.77649979883,
n162,99998.59143150126,99998.59143230357,0.0,99998.59143177101,100003.35327945738,100003.3532798729,100003.35328093474,100003.35327942514,100003.35327942889,100003.35327952712,100003.35327975731,100003.35328007839,100003.35328053187,100003.35327952076,100003.35327943835,100003.35327941288,100003.3532794232,100003.35327944632,100003.35327949734,100003.35327958621,100003.35327971254,100003.35327984788,100003.35328001333,100003.35328021791,100003.35328045565,100003.3532821988,100005.74481510892,100008.13598919443,100008.13598918078,100008.13598916172,100008.1359891485,100008.13598915131,100008.13598915737,100008.13598916338,100008.13598917637,100008.13598920924,100010.52716381002,100012.91852797184,100012.9185279957,100012.91852808815,100012.9185281229,100012.9185282192,100012.91852825593,100012.91852837466,100012.91852841778,100012.91852856471,100012.91852861896,100012.91852879767,100012.9185288584,100012.91852904132,100058.68547306616,100044.98196051049,100035.93067769223,100034.10939629353,100033.37878960214,100033.30738180302,100032.8751548761,100030.43567438047,100029.60766069705,100029.34418803726,100028.75069493607,100028.173706604,100028.09638972882,100028.33787751895,100028.35530294874,100028.46790411799,100028.55497107186,100029.12863299932,100030.04598248455,100030.12920570084,100030.67182931483,100030.9168061565,100034.06220993727,100034.18538294449,100034.3180064421,100035.74498800944,100036.34842357923,100037.63442705112,100038.33036389903,100039.03329037399,100039.49216422903,100040.05618973516,100040.73318495386,100040.82926937845,100042.21911531073,100043.14481827765,100043.76047210257,100045.09854630378,100045.30427181604,100045.31024290813,100046.21820182823,100046.4132468311,100047.43508365043,100050.33549465185,100050.46297097669,100050.92343728736,100051.26144061716,100051.4972339639,100051.54454704882,100052.7764723352,
n172,99998.59143139998,99998.59143220224,99998.59143156832,0.0,100003.35327935925,100003.35327977486,100003.35328083669,100003.35327932703,100003.35327933081,100003.35327942904,100003.35327965928,100003.35327998023,100003.35328043374,100003.35327942263,100003.35327934028,100003.35327931479,100003.35327932502,100003.35327934824,100003.35327939922,100003.35327948816,100003.35327961444,100003.35327974978,100003.35327991523,100003.35328011971,100003.35328035755,100003.3532821007,100005.74481501295,100008.13598910096,100008.13598908728,100008.13598906819,100008.13598905494,100008.13598905776,100008.13598906386,100008.13598906984,100008.13598908286,100008.13598911575,100010.52716371941,100012.91852788461,100012.91852790845,100012.91852800093,100012.91852803568,100012.918528132,100012.91852816868,100012.91852828741,100012.91852833051,100012.91852847741,100012.91852853172,100012.91852871043,100012.91852877119,100012.9185289541,100058.68547325635,100044.98196471456,100035.93068290967,100034.10940154533,100033.3787898249,100033.30738118308,100032.87515571284,100030.4356753933,100029.60766069764,100029.34418950869,100028.7506953818,100028.17370749047,100028.0963882581,100028.33787709841,100028.35530244061,100028.46790199666,100028.55497014817,100029.12863310389,100030.0459838339,100030.1292072985,100030.67182937206,100030.91680622695,100034.06221007461,100034.18538302869,100034.31800648886,100035.74498810872,100036.3484244348,100037.6344270548,100038.33036386022,100039.0332903803,100039.49216421341,100040.05618967656,100040.73318485804,100040.8292693268,100042.21911521073,100043.14481821618,100043.76047200397,100045.09854614042,100045.30427156642,100045.31024266049,100046.21820161094,100046.41324649865,100047.43508337512,100050.33549436464,100050.46297073422,100050.9234369637,100051.2614402956,100051.49723371484,100051.54454676135,100052.77645337899,
n69,99993.83175023319,99993.83175102895,99993.83175039923,99993.8317505032,0.0,99998.59143208555,99998.59143314692,99998.5914316374,99998.59143164114,99998.59143173952,99998.59143196994,99998.5914322912,99998.59143274499,99998.59143173305,99998.59143165067,99998.59143162513,99998.59143163542,99998.59143165864,99998.59143170968,99998.59143179868,99998.59143192502,99998.59143206052,99998.59143222605,99998.59143243077,99998.59143266869,99998.5914344202,100000.98235196751,100003.37293067755,100003.37293066399,100003.37293064487,100003.37293063164,100003.37293063443,100003.37293064053,100003.37293064663,100003.37293065945,100003.3729306924,100005.76347388553,100008.15405333872,100008.1540533626,100008.154053455,100008.1540534898,100008.154053586,100008.15405362274,100008.15405374145,100008.15405378457,100008.15405393147,100008.15405398577,100008.15405416442,100008.15405422516,100008.15405440808,100072.45430202966,100059.1205747652,100049.82525855488,100047.78049535365,100046.92390732927,100046.83875581015,100046.31712813654,100043.06891884672,100041.7432182396,100041.27125395426,100040.04076782572,100038.15377545216,100036.78248927876,100035.6079409022,100035.55879722859,100035.27658357202,100035.0889324713,100034.17733313615,100033.20816536182,100033.1351614223,100032.697818757,100032.51842255049,100030.75368997302,100030.69721198469,100030.63709972147,100030.02960242917,100029.79056995134,100029.30797418139,100029.05917075803,100028.81498570359,100028.65889574209,100028.47013357033,100028.24746081034,100028.21615945682,100027.77004099377,100027.47787423065,100027.28472004345,100026.86506374154,100026.80025255773,100026.79836885582,100026.51007274675,100026.44748649231,100026.11375461724,100025.03686141965,100024.97941743178,100024.75470506196,100024.56431526854,100024.40651705778,100024.35784437272,100023.76614651889,
n74,99993.83174981702,99993.83175061278,99993.83174998306,99993.83175008703,99998.5914312538,0.0,99998.591432731,99998.59143122144,99998.59143122524,99998.59143132354,99998.59143155403,99998.59143187528,99998.59143232908,99998.59143131712,99998.59143123476,99998.5914312093,99998.59143121952,99998.59143124272,99998.59143129381,99998.59143138274,99998.5914315091,99998.59143164463,99998.59143181021,99998.59143201487,99998.59143225277,99998.59143400431,100000.98235155176,100003.37293026214,100003.3729302485,100003.3729302294,100003.37293021625,100003.37293021899,100003.37293022512,100003.37293023105,100003.37293024406,100003.37293027692,100005.76347347035,100008.15405292393,100008.15405294774,100008.15405304023,100008.15405307498,100008.15405317124,100008.15405320798,100008.15405332667,100008.15405336976,100008.15405351667,100008.15405357098,100008.15405374962,100008.15405381034,100008.15405399329,100072.45430166658,100059.12057547116,100049.82525926876,100047.78049607103,100046.92390805284,100046.8387564577,100046.31712930948,100043.06892000028,100041.7432194171,100041.27125511054,100040.04076900728,100038.15377663117,100036.78249045924,100035.60794208173,100035.55879833008,100035.27658467845,100035.08893357265,100034.17733455464,100033.20816677976,100033.13516284006,100032.69782016546,100032.51842395893,100030.75369136997,100030.69721339206,100030.63710114195,100030.02960383015,100029.7905710795,100029.30797553614,100029.0591721111,100028.81498705286,100028.6588971053,100028.47013535492,100028.24746220748,100028.21616085616,100027.77004239151,100027.4778758359,100027.28472145241,100026.865065016,100026.80025401237,100026.79837048022,100026.5100743728,100026.447488102,100026.11375626635,100025.03686306787,100024.97941907395,100024.7547067096,100024.56431692226,100024.40651869941,100024.35784602034,100023.7661451183,
n75,99993.83174875613,99993.8317495519,99993.83174892221,99993.83174902613,99998.59143019242,99998.59143060834,0.0,99998.59143016017,99998.591430164,99998.59143026227,99998.5914304927,99998.59143081398,99998.59143126775,99998.59143025582,99998.59143017339,99998.59143014796,99998.59143015824,99998.5914301814,99998.59143023251,99998.59143032148,99998.59143044784,99998.59143058331,99998.5914307489,99998.59143095357,99998.59143119144,99998.59143294298,100000.98235049022,100003.37292920022,100003.37292918656,100003.37292916748,100003.37292915428,100003.3729291571,100003.37292916313,100003.37292916913,100003.37292918215,100003.37292921505,100005.76347240807,100008.15405186114,100008.15405188502,100008.15405197741,100008.1540520122,100008.15405210848,100008.15405214517,100008.15405226394,100008.154052307,100008.15405245389,100008.1540525082,100008.15405268686,100008.15405274762,100008.1540529305,100072.45430054955,100059.12057871025,100049.82526471253,100047.7804986922,100046.92391435255,100046.8387621644,100046.31713304929,100043.06892592864,100041.74322701523,100041.27126243069,100040.04077714185,100038.15377900816,100036.78249566331,100035.60794763398,100035.55880427215,100035.2765899798,100035.08893918629,100034.1773377188,100033.20817182361,100033.13516665991,100032.6978212325,100032.51842661157,100030.75369084797,100030.69721473049,100030.63710018962,100030.02960554945,100029.79057073672,100029.30797392239,100029.0591705297,100028.81498550263,100028.6588954796,100028.47013355499,100028.24746047812,100028.2161591564,100027.770040663,100027.47787405692,100027.28471977571,100026.86506333206,100026.80025226739,100026.7983685631,100026.51007248314,100026.44748605625,100026.11375427913,100025.0368610859,100024.97941716522,100024.75470470003,100024.5643148695,100024.40651679313,100024.35784404146,100023.76614630049,
n84,99993.83175026545,99993.8317510612,99993.83175043146,99993.83175053545,99998.59143170192,99998.59143211778,99998.59143317913,0.0,99998.59143167343,99998.59143177175,99998.59143200221,99998.59143232346,99998.59143277723,99998.5914317653,99998.59143168287,99998.59143165742,99998.5914316677,99998.59143169092,99998.591431742,99998.59143183092,99998.59143195732,99998.5914320928,99998.59143225837,99998.59143246301,99998.59143270092,99998.59143445246,100000.98235199974,100003.37293070984,100003.37293069616,100003.37293067707,100003.37293066389,100003.37293066668,100003.37293067283,100003.37293067876,100003.37293069172,100003.37293072465,100005.7634739177,100008.15405337092,100008.15405339477,100008.15405348722,100008.15405352197,100008.1540536182,100008.15405365491,100008.15405377366,100008.15405381678,100008.15405396366,100008.15405401794,100008.15405419665,100008.15405425738,100008.15405444033,100072.45430206142,100059.12057491185,100049.82525869802,100047.78049549511,100046.92390745586,100046.83875590416,100046.31712823088,100043.06891897152,100041.74321823964,100041.27125397783,100040.04076782272,100038.1537754441,100036.78248927776,100035.60794090167,100035.55879715939,100035.27658349872,100035.08893239948,100034.17733306372,100033.20816528986,100033.1351613503,100032.6978186879,100032.51842248105,100030.75368993657,100030.69721188335,100030.637099592,100030.0296023523,100029.79057024543,100029.30797404588,100029.05917062271,100028.81498556715,100028.65889560271,100028.47013348388,100028.24746061608,100028.21615926315,100027.77004079975,100027.47787405376,100027.28471984909,100026.86506349313,100026.80025234375,100026.79836864074,100026.51007253074,100026.44748621811,100026.11375438997,100025.03686119273,100024.9794172095,100024.75470483565,100024.56431503737,100024.40651683572,100024.35784414623,100023.76614631986,
n89,99993.83175026166,99993.83175105741,99993.8317504277,99993.8317505317,99998.59143169814,99998.59143211407,99998.59143317539,99998.59143166592,0.0,99998.59143176797,99998.59143199844,99998.59143231966,99998.59143277345,99998.59143176152,99998.59143167912,99998.59143165365,99998.59143166391,99998.59143168708,99998.59143173818,99998.59143182714,99998.59143195352,99998.59143208903,99998.59143225454,99998.59143245924,99998.59143269715,99998.59143444872,100000.98235199596,100003.37293070607,100003.37293069242,100003.37293067331,100003.37293066013,100003.37293066291,100003.37293066902,100003.37293067505,100003.37293068797,100003.3729307209,100005.76347391398,100008.15405336718,100008.15405339097,100008.15405348342,100008.15405351823,100008.15405361445,100008.15405365115,100008.15405376992,100008.15405381304,100008.15405395994,100008.15405401423,100008.1540541929,100008.15405425362,100008.1540544365,100072.45430205789,100059.12057478809,100049.82525857803,100047.78049537698,100046.92390735309,100046.83875577818,100046.31712810461,100043.06891882338,100041.74321820629,100041.27125393729,100040.04076780487,100038.15377543062,100036.78248925832,100035.60794088183,100035.55879713681,100035.27658347879,100035.08893237887,100034.17733304309,100033.20816526894,100033.13516132947,100032.6978186655,100032.5184224588,100030.7536898897,100030.69721189323,100030.63709962206,100030.02960234442,100029.79056992206,100029.30797410235,100029.05917067913,100028.81498562449,100028.65889566187,100028.4701334726,100028.24746067838,100028.21615932489,100027.77004086183,100027.47787408429,100027.28471991119,100026.86506360985,100026.80025241757,100026.79836871542,100026.51007260596,100026.44748634016,100026.11375447213,100025.0368612747,100024.97941728846,100024.75470491718,100024.56431512198,100024.40651691459,100024.35784422794,100023.7661463772,
n90,99993.83175016334,99993.83175095904,99993.8317503293,99993.83175043327,99998.59143159982,99998.59143201573,99998.59143307705,99998.59143156759,99998.59143157135,0.0,99998.59143190012,99998.59143222136,99998.59143267515,99998.59143166315,99998.59143158082,99998.59143155538,99998.5914315656,99998.59143158878,99998.59143163988,99998.59143172888,99998.59143185524,99998.5914319907,99998.5914321563,99998.5914323609,99998.59143259883,99998.59143435037,100000.98235189769,100003.37293060783,100003.37293059425,100003.37293057516,100003.37293056198,100003.37293056476,100003.37293057081,100003.37293057682,100003.37293058985,100003.37293062273,100005.7634738159,100008.1540532692,100008.15405329304,100008.15405338546,100008.15405342022,100008.15405351653,100008.15405355318,100008.15405367191,100008.15405371507,100008.15405386192,100008.15405391622,100008.15405409488,100008.15405415562,100008.15405433852,100072.45430197388,100059.12057493691,100049.8252587309,100047.78049553174,100046.92390751412,100046.83875592494,100046.3171282512,100043.06891895336,100041.74321835555,100041.27125406181,100040.04076809529,100038.1537757226,100036.78248954783,100035.60794117083,100035.55879742256,100035.27658376763,100035.08893266566,100034.17733333167,100033.20816555711,100033.1351616176,100032.69781895044,100032.51842274399,100030.75369016045,100030.69721217782,100030.63709992054,100030.02960261787,100029.79057008938,100029.30797438533,100029.05917096122,100028.81498598712,100028.65889602923,100028.47013392953,100028.2474610666,100028.21615971334,100027.77004125006,100027.47787452086,100027.28472030118,100026.86506398158,100026.80025282547,100026.7983691236,100026.51007301496,100026.44748676589,100026.11375489067,100025.03686169282,100024.97941770319,100024.75470533496,100024.56431554318,100024.4065173291,100024.35784464572,100023.76614600039,
