1. Node ID,2. Node Name,3. Node Longitude,4.Node Latitude
168,Glenn County,-122.179287,39.665777
169,Humboldt County,-124.088127,40.757636
170,Imperial County,-115.540049,32.841599
171,Inyo County,-118.268567,37.171422
172,Kern County,-118.941786,35.369809
173,Kings County,-119.726922,36.252657
174,Lake County,-122.732922,38.976233
175,Lassen County,-120.584467,40.393749
176,Los Angeles County,-118.24599,34.067886
177,Madera County,-120.009796,37.037074
178,Marin County,-122.546657,37.986474
179,Mariposa County,-119.971401,37.532076
180,Mendocino County,-123.394154,39.285646
181,Merced County,-120.628944,37.274812
182,Modoc County,-120.631201,41.521665
183,Mono County,-118.970627,37.773016
184,Monterey County,-121.646692,36.614681
185,Napa County,-122.319983,38.325108
186,Nevada County,-120.915206,39.220021
187,Orange County,-117.858773,33.732683
188,Placer County,-121.198379,38.839708
189,Plumas County,-120.821957,39.981152
190,Riverside County,-117.076969,33.799274
191,Sacramento County,-121.381235,38.568337
192,San Benito County,-121.402614,36.843074
193,San Bernardino County,-117.359766,34.190969
194,San Diego County,-117.112348,32.884418
195,San Francisco County,-122.436499,37.760569
196,San Joaquin County,-121.302289,37.924541
197,San Luis Obispo County,-120.665804,35.341822
198,San Mateo County,-122.339869,37.563575
199,Santa Barbara County,-120.1029,34.645128
200,Santa Clara County,-121.91109,37.315518
201,Santa Cruz County,-121.938739,36.986338
202,Shasta County,-122.300147,40.578348
203,Sierra County,-120.421856,39.607184
204,Siskiyou County,-122.493725,41.572743
205,Solano County,-122.067272,38.236295
206,Sonoma County,-122.720368,38.412281
207,Stanislaus County,-120.955882,37.618447
208,Sutter County,-121.643973,39.137197
209,Tehama County,-122.219057,40.114795
210,Trinity County,-123.096608,40.629982
211,Tulare County,-119.23454,36.254134
212,Tuolumne County,-120.325224,37.972006
213,Ventura County,-119.025486,34.242809
214,Yolo County,-121.718874,38.598163
215,Yuba County,-121.510607,39.131905
216,Adams County,-104.920943,39.876949
217,Alamosa County,-105.877629,37.481888
218,Arapahoe County,-104.838574,39.646582
219,Archuleta County,-107.089808,37.240274
220,Baca County,-102.53204,37.368105
221,Bent County,-103.166006,38.072919
222,Boulder County,-105.180215,40.062992
223,Broomfield County,-105.058131,39.939871
224,Chaffee County,-106.085131,38.676811
225,Cheyenne County,-102.470052,38.817655
226,Clear Creek County,-105.532527,39.713458
227,Conejos County,-105.987323,37.199613
228,Costilla County,-105.444296,37.29223
229,Crowley County,-103.856387,38.193783
230,Custer County,-105.382527,38.133198
231,Delta County,-107.913769,38.798198
232,Denver County,-104.950033,39.72486
233,Dolores County,-108.758724,37.746934
234,Douglas County,-104.87357,39.482023
235,Eagle County,-106.733421,39.600516
236,Elbert County,-104.52311,39.388552
237,El Paso County,-104.75212,38.877314
238,Fremont County,-105.214303,38.426941
239,Garfield County,-107.549019,39.507103
240,Gilpin County,-105.483217,39.856062
241,Grand County,-105.978501,40.051143
242,Gunnison County,-106.944384,38.660002
243,Hinsdale County,-107.29875,38.002552
244,Huerfano County,-104.887584,37.612538
245,Jackson County,-106.295485,40.690192
246,Jefferson County,-105.130309,39.72369
247,Kiowa County,-102.700966,38.470085
248,Kit Carson County,-102.462031,39.310418
249,Lake County,-106.30747,39.244814
250,La Plata County,-107.803947,37.266021
251,Larimer County,-105.089155,40.504402
252,Las Animas County,-104.501324,37.192053
253,Lincoln County,-103.614219,39.180049
254,Logan County,-103.185977,40.64034
255,Mesa County,-108.546673,39.092942
256,Mineral County,-106.942063,37.779142
257,Moffat County,-107.613977,40.51606
258,Montezuma County,-108.554458,37.371913
259,Montrose County,-107.922349,38.481301
260,Morgan County,-103.789071,40.254229
261,Otero County,-103.655776,38.023236
262,Ouray County,-107.751894,38.146044
263,Park County,-105.625362,39.305737
264,Phillips County,-102.385877,40.599356
265,Pitkin County,-106.908716,39.231757
266,Prowers County,-102.548624,38.083029
267,Pueblo County,-104.646976,38.265773
268,Rio Blanco County,-108.268744,40.05108
269,Rio Grande County,-106.242067,37.61185
270,Routt County,-106.89741,40.455504
271,Saguache County,-106.006105,37.925349
272,San Juan County,-107.673598,37.801877
273,San Miguel County,-107.958108,37.971818
274,Sedgwick County,-102.325673,40.962161
275,Summit County,-106.055673,39.572383
276,Teller County,-105.139899,38.944782
277,Washington County,-103.157119,40.098312
278,Weld County,-104.807009,40.322426
279,Yuma County,-102.480825,40.065848
280,Fairfield County,-73.367214,41.206021
281,Hartford County,-72.717868,41.761165
282,Litchfield County,-73.190432,41.726958
283,Middlesex County,-72.571631,41.479018
284,New Haven County,-72.942327,41.396593
285,New London County,-72.097543,41.443271
286,Tolland County,-72.372969,41.842288
287,Windham County,-71.993508,41.80508
288,Kent County,-75.55913,39.127081
289,New Castle County,-75.63529,39.678852
290,Sussex County,-75.331473,38.661794
291,District of Columbia,-77.013993,38.910168
292,Alachua County,-82.391582,29.664721
293,Baker County,-82.184536,30.286374
294,Bay County,-85.670601,30.21282
295,Bradford County,-82.128265,29.949896
296,Brevard County,-80.690892,28.225111
297,Broward County,-80.226976,26.135399
298,Calhoun County,-85.125841,30.464333
299,Charlotte County,-82.117344,26.953831
300,Citrus County,-82.455213,28.865585
301,Clay County,-81.800487,30.087758
302,Collier County,-81.69257,26.203653
303,Columbia County,-82.664496,30.122022
304,DeSoto County,-81.87051,27.1868
