Source,Target
1,6
1,55
2,3
2,54
3,4
4,5
4,6
4,12
4,59
5,60
6,12
6,68
7,8
7,9
7,65
8,9
8,10
8,11
9,11
10,11
10,63
10,65
11,12
11,63
11,67
12,68
13,14
13,18
13,21
13,22
13,23
13,50
13,75
13,77
14,15
14,22
14,50
14,71
14,77
15,19
15,21
15,22
16,18
16,53
17,18
17,76
18,21
18,76
18,77
19,20
19,21
19,64
19,66
19,76
20,21
20,24
20,75
21,24
21,76
22,75
23,75
25,34
25,69
26,27
26,61
27,69
27,78
28,30
28,34
29,31
29,33
29,36
30,31
30,35
31,33
31,35
32,33
32,34
32,35
32,37
32,61
33,35
33,36
34,37
35,36
36,57
37,51
37,57
38,40
38,44
38,47
38,80
39,42
39,62
39,81
40,56
40,62
40,74
41,43
41,44
42,43
42,58
42,62
42,74
43,58
44,45
44,46
44,47
44,49
44,52
44,80
45,49
46,47
46,49
47,48
47,49
47,70
47,73
48,52
48,72
49,52
49,70
49,73
50,60
51,57
51,65
52,75
52,80
53,56
54,57
55,71
57,63
57,67
58,78
59,74
61,62
61,80
63,67
64,72
64,76
66,70
68,77
69,81
72,76
73,79
75,77
76,79
