Id,Partition,Subpartition
1,7,118
2,7,115
3,7,116
4,7,114
5,7,116
6,7,115
7,7,112
8,7,114
9,7,116
10,7,118
11,7,118
12,7,114
13,7,116
14,7,111
15,7,115
16,7,115
17,7,117
18,7,111
19,7,112
20,7,116
21,7,112
22,7,112
23,7,116
24,7,115
25,7,118
26,7,115
27,7,115
28,7,117
29,7,117
30,7,116
31,7,116
32,7,114
33,7,114
34,7,115
35,7,112
36,7,112
37,7,114
38,7,111
39,7,114
40,7,116
41,7,112
42,7,112
43,7,112
44,7,115
45,7,115
46,7,112
47,16,275
48,16,258
49,16,275
50,16,274
51,16,273
52,16,273
53,16,276
54,14,277
55,16,273
56,16,273
57,16,278
58,16,262
59,16,279
60,16,261
61,16,273
62,16,275
63,16,262
64,16,258
65,16,261
66,16,273
67,16,273
68,16,261
69,16,271
70,16,271
71,16,261
72,16,273
73,16,261
74,16,261
75,16,275
76,16,262
77,16,275
78,16,274
79,16,261
80,16,280
81,16,273
82,16,261
83,16,281
84,16,274
85,16,262
86,16,274
87,16,262
88,16,262
89,16,258
90,16,262
91,16,274
92,16,262
93,16,261
94,16,275
95,14,282
96,16,261
97,13,205
98,13,283
99,14,230
100,14,229
101,14,230
102,13,205
103,14,229
104,13,205
105,13,205
106,14,229
107,14,230
108,14,229
109,14,284
110,14,230
111,14,229
112,14,230
113,13,205
114,14,230
115,13,205
116,14,231
117,14,230
118,14,231
119,14,230
120,14,230
121,14,229
122,14,229
123,14,230
124,14,229
125,14,229
126,14,231
127,10,164
128,10,285
129,10,165
130,10,165
131,10,165
132,10,165
133,10,165
134,10,165
135,10,160
136,10,163
137,10,164
138,10,161
139,10,158
140,10,158
141,10,160
142,10,160
143,10,161
144,10,164
145,10,162
146,10,163
147,11,286
148,10,164
149,10,161
150,10,163
151,10,160
152,10,163
153,10,160
154,10,160
155,10,161
156,10,160
157,10,160
158,10,164
159,10,159
160,10,160
161,10,159
162,10,162
163,10,162
164,10,159
165,10,164
166,10,158
167,10,158
168,10,158
169,10,158
170,10,159
171,10,164
172,10,160
173,10,161
174,10,161
175,10,164
176,10,158
177,10,161
178,10,159
179,10,165
180,10,165
181,10,163
182,10,160
183,11,167
184,11,167
185,11,167
186,10,160
187,10,158
188,10,158
189,10,158
190,10,164
191,10,164
192,10,164
193,10,161
194,10,158
195,10,161
196,10,163
197,10,163
198,10,163
199,10,163
200,10,162
201,10,160
202,10,159
203,10,164
204,10,160
205,10,158
206,10,162
207,10,164
208,10,161
209,10,162
210,10,162
211,10,162
212,10,164
213,10,160
214,10,162
215,10,162
216,10,164
217,12,195
218,12,197
219,9,144
220,12,185
221,12,189
222,12,194
223,12,194
224,12,196
225,12,196
226,12,196
227,12,190
228,12,194
229,12,193
230,12,194
231,12,196
232,12,193
233,12,196
234,12,185
235,12,195
236,12,195
237,12,185
238,12,193
239,12,189
240,12,194
241,12,197
242,12,196
243,12,195
244,9,287
245,12,189
246,12,190
247,12,197
248,12,185
249,12,196
250,12,195
251,12,196
252,12,195
253,12,193
254,12,194
255,12,194
256,12,193
257,12,193
258,12,193
259,12,195
260,12,184
261,12,194
262,12,185
263,12,195
264,12,190
265,12,288
266,12,189
267,12,194
268,12,185
269,12,196
270,12,189
271,12,195
272,12,193
273,12,193
274,12,194
275,12,196
276,12,193
277,12,184
278,1,3
279,1,3
280,1,1
281,1,3
282,1,5
283,1,5
284,1,6
285,1,6
286,1,5
287,1,7
288,1,3
289,1,7
290,1,3
291,1,5
292,1,5
293,1,7
294,1,6
295,1,3
296,1,5
297,1,4
298,1,5
299,1,6
300,1,3
301,1,5
302,1,4
303,1,6
304,1,4
305,1,1
306,1,7
307,1,7
308,1,3
309,1,3
310,1,5
311,1,6
312,1,6
313,1,7
314,1,2
315,1,3
316,1,6
317,1,5
318,1,5
319,1,3
320,1,1
321,1,289
322,1,6
323,1,6
324,1,7
325,1,7
326,1,7
327,1,7
328,1,7
329,9,137
330,9,137
331,13,215
332,13,215
333,13,206
334,13,206
335,9,137
336,9,137
337,13,210
338,13,210
339,9,135
340,9,136
341,9,136
342,13,215
343,13,215
344,9,135
345,9,135
346,9,290
347,9,135
348,13,216
349,13,216
350,13,209
351,13,209
352,13,207
353,13,209
354,7,104
355,13,209
356,13,207
357,13,208
358,13,208
359,13,208
360,13,208
361,13,208
362,13,208
363,13,216
364,13,216
365,13,215
366,13,210
367,13,210
368,13,207
369,13,207
370,7,103
371,13,215
372,9,138
373,9,138
374,9,148
375,9,291
376,13,209
377,13,204
378,13,204
379,13,292
380,13,293
381,14,294
382,13,218
383,4,295
384,13,209
385,13,296
386,13,219
387,13,297
388,13,204
389,13,204
390,13,215
391,14,298
392,9,137
393,9,137
394,9,137
395,13,206
396,13,207
397,13,206
398,9,137
399,9,137
400,13,210
401,9,135
402,9,299
403,9,135
404,7,300
405,14,301
406,7,302
407,9,136
408,9,136
409,9,303
410,13,304
411,9,305
412,9,135
413,13,209
414,13,209
415,13,207
416,13,208
417,13,306
418,13,210
419,13,208
420,13,208
421,13,207
422,7,104
423,13,210
424,13,219
425,9,136
426,9,136
427,13,206
428,13,206
429,13,206
430,13,208
431,9,138
432,13,206
433,9,137
434,13,210
435,13,207
436,13,209
437,13,210
438,9,136
439,9,136
440,9,136
441,13,206
442,2,28
443,1,307
444,1,308
445,12,190
446,2,28
447,2,27
448,2,27
449,12,190
450,2,28
451,2,309
452,1,1
453,2,28
454,2,310
455,1,13
456,2,28
457,1,2
458,12,311
459,2,28
460,1,312
461,1,13
462,1,2
463,1,313
464,1,314
465,1,1
466,1,315
467,2,27
468,2,27
469,2,27
470,2,27
471,2,27
472,2,27
473,2,28
474,1,15
475,2,28
476,1,2
477,1,2
478,1,15
479,1,2
480,1,13
481,1,316
482,2,317
483,2,28
484,1,318
485,12,319
486,1,2
487,2,28
488,2,28
489,1,320
490,3,321
491,1,13
492,1,322
493,1,15
494,1,4
495,1,1
496,1,13
497,1,13
498,2,28
499,1,1
500,1,15
501,2,323
502,1,324
503,12,325
504,4,326
505,2,28
506,2,27
507,2,27
508,2,27
509,2,27
510,2,27
511,2,27
512,1,4
513,1,13
514,2,27
515,2,27
516,1,15
517,1,15
518,1,15
519,2,28
520,1,13
521,1,13
522,1,4
523,1,4
