Id,Partition,Subpartition
42,1,12
43,1,12
65,1,12
66,1,12
80,1,12
81,1,12
82,1,12
149,1,12
293,1,12
294,1,12
425,1,12
181,2,15
182,2,15
185,2,15
285,2,15
286,2,15
367,2,15
368,2,15
445,2,15
446,2,15
461,2,15
487,2,15
57,2,18
58,2,18
59,2,18
129,2,18
130,2,18
253,2,18
305,2,18
306,2,18
307,2,18
324,2,18
325,2,18
91,2,24
92,2,24
95,2,24
96,2,24
133,2,24
134,2,24
170,2,24
171,2,24
226,2,24
227,2,24
369,2,24
144,4,43
145,4,43
316,4,43
317,4,43
338,4,43
339,4,43
401,4,43
402,4,43
423,4,43
459,4,43
496,4,43
46,4,44
47,4,44
156,4,44
157,4,44
238,4,44
239,4,44
246,4,44
332,4,44
333,4,44
436,4,44
464,4,44
137,1,3
138,1,3
214,1,3
215,1,3
350,1,3
351,1,3
352,1,3
353,1,3
403,1,3
404,1,3
31,1,7
74,1,7
75,1,7
85,1,7
86,1,7
189,1,7
190,1,7
240,1,7
241,1,7
273,1,7
192,1,8
205,1,8
206,1,8
207,1,8
218,1,8
219,1,8
312,1,8
313,1,8
399,1,8
400,1,8
32,1,9
35,1,9
36,1,9
104,1,9
105,1,9
114,1,9
115,1,9
116,1,9
267,1,9
268,1,9
160,1,10
161,1,10
212,1,10
213,1,10
235,1,10
271,1,10
408,1,10
411,1,10
412,1,10
413,1,10
119,2,17
120,2,17
254,2,17
255,2,17
256,2,17
257,2,17
258,2,17
259,2,17
347,2,17
348,2,17
124,2,20
125,2,20
126,2,20
127,2,20
128,2,20
165,2,20
167,2,20
169,2,20
260,2,20
261,2,20
16,2,22
17,2,22
78,2,22
79,2,22
186,2,22
387,2,22
397,2,22
398,2,22
467,2,22
470,2,22
18,2,23
388,2,23
389,2,23
390,2,23
391,2,23
392,2,23
393,2,23
394,2,23
395,2,23
396,2,23
1,3,28
2,3,28
44,3,28
45,3,28
201,3,28
354,3,28
355,3,28
421,3,28
422,3,28
479,3,28
179,3,29
180,3,29
345,3,29
346,3,29
365,3,29
366,3,29
374,3,29
375,3,29
415,3,29
416,3,29
3,3,30
4,3,30
62,3,30
63,3,30
64,3,30
480,3,30
481,3,30
482,3,30
483,3,30
484,3,30
121,3,31
122,3,31
135,3,31
136,3,31
242,3,31
243,3,31
287,3,31
288,3,31
320,3,31
321,3,31
53,3,32
54,3,32
158,3,32
159,3,32
162,3,32
232,3,32
233,3,32
234,3,32
277,3,32
278,3,32
263,3,33
266,3,33
276,3,33
291,3,33
292,3,33
326,3,33
327,3,33
476,3,33
486,3,33
491,3,33
146,3,34
163,3,34
164,3,34
195,3,34
196,3,34
197,3,34
198,3,34
199,3,34
200,3,34
373,3,34
7,3,35
8,3,35
9,3,35
262,3,35
264,3,35
265,3,35
453,3,35
455,3,35
456,3,35
457,3,35
29,3,36
30,3,36
89,3,36
90,3,36
187,3,36
188,3,36
454,3,36
458,3,36
485,3,36
499,3,36
5,4,41
6,4,41
110,4,41
111,4,41
183,4,41
184,4,41
247,4,41
248,4,41
274,4,41
275,4,41
249,4,45
250,4,45
431,4,45
432,4,45
433,4,45
434,4,45
435,4,45
437,4,45
438,4,45
439,4,45
40,4,46
131,4,46
132,4,46
330,4,46
331,4,46
334,4,46
335,4,46
449,4,46
450,4,46
451,4,46
41,4,47
60,4,47
61,4,47
154,4,47
377,4,47
429,4,47
460,4,47
466,4,47
488,4,47
495,4,47
39,4,49
139,4,49
140,4,49
151,4,49
152,4,49
153,4,49
155,4,49
341,4,49
428,4,49
430,4,49
49,1,1
50,1,1
51,1,1
52,1,1
102,1,1
103,1,1
309,1,1
419,1,1
420,1,1
10,1,2
11,1,2
34,1,2
83,1,2
84,1,2
342,1,2
343,1,2
344,1,2
349,1,2
172,1,4
173,1,4
174,1,4
203,1,4
204,1,4
244,1,4
245,1,4
426,1,4
427,1,4
55,1,6
56,1,6
67,1,6
150,1,6
298,1,6
299,1,6
308,1,6
489,1,6
500,1,6
106,1,11
107,1,11
191,1,11
237,1,11
284,1,11
407,1,11
409,1,11
410,1,11
414,1,11
13,2,13
14,2,13
282,2,13
304,2,13
384,2,13
385,2,13
442,2,13
443,2,13
444,2,13
97,2,14
98,2,14
281,2,14
310,2,14
311,2,14
328,2,14
329,2,14
359,2,14
441,2,14
28,2,16
208,2,16
209,2,16
322,2,16
323,2,16
356,2,16
357,2,16
382,2,16
383,2,16
166,2,19
228,2,19
229,2,19
252,2,19
280,2,19
289,2,19
290,2,19
418,2,19
468,2,19
99,4,38
100,4,38
101,4,38
108,4,38
109,4,38
462,4,38
463,4,38
465,4,38
472,4,38
141,4,39
142,4,39
300,4,39
301,4,39
302,4,39
303,4,39
405,4,39
406,4,39
478,4,39
69,4,40
295,4,40
296,4,40
314,4,40
315,4,40
381,4,40
447,4,40
448,4,40
477,4,40
24,4,48
25,4,48
26,4,48
210,4,48
211,4,48
361,4,48
362,4,48
363,4,48
364,4,48
70,1,5
71,1,5
72,1,5
73,1,5
117,1,5
118,1,5
217,1,5
490,1,5
15,2,21
123,2,21
168,2,21
230,2,21
231,2,21
370,2,21
473,2,21
474,2,21
93,3,25
94,3,25
147,3,25
148,3,25
269,3,25
270,3,25
337,3,25
475,3,25
175,3,26
176,3,26
177,3,26
178,3,26
222,3,26
223,3,26
224,3,26
225,3,26
37,3,27
38,3,27
76,3,27
77,3,27
318,3,27
319,3,27
378,3,27
379,3,27
20,3,37
21,3,37
22,3,37
113,3,37
193,3,37
194,3,37
371,3,37
372,3,37
87,4,42
88,4,42
424,4,42
493,4,42
494,4,42
497,4,42
498,4,42
33,1,54
48,1,55
202,1,59
216,1,60
236,1,63
272,1,65
283,1,67
297,1,68
12,2,50
27,2,53
251,2,64
279,2,66
358,2,71
386,2,75
417,2,76
440,2,77
469,2,79
19,3,51
112,3,57
220,3,61
336,3,69
452,3,78
23,4,52
68,4,56
143,4,58
221,4,62
340,4,70
360,4,72
376,4,73
380,4,74
471,4,80
492,4,81
