Id,Partition
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,4
82,4
83,4
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,6
123,6
124,6
125,7
126,7
127,7
128,7
129,7
130,7
131,7
132,7
133,7
134,7
135,7
136,7
137,7
138,7
139,7
140,7
141,7
142,7
143,7
144,7
145,8
146,8
147,8
148,8
149,8
150,8
151,8
152,8
153,8
154,8
155,8
156,8
157,8
158,8
159,8
160,8
161,8
162,8
163,8
164,8
165,9
166,9
167,9
168,9
169,9
170,9
171,9
172,9
173,9
174,9
175,9
176,9
177,9
178,9
179,9
180,9
181,9
182,9
183,9
184,9
185,9
186,10
187,10
188,10
189,10
190,10
191,10
192,10
193,10
194,10
195,10
196,10
197,10
198,10
199,10
200,10
201,10
202,10
203,10
204,10
205,10
206,10
207,11
208,11
209,11
210,11
211,11
212,11
213,11
214,11
215,11
216,11
217,11
218,11
219,11
220,11
221,11
222,11
223,11
224,11
225,11
226,11
227,11
228,12
229,12
230,12
231,12
232,12
233,12
234,12
235,12
236,12
237,12
238,12
239,12
240,12
241,12
242,12
243,12
244,12
245,12
246,12
247,12
248,12
249,13
250,13
251,13
252,13
253,13
254,13
255,13
256,13
257,13
258,13
259,13
260,13
261,13
262,13
263,13
264,13
265,13
266,13
267,13
268,13
269,14
270,14
271,14
272,14
273,14
274,14
275,14
276,14
277,14
278,14
279,14
280,14
281,14
282,14
283,14
284,14
285,14
286,14
287,14
288,14
289,15
290,15
291,15
292,15
293,15
294,15
295,15
296,15
297,15
298,15
299,15
300,15
301,15
302,15
303,15
304,15
305,15
306,15
307,15
308,15
309,16
310,16
311,16
312,16
313,16
314,16
315,16
316,16
317,16
318,16
319,16
320,16
321,16
322,16
323,16
324,16
325,16
326,16
327,16
328,16
329,16
330,11
331,4
332,3
333,3
334,7
335,13
336,4
337,2
338,7
339,7
340,2
341,16
342,6
343,10
344,3
345,4
346,12
347,5
348,10
349,5
350,7
351,2
352,8
353,7
354,12
355,11
356,12
357,12
358,14
359,14
360,1
361,7
362,8
363,13
364,2
365,5
366,9
367,9
368,7
369,9
370,15
371,5
372,2
373,1
374,7
375,9
376,1
377,6
378,1
379,1
380,1
381,14
382,7
383,4
384,7
385,13
386,1
387,7
388,1
389,13
390,5
391,5
392,10
393,10
394,11
395,5
396,7
397,11
398,11
399,11
400,15
401,2
402,1
403,15
404,1
405,2
406,3
407,2
408,14
409,15
410,2
411,2
412,2
413,6
414,5
415,12
416,10
417,10
418,11
419,4
420,4
421,3
422,12
423,3
424,1
425,1
426,3
427,3
428,3
429,16
430,16
431,4
432,8
433,4
434,3
435,4
436,14
437,4
438,16
439,4
440,4
441,11
442,11
443,1
444,1
445,7
446,2
447,5
448,4
449,8
450,15
451,16
452,13
453,14
454,6
455,5
456,15
457,16
458,1
459,16
460,16
461,9
462,2
463,13
464,13
465,8
466,14
467,4
468,12
469,8
470,12
471,2
472,1
473,13
474,2
475,5
476,2
477,1
478,3
479,3
480,1
481,9
482,9
483,1
484,12
485,7
486,1
487,8
488,2
489,8
490,1
491,14
492,5
493,5
494,13
495,8
496,9
497,7
498,7
499,5
500,15
501,5
502,2
503,1
504,1
505,4
506,1
507,1
508,4
509,3
510,2
511,3
512,5
513,11
514,10
515,9
516,5
517,5
518,14
519,14
520,2
521,1
522,15
523,3
524,6
525,6
526,9
527,12
528,8
529,8
530,8
531,1
532,2
533,9
534,10
535,10
536,7
537,16
538,6
539,2
540,6
541,5
542,5
543,10
544,7
545,4
546,8
547,3
548,9
549,4
550,15
551,16
552,16
553,3
554,3
555,8
556,10
557,2
558,4
559,3
560,3
561,3
562,8
563,8
564,13
565,14
566,6
567,5
568,10
569,4
570,16
571,12
572,5
573,2
574,2
575,1
576,8
577,9
578,7
579,7
580,1
581,13
582,15
583,15
584,11
585,11
586,10
587,11
588,6
589,6
590,7
591,13
592,1
593,13
594,3
595,8
596,8
597,11
598,11
599,11
600,6
601,4
