Source,Target
1,2
1,470
1,490
2,6
2,353
2,579
3,4
3,10
3,412
4,5
4,441
4,560
4,777
5,10
5,431
5,664
6,7
6,9
6,10
6,11
6,18
6,347
6,490
6,621
6,696
7,9
7,10
8,9
8,10
8,14
8,351
8,523
8,548
8,590
9,10
9,510
9,696
10,11
10,412
10,449
10,484
10,723
11,12
11,372
12,510
12,542
13,14
13,15
13,18
13,349
13,548
13,680
14,548
14,772
15,17
15,18
15,442
16,18
16,20
16,351
17,442
17,558
18,20
18,21
18,510
18,590
19,20
19,21
19,339
19,558
20,21
22,23
22,26
22,30
22,574
22,637
22,683
23,25
23,27
23,364
23,585
24,26
24,337
24,395
24,703
25,26
25,42
25,350
25,394
25,469
25,585
26,39
26,394
26,469
26,483
26,489
26,792
27,28
27,637
27,698
27,773
28,30
28,42
28,371
28,591
28,592
28,637
29,30
29,489
29,574
30,637
31,637
31,638
32,33
32,589
33,34
33,40
33,358
33,522
33,647
34,35
34,748
35,521
36,40
36,521
36,526
37,39
37,42
37,350
37,695
38,39
38,620
38,694
40,42
40,350
41,42
41,603
41,735
41,780
42,350
42,371
42,718
43,45
43,47
43,49
43,50
43,51
43,513
44,45
44,48
44,352
44,535
45,49
45,352
45,471
45,528
45,660
45,693
46,47
46,57
46,420
47,57
47,699
48,49
48,51
48,59
48,61
48,482
48,608
48,699
48,736
49,50
49,61
50,52
50,513
50,549
50,635
50,669
50,715
51,450
51,625
51,634
51,635
51,665
52,60
52,549
52,625
52,634
52,681
53,54
53,56
53,62
53,481
54,55
54,62
55,56
55,58
55,700
56,57
56,58
56,438
56,604
56,700
57,60
57,420
57,438
57,604
57,699
58,59
58,60
58,61
59,61
60,61
60,438
60,527
60,608
60,681
62,731
62,749
63,64
63,65
63,66
63,68
63,76
63,80
64,67
64,68
64,807
65,68
66,67
66,68
66,75
66,77
66,80
67,78
67,79
67,661
68,69
69,71
69,533
69,682
69,781
70,72
70,78
70,690
71,72
71,533
71,600
72,533
