Id,Partition,Subpartition
12,1,1
15,2,2
18,2,3
24,2,4
43,4,5
44,4,6
3,1,7
7,1,8
8,1,9
9,1,10
10,1,11
17,2,12
20,2,13
22,2,14
23,2,15
28,3,16
29,3,17
30,3,18
31,3,19
32,3,20
33,3,21
34,3,22
35,3,23
36,3,24
41,4,25
45,4,26
46,4,27
47,4,28
49,4,29
1,1,30
2,1,31
4,1,32
6,1,33
11,1,34
13,2,35
14,2,36
16,2,37
19,2,38
38,4,39
39,4,40
40,4,41
48,4,42
5,1,43
21,2,44
25,3,45
26,3,46
27,3,47
37,3,48
42,4,49
54,1,50
55,1,51
59,1,52
60,1,53
63,1,54
65,1,55
67,1,56
68,1,57
50,2,58
53,2,59
64,2,60
66,2,61
71,2,62
75,2,63
76,2,64
77,2,65
79,2,66
51,3,67
57,3,68
61,3,69
69,3,70
78,3,71
52,4,72
56,4,73
58,4,74
62,4,75
70,4,76
72,4,77
73,4,78
74,4,79
80,4,80
81,4,81
