Source,Target
1,4
1,359
1,372
1,375
1,425
2,5
2,7
2,372
2,416
2,418
3,291
3,335
3,342
3,351
4,5
4,417
4,418
4,439
5,7
5,358
6,7
6,416
6,417
6,430
7,10
7,365
7,416
7,417
7,435
8,324
8,352
8,400
8,436
9,399
9,416
9,430
9,431
10,399
10,400
10,430
10,431
11,12
11,14
11,15
12,15
12,18
13,15
13,19
13,390
13,415
13,428
14,15
14,18
14,19
14,428
15,428
16,17
16,18
16,20
16,363
16,393
17,20
17,234
17,391
17,392
18,19
18,20
18,206
18,210
18,211
18,218
18,219
18,223
18,233
18,234
18,363
19,20
19,201
19,220
19,221
19,222
19,224
19,225
19,227
20,214
20,217
20,225
20,226
20,382
20,415
21,22
21,23
21,26
22,24
22,25
22,376
23,25
23,30
23,376
23,387
24,25
24,395
25,376
26,27
26,381
26,421
27,383
27,395
28,30
28,402
28,403
28,419
28,420
29,366
29,403
29,434
30,403
30,406
30,434
31,32
31,33
31,34
31,385
31,386
31,408
32,35
32,361
32,370
32,408
32,429
32,440
33,34
33,360
33,371
34,35
35,361
36,37
36,364
36,385
36,386
37,38
37,40
37,385
38,357
38,386
38,396
39,40
39,396
39,397
40,412
40,422
40,433
41,42
41,44
41,179
41,180
41,334
42,43
42,44
42,46
42,47
42,179
42,348
43,45
43,46
43,334
43,341
43,346
44,45
44,350
45,46
45,47
45,319
45,346
45,347
45,355
46,47
46,49
46,191
46,325
46,338
47,48
47,50
47,190
47,191
47,212
47,213
47,319
48,50
48,326
48,414
48,424
48,426
48,427
49,213
49,426
49,427
50,212
50,369
50,426
50,427
51,52
51,54
51,60
51,362
51,410
51,423
52,377
52,423
53,55
53,188
53,189
53,192
53,197
53,198
53,228
53,230
53,235
54,55
54,59
54,60
54,379
54,413
55,60
55,318
55,331
55,353
56,57
56,388
56,398
56,401
57,58
57,230
57,394
58,59
58,60
58,394
59,60
59,413
60,229
60,236
60,384
60,389
60,413
61,62
61,63
61,70
61,303
61,315
61,328
61,329
62,65
62,300
62,312
62,329
62,345
63,65
63,70
63,339
63,340
63,344
63,345
64,65
64,181
64,182
64,194
64,327
64,330
64,337
64,343
65,320
65,330
65,344
65,345
66,67
66,69
66,323
66,332
66,333
67,69
67,70
67,329
67,333
68,279
68,305
68,306
68,308
68,314
69,70
69,317
69,321
70,317
70,328
70,333
71,72
71,73
71,79
71,162
71,163
71,164
71,166
71,167
71,184
71,186
71,187
71,193
71,196
71,313
72,73
72,287
73,74
73,75
73,79
73,313
74,75
74,80
74,165
75,79
75,80
75,164
75,280
75,354
76,77
76,78
76,162
76,164
77,78
77,80
77,296
78,79
78,80
78,164
78,165
78,278
78,293
79,80
80,165
80,185
80,296
81,82
81,83
81,90
81,161
81,290
81,316
82,83
82,90
82,178
82,316
83,294
84,90
85,87
85,89
85,90
86,87
86,409
86,438
86,441
87,89
87,90
88,203
88,367
88,378
88,404
88,411
89,90
89,173
89,176
89,207
89,208
89,209
89,237
89,238
89,438
90,161
90,169
90,172
90,207
90,309
91,92
91,96
91,97
91,405
91,432
92,93
92,94
92,368
92,373
92,405
93,94
93,373
93,380
94,95
94,368
94,374
95,380
96,97
96,284
96,302
96,310
97,98
97,311
98,99
98,100
98,356
98,437
99,437
100,349
100,437
100,442
101,102
101,105
101,250
101,251
101,470
102,105
102,445
102,464
102,467
103,447
103,453
103,459
104,105
104,447
104,466
105,447
105,475
105,480
106,107
106,110
106,459
106,460
107,110
107,446
107,451
107,453
107,460
107,473
108,109
108,110
108,443
108,444
109,292
109,299
109,443
110,255
110,457
110,460
111,112
111,113
111,115
111,118
111,448
112,115
112,116
112,117
112,120
112,252
112,253
113,116
113,264
113,454
113,476
114,115
114,263
114,455
115,120
115,252
115,253
115,262
115,265
115,448
115,469
115,479
116,118
116,119
116,120
117,118
117,119
117,120
118,119
118,120
118,448
118,461
119,120
120,245
120,264
120,461
121,122
121,123
121,126
121,130
121,244
121,463
122,123
122,124
122,259
122,260
122,462
122,472
123,124
123,125
123,243
123,260
123,261
123,463
124,125
124,243
124,449
124,471
125,249
125,456
126,128
126,130
126,244
126,468
126,474
127,128
127,130
128,129
128,130
128,244
128,248
128,261
129,130
131,132
131,137
131,139
131,275
132,137
132,276
132,488
132,490
132,491
133,135
133,478
133,481
133,498
134,135
134,137
134,138
134,139
134,140
134,271
134,486
135,139
135,503
136,137
136,283
137,139
137,170
137,247
137,258
137,271
137,298
138,139
139,140
139,246
139,247
139,272
139,477
139,486
140,450
140,452
140,458
140,465
141,142
141,144
141,489
141,492
141,497
142,145
142,148
142,281
142,297
142,307
142,500
143,145
143,146
143,147
143,266
144,145
144,269
144,485
144,487
144,499
144,501
145,146
145,148
145,150
145,171
145,267
145,269
146,147
146,150
147,148
147,268
147,277
147,504
148,150
148,267
148,493
149,150
149,268
150,484
150,500
151,152
151,160
151,168
152,154
152,158
152,160
152,494
153,154
153,482
153,483
153,494
153,502
154,155
154,273
154,274
154,494
155,156
155,157
155,158
155,168
155,286
155,301
155,494
155,496
156,157
156,282
156,289
156,295
157,158
157,285
158,159
158,285
159,160
159,288
160,304
161,165
162,168
163,171
163,186
164,165
164,170
165,175
166,173
167,288
169,239
169,294
171,172
172,173
172,176
172,230
173,209
173,254
174,175
174,246
175,306
176,177
176,203
176,254
176,310
177,311
178,240
179,193
179,317
180,323
181,182
181,195
181,208
182,183
182,221
183,192
184,185
184,195
184,328
185,196
185,329
186,188
187,333
188,189
189,340
190,191
190,192
190,212
191,194
192,228
195,196
195,345
196,344
197,198
197,228
197,229
197,346
198,347
199,208
199,356
200,201
200,215
200,360
201,361
202,203
202,367
