Id,Partition,Subpartition
1,7,202
2,11,308
3,1,16
4,6,162
5,7,198
6,7,190
7,13,381
8,11,295
9,12,331
10,5,133
11,14,386
12,14,408
13,7,199
14,13,471
15,16,448
16,12,336
17,4,92
18,3,87
19,8,215
20,12,337
21,5,135
22,5,147
23,9,238
24,9,472
25,3,82
26,6,164
27,4,106
28,13,365
29,6,154
30,14,404
31,16,465
32,15,441
33,15,415
34,9,473
35,8,219
36,9,238
37,10,279
38,3,78
39,15,440
40,13,382
41,12,474
42,15,475
43,11,302
44,5,133
45,9,248
46,10,283
47,10,292
48,13,360
49,7,203
50,12,324
51,16,461
52,4,108
53,6,165
54,6,476
55,3,82
56,1,8
57,12,324
58,6,154
59,16,444
60,9,263
61,2,58
62,10,290
63,2,45
64,13,360
65,16,466
66,11,315
67,10,269
68,10,277
69,4,108
70,12,333
71,3,68
72,16,442
73,8,206
74,13,363
75,15,423
76,3,78
77,16,454
78,10,291
79,3,89
80,13,380
81,2,52
82,8,209
83,3,85
84,12,343
85,12,351
86,14,389
87,10,288
88,7,181
89,4,101
90,16,456
91,3,70
92,2,477
93,11,318
94,12,344
95,14,388
96,1,20
97,1,15
98,2,47
99,7,183
100,13,363
101,14,386
102,7,196
103,14,412
104,7,197
105,7,202
106,13,357
107,2,57
108,9,261
109,11,300
110,13,364
111,8,231
112,2,47
113,5,121
114,12,353
115,5,139
116,11,314
117,10,282
118,6,478
119,13,370
120,11,304
121,13,354
122,4,91
123,2,46
124,6,163
125,9,263
126,12,338
127,6,151
128,6,174
129,1,9
130,15,414
131,8,221
132,15,414
133,4,109
134,12,328
135,1,30
136,8,220
137,2,52
138,15,439
139,3,88
140,3,75
141,4,106
142,7,202
143,3,70
144,2,479
145,6,156
146,8,233
147,1,480
148,6,164
149,7,205
150,6,155
151,11,295
152,11,481
153,1,26
154,8,225
155,9,255
156,14,388
157,11,323
158,4,92
159,13,361
160,12,332
161,13,355
162,7,178
163,5,144
164,3,67
165,14,407
166,4,90
167,1,14
168,12,339
169,13,363
170,4,104
171,16,457
172,15,416
173,4,104
174,5,130
175,8,225
176,13,362
177,15,438
178,14,411
179,16,482
180,9,254
181,8,211
182,2,33
183,14,411
184,6,171
185,11,298
186,9,483
187,8,224
188,5,121
189,10,268
190,12,344
191,7,203
192,2,44
193,2,48
194,3,65
195,6,176
196,5,135
197,2,58
198,6,174
199,4,107
200,2,54
201,15,423
202,8,226
203,12,339
204,10,291
205,3,70
206,11,318
207,6,171
208,1,4
209,8,208
210,14,401
211,3,75
212,4,114
213,8,209
214,4,106
215,10,269
216,5,142
217,4,100
218,1,15
219,1,23
220,7,178
221,6,154
222,2,59
223,9,242
224,9,260
225,5,128
226,8,214
227,1,22
228,4,97
229,6,153
230,15,435
231,3,79
232,13,371
233,10,275
234,11,295
235,8,224
236,15,426
237,3,484
238,7,199
239,12,343
240,13,357
241,2,42
242,2,48
243,3,64
244,4,109
245,9,254
246,13,378
247,10,291
248,4,104
249,15,441
250,4,96
251,12,349
252,2,38
253,2,46
254,9,257
255,8,235
256,7,183
257,15,416
258,11,307
259,14,392
260,2,485
261,15,431
262,4,105
263,12,347
264,16,459
265,8,231
266,16,486
267,15,419
268,3,81
269,8,221
270,2,43
271,4,99
272,14,397
273,13,380
274,9,256
275,4,109
276,2,44
277,14,402
278,10,272
279,12,342
280,5,487
281,3,62
282,10,287
283,6,171
284,16,448
285,2,53
286,12,336
287,8,488
288,13,370
289,7,186
290,8,234
291,8,226
292,6,149
293,13,369
294,11,298
295,6,152
296,3,83
297,3,68
298,8,231
299,16,452
300,13,372
301,10,284
302,12,330
303,9,256
304,15,432
305,5,127
306,5,137
307,9,258
308,16,467
309,3,85
310,14,410
311,3,73
312,3,76
313,12,336
314,5,145
315,15,429
316,2,49
317,4,101
318,14,385
319,11,302
320,12,337
321,2,44
322,15,438
323,12,332
324,2,44
325,11,312
326,3,81
327,1,25
328,4,113
329,9,254
330,4,96
331,16,468
332,9,489
333,5,130
334,11,311
335,10,278
336,10,289
337,11,317
338,6,161
339,7,189
340,8,234
341,9,253
342,7,182
343,11,318
344,3,60
345,8,231
346,5,141
347,12,326
348,6,148
349,3,71
350,5,136
351,3,75
352,5,138
353,8,209
354,1,23
355,10,282
356,1,18
357,14,392
358,12,349
359,1,20
360,3,77
361,4,105
362,2,54
363,14,396
364,7,181
365,13,373
366,11,490
367,5,134
368,7,491
369,3,77
370,3,73
371,11,307
372,8,229
373,14,385
374,11,307
375,2,38
376,7,204
377,3,66
378,4,116
379,8,492
380,15,438
381,7,200
382,1,29
383,14,391
384,14,412
385,15,421
386,2,56
387,3,68
388,4,91
389,15,429
390,11,316
391,14,383
392,4,107
393,13,375
394,2,57
395,3,62
396,16,467
397,1,8
398,10,289
399,7,180
400,10,271
401,5,131
402,7,203
403,10,271
404,10,265
405,7,188
406,8,206
407,12,331
408,6,169
409,11,311
410,16,443
411,7,191
412,12,348
413,5,139
414,14,390
