Id,Partition,Subpartition
1,9,89
2,9,89
3,16,151
4,16,151
5,16,152
6,9,161
7,9,81
8,8,76
9,8,162
10,8,76
11,8,71
12,8,163
13,8,71
14,8,164
15,8,165
16,8,78
17,8,74
18,8,71
19,8,166
20,8,79
21,8,167
22,16,168
23,16,155
24,9,90
25,9,169
26,14,137
27,14,170
28,8,80
29,8,80
30,9,90
31,9,90
32,15,171
33,15,145
34,15,142
35,9,90
36,9,89
37,9,172
38,9,173
39,8,174
40,8,175
41,9,176
42,9,177
43,8,78
44,8,71
45,9,82
46,9,178
47,5,179
48,5,47
49,5,47
50,5,47
51,5,180
52,7,181
53,7,182
54,6,183
55,8,184
56,8,185
57,8,71
58,8,186
59,8,71
60,7,64
61,6,53
62,6,53
63,8,187
64,5,41
65,5,41
66,6,188
67,6,189
68,5,190
69,5,191
70,6,192
71,6,53
72,8,71
73,8,193
74,7,194
75,7,64
76,8,195
77,8,196
78,6,197
79,6,198
80,5,42
81,5,42
82,5,41
83,9,199
84,5,47
85,5,47
86,2,200
87,2,201
88,2,18
89,2,18
90,2,20
91,2,20
92,2,19
93,2,20
94,2,19
95,2,19
96,9,202
97,9,203
98,10,204
99,2,205
100,2,206
101,9,89
102,9,89
103,2,18
104,2,14
105,9,207
106,9,208
107,9,89
108,9,209
109,2,18
110,2,210
111,2,18
112,2,211
113,2,19
114,2,19
115,5,212
116,5,213
117,2,214
118,2,215
119,2,216
120,2,217
121,2,218
122,2,219
123,2,220
124,2,221
125,2,222
126,2,223
127,2,18
128,2,224
129,2,19
130,6,60
131,6,60
132,2,225
133,2,19
134,2,226
135,2,227
136,6,228
137,6,53
138,6,229
139,6,230
140,2,231
141,2,232
142,2,233
143,2,234
144,6,235
145,6,236
146,9,237
147,9,89
148,2,18
149,9,238
150,2,20
151,2,20
152,14,239
153,14,240
154,12,120
155,12,120
156,12,120
157,12,112
158,12,120
159,9,241
160,9,242
161,13,243
162,13,128
163,13,128
164,13,244
165,13,126
166,12,245
167,14,246
168,14,247
169,13,128
170,13,128
171,13,248
172,13,128
173,13,249
174,13,125
175,11,250
176,11,251
177,12,115
178,12,252
179,12,112
180,12,253
181,12,112
182,13,127
183,13,127
184,9,254
185,11,255
186,9,256
187,9,257
188,14,137
189,14,258
190,14,139
191,13,122
192,13,259
193,13,128
194,13,128
195,13,123
196,13,260
197,13,261
198,12,262
199,12,263
200,13,123
201,12,120
202,12,112
203,12,264
204,11,101
205,12,265
206,12,115
207,14,139
208,15,143
209,15,143
210,15,266
211,15,145
212,15,267
213,15,150
214,15,268
215,15,147
216,15,269
217,15,270
218,15,145
219,15,145
220,15,144
221,14,271
222,14,272
223,14,139
224,16,154
225,16,273
226,16,154
227,16,154
228,16,274
229,16,154
230,15,145
231,15,145
232,14,275
233,14,131
234,14,276
235,14,132
236,15,145
237,15,145
238,15,277
239,15,147
240,5,41
241,16,160
242,16,151
243,16,151
244,8,80
245,8,80
246,8,72
247,8,72
248,9,85
249,9,86
250,16,159
251,16,159
252,16,159
253,16,159
254,16,159
255,16,159
256,16,159
257,16,159
258,16,159
259,16,159
260,16,159
261,16,159
262,16,159
263,7,68
264,7,68
265,8,78
266,8,278
267,11,108
268,10,97
269,7,279
270,7,68
271,9,85
272,9,85
273,9,87
274,15,142
275,15,142
276,16,152
277,16,160
278,16,160
279,9,81
280,7,68
281,7,68
282,9,82
283,9,82
284,8,75
285,9,87
286,9,87
287,1,3
288,1,3
289,9,87
290,9,87
291,16,155
292,9,83
293,9,83
294,16,155
295,16,155
296,16,158
297,16,158
298,16,158
299,16,160
300,16,160
301,16,156
302,16,156
303,16,151
304,10,96
305,10,97
306,10,96
307,10,97
308,15,141
309,15,141
310,9,81
311,10,96
312,10,96
313,16,157
314,9,87
315,9,87
316,9,89
317,16,152
318,16,152
319,16,151
320,16,152
321,16,152
322,7,61
323,16,159
324,16,159
325,16,151
326,15,142
327,15,142
328,7,61
329,7,61
330,8,75
331,8,280
332,16,152
333,16,151
334,16,160
335,16,160
336,9,85
337,9,90
338,9,81
339,9,81
340,16,151
341,8,77
342,8,74
343,16,155
344,9,87
345,9,87
346,9,87
347,8,75
348,14,136
349,14,136
350,15,142
351,15,281
352,16,160
353,16,151
354,16,151
355,8,73
356,8,73
357,7,68
358,7,68
359,8,77
360,8,76
361,9,90
362,9,81
363,10,97
364,10,97
365,16,158
366,16,158
367,8,76
368,8,72
369,9,87
370,9,87
371,9,87
372,9,87
373,9,85
374,9,84
375,9,84
376,7,68
377,9,90
378,9,85
379,16,158
380,16,152
381,16,160
382,16,156
383,16,156
384,11,109
385,8,72
386,8,72
387,8,77
388,9,84
389,9,84
390,7,61
391,14,136
392,11,109
393,10,96
394,10,96
395,9,82
396,9,82
397,9,82
398,16,159
399,16,159
400,9,81
401,9,85
402,9,84
403,9,84
404,9,81
405,9,81
406,9,84
407,9,82
408,9,82
409,9,83
410,9,83
411,9,83
412,9,81
413,9,82
414,9,90
415,9,83
416,11,109
417,11,109
418,16,160
419,16,156
420,16,156
421,16,282
422,16,156
423,16,156
424,8,79
425,8,79
426,9,84
427,9,84
428,9,84
429,9,84
430,16,158
431,16,158
432,9,83
433,9,83
434,9,83
435,9,83
436,16,158
437,16,158
438,14,283
439,14,136
440,9,83
441,10,284
442,10,96
443,9,84
444,9,84
445,7,67
446,7,67
447,14,137
448,14,137
449,9,81
450,15,141
451,9,81
452,9,81
453,16,158
454,16,285
455,8,77
456,8,75
457,16,160
458,8,72
459,8,76
460,8,71
461,8,76
462,8,71
463,8,76
464,8,72
465,16,152
466,16,157
467,16,286
468,16,155
469,9,84
470,9,84
471,8,79
472,8,79
473,16,160
474,8,78
475,8,75
476,8,75
477,8,78
478,8,74
479,8,287
480,8,72
481,7,68
482,7,68
483,14,136
484,14,136
485,8,80
486,8,79
487,8,79
488,8,79
489,1,3
490,1,3
491,16,157
492,15,142
493,14,136
494,15,142
495,14,137
496,16,288
497,16,159
498,16,156
499,16,156
500,16,155
501,16,155
502,16,152
503,16,158
504,16,289
505,16,156
506,9,85
507,9,290
508,16,151
509,16,155
510,1,291
511,1,3
512,16,156
513,16,157
514,16,157
515,16,158
516,16,158
517,16,157
518,16,155
519,16,160
520,8,76
521,8,76
522,11,109
523,11,292
524,8,293
525,9,84
526,9,294
527,9,87
528,9,85
529,14,137
530,14,137
531,16,157
532,11,109
533,14,137
534,14,137
535,15,142
536,14,136
537,16,295
538,16,156
539,1,3
540,8,296
541,8,80
542,9,90
543,9,85
544,16,152
545,9,90
546,9,87
547,14,136
548,14,136
549,8,76
550,7,62
551,14,136
552,14,136
553,16,160
554,15,297
555,14,136
556,15,142
557,9,85
558,9,85
559,16,156
560,16,156
561,14,136
562,14,136
563,14,298
564,14,137
565,11,299
566,16,157
567,8,73
568,8,73
569,8,75
570,8,75
571,8,75
572,8,75
573,16,155
574,16,155
575,16,157
576,16,157
577,8,73
578,8,73
579,8,75
580,9,84
581,9,84
582,9,90
583,14,137
584,14,136
585,7,62
586,7,300
587,16,155
588,16,301
589,9,82
590,9,82
591,8,72
592,16,157
593,9,90
594,9,90
595,10,99
596,16,151
597,9,85
598,9,87
599,9,90
600,9,85
601,9,83
602,9,82
603,9,82
604,10,96
605,10,96
606,7,62
607,7,62
608,7,61
609,10,302
610,7,303
611,7,61
612,7,61
613,7,61
614,7,61
615,7,61
616,16,151
617,16,157
618,16,157
619,8,77
620,10,96
621,9,85
622,7,68
623,16,160
624,16,160
625,8,73
626,14,136
627,11,109
628,16,304
629,7,61
630,7,70
631,7,305
632,7,306
633,7,61
634,7,61
635,10,97
636,10,97
637,15,142
638,9,83
639,7,67
640,7,67
641,9,81
642,9,81
643,14,137
644,9,85
645,16,151
646,16,151
647,16,151
648,8,76
649,8,72
650,16,151
651,15,307
652,1,3
653,1,3
654,7,308
655,9,81
656,9,81
657,7,68
658,7,68
659,15,141
660,15,141
661,8,72
662,8,72
663,9,85
664,9,309
665,9,85
666,9,85
667,10,310
668,10,311
669,8,80
670,8,80
671,8,74
672,8,74
673,16,160
674,16,159
675,8,74
676,8,74
677,8,74
678,8,74
679,8,79
680,8,79
681,8,78
682,8,78
683,16,156
684,7,68
685,7,68
686,7,312
687,7,62
688,8,73
689,8,73
690,8,75
691,8,75
692,8,78
693,8,73
694,8,75
695,8,75
696,16,151
697,8,79
698,8,79
699,10,97
700,10,97
701,9,83
702,9,83
703,16,156
704,8,77
705,8,77
706,16,158
707,8,80
708,8,80
709,8,76
