Id,Partition
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,6
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,8
72,8
73,8
74,8
75,8
76,8
77,8
78,8
79,8
80,8
81,9
82,9
83,9
84,9
85,9
86,9
87,9
88,9
89,9
90,9
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,11
102,11
103,11
104,11
105,11
106,11
107,11
108,11
109,11
110,11
111,12
112,12
113,12
114,12
115,12
116,12
117,12
118,12
119,12
120,12
121,13
122,13
123,13
124,13
125,13
126,13
127,13
128,13
129,13
130,13
131,14
132,14
133,14
134,14
135,14
136,14
137,14
138,14
139,14
140,14
141,15
142,15
143,15
144,15
145,15
146,15
147,15
148,15
149,15
150,15
151,16
152,16
153,16
154,16
155,16
156,16
157,16
158,16
159,16
160,16
161,9
162,8
163,8
164,8
165,8
166,8
167,8
168,16
169,9
170,14
171,15
172,9
173,9
174,8
175,8
176,9
177,9
178,9
179,5
180,5
181,7
182,7
183,6
184,8
185,8
186,8
187,8
188,6
189,6
190,5
191,5
192,6
193,8
194,7
195,8
196,8
197,6
198,6
199,9
200,2
201,2
202,9
203,9
204,10
205,2
206,2
207,9
208,9
209,9
210,2
211,2
212,5
213,5
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,6
229,6
230,6
231,2
232,2
233,2
234,2
235,6
236,6
237,9
238,9
239,14
240,14
241,9
242,9
243,13
244,13
245,12
246,14
247,14
248,13
249,13
250,11
251,11
252,12
253,12
254,9
255,11
256,9
257,9
258,14
259,13
260,13
261,13
262,12
263,12
264,12
265,12
266,15
267,15
268,15
269,15
270,15
271,14
272,14
273,16
274,16
275,14
276,14
277,15
278,8
279,7
280,8
281,15
282,16
283,14
284,10
285,16
286,16
287,8
288,16
289,16
290,9
291,1
292,11
293,8
294,9
295,16
296,8
297,15
298,14
299,11
300,7
301,16
302,10
303,7
304,16
305,7
306,7
307,15
308,7
309,9
310,10
311,10
312,7
313,8
314,7
315,7
316,9
317,7
318,6
319,5
320,7
321,7
322,7
323,7
324,1
325,5
326,5
327,7
328,7
329,7
330,7
331,6
332,7
333,7
334,5
335,1
336,1
337,7
338,5
339,7
340,7
341,5
342,1
343,7
344,7
345,7
346,5
347,5
348,5
349,10
350,5
351,1
352,1
353,6
354,8
355,5
356,10
357,4
358,1
359,1
360,4
361,4
362,6
363,2
364,4
365,1
366,3
367,9
368,10
369,5
370,4
371,4
372,1
373,10
374,10
375,1
376,3
377,6
378,9
379,6
380,10
381,3
382,2
383,3
384,6
385,4
386,4
387,3
388,6
389,6
390,2
391,2
392,2
393,2
394,6
395,3
396,4
397,4
398,6
399,1
400,1
401,6
402,3
403,3
404,9
405,10
406,3
407,4
408,4
409,9
410,6
411,9
412,4
413,6
414,5
415,2
416,1
417,1
418,1
419,3
420,3
421,3
422,4
423,6
424,5
425,1
426,5
427,5
428,2
429,4
430,1
431,1
432,10
433,4
434,3
435,1
436,1
437,10
438,9
439,1
440,4
441,9
442,10
443,11
444,11
445,11
446,11
447,11
448,12
449,13
450,14
451,11
452,14
453,11
454,12
455,12
456,13
457,11
458,14
459,11
460,11
461,12
462,13
463,13
464,11
465,14
466,11
467,11
468,13
469,12
470,11
471,13
472,13
473,11
474,13
475,11
476,12
477,14
478,14
479,12
480,11
481,14
482,16
483,16
484,15
485,15
486,14
487,15
488,14
489,15
490,14
491,14
492,15
493,15
494,16
495,15
496,16
497,15
498,14
499,15
500,15
501,15
502,16
503,14
504,15
