Id,Partition,Subpartition
1,3,28
2,3,28
3,3,30
4,3,30
5,4,41
6,4,41
7,3,35
8,3,35
9,3,35
10,1,2
11,1,2
12,2,50
13,2,13
14,2,13
15,2,21
16,2,22
17,2,22
18,2,23
19,3,51
20,3,37
21,3,37
22,3,37
23,4,52
24,4,48
25,4,48
26,4,48
27,2,53
28,2,16
29,3,36
30,3,36
31,1,7
32,1,9
33,1,54
34,1,2
35,1,9
36,1,9
37,3,27
38,3,27
39,4,49
40,4,46
41,4,47
42,1,12
43,1,12
44,3,28
45,3,28
46,4,44
47,4,44
48,1,55
49,1,1
50,1,1
51,1,1
52,1,1
53,3,32
54,3,32
55,1,6
56,1,6
57,2,18
58,2,18
59,2,18
60,4,47
61,4,47
62,3,30
63,3,30
64,3,30
65,1,12
66,1,12
67,1,6
68,4,56
69,4,40
70,1,5
71,1,5
72,1,5
73,1,5
74,1,7
75,1,7
76,3,27
77,3,27
78,2,22
79,2,22
80,1,12
81,1,12
82,1,12
83,1,2
84,1,2
85,1,7
86,1,7
87,4,42
88,4,42
89,3,36
90,3,36
91,2,24
92,2,24
93,3,25
94,3,25
95,2,24
96,2,24
97,2,14
98,2,14
99,4,38
100,4,38
101,4,38
102,1,1
103,1,1
104,1,9
105,1,9
106,1,11
107,1,11
108,4,38
109,4,38
110,4,41
111,4,41
112,3,57
113,3,37
114,1,9
115,1,9
116,1,9
117,1,5
118,1,5
119,2,17
120,2,17
121,3,31
122,3,31
123,2,21
124,2,20
125,2,20
126,2,20
127,2,20
128,2,20
129,2,18
130,2,18
131,4,46
132,4,46
133,2,24
134,2,24
135,3,31
136,3,31
137,1,3
138,1,3
139,4,49
140,4,49
141,4,39
142,4,39
143,4,58
144,4,43
145,4,43
146,3,34
147,3,25
148,3,25
149,1,12
150,1,6
151,4,49
152,4,49
153,4,49
154,4,47
155,4,49
156,4,44
157,4,44
158,3,32
159,3,32
160,1,10
161,1,10
162,3,32
163,3,34
164,3,34
165,2,20
166,2,19
167,2,20
168,2,21
169,2,20
170,2,24
171,2,24
172,1,4
173,1,4
174,1,4
175,3,26
176,3,26
177,3,26
178,3,26
179,3,29
180,3,29
181,2,15
182,2,15
183,4,41
184,4,41
185,2,15
186,2,22
187,3,36
188,3,36
189,1,7
190,1,7
191,1,11
192,1,8
193,3,37
194,3,37
195,3,34
196,3,34
197,3,34
198,3,34
199,3,34
200,3,34
201,3,28
202,1,59
203,1,4
204,1,4
205,1,8
206,1,8
207,1,8
208,2,16
209,2,16
210,4,48
211,4,48
212,1,10
213,1,10
214,1,3
215,1,3
216,1,60
217,1,5
218,1,8
219,1,8
220,3,61
221,4,62
222,3,26
223,3,26
224,3,26
225,3,26
226,2,24
227,2,24
228,2,19
229,2,19
230,2,21
231,2,21
232,3,32
233,3,32
234,3,32
235,1,10
236,1,63
237,1,11
238,4,44
239,4,44
240,1,7
241,1,7
242,3,31
243,3,31
244,1,4
245,1,4
246,4,44
247,4,41
248,4,41
249,4,45
250,4,45
251,2,64
252,2,19
253,2,18
254,2,17
255,2,17
256,2,17
257,2,17
258,2,17
259,2,17
260,2,20
261,2,20
262,3,35
263,3,33
264,3,35
265,3,35
266,3,33
267,1,9
268,1,9
269,3,25
270,3,25
271,1,10
272,1,65
273,1,7
274,4,41
275,4,41
276,3,33
277,3,32
278,3,32
279,2,66
280,2,19
281,2,14
282,2,13
283,1,67
284,1,11
285,2,15
286,2,15
287,3,31
288,3,31
289,2,19
290,2,19
291,3,33
292,3,33
293,1,12
294,1,12
295,4,40
296,4,40
297,1,68
298,1,6
299,1,6
300,4,39
301,4,39
302,4,39
303,4,39
304,2,13
305,2,18
306,2,18
307,2,18
308,1,6
309,1,1
310,2,14
311,2,14
312,1,8
313,1,8
314,4,40
315,4,40
316,4,43
317,4,43
318,3,27
319,3,27
320,3,31
321,3,31
322,2,16
323,2,16
324,2,18
325,2,18
326,3,33
327,3,33
328,2,14
329,2,14
330,4,46
331,4,46
332,4,44
333,4,44
334,4,46
335,4,46
336,3,69
337,3,25
338,4,43
339,4,43
340,4,70
341,4,49
342,1,2
343,1,2
344,1,2
345,3,29
346,3,29
347,2,17
348,2,17
349,1,2
350,1,3
351,1,3
352,1,3
353,1,3
354,3,28
355,3,28
356,2,16
357,2,16
358,2,71
359,2,14
360,4,72
361,4,48
362,4,48
363,4,48
364,4,48
365,3,29
366,3,29
367,2,15
368,2,15
369,2,24
370,2,21
371,3,37
372,3,37
373,3,34
374,3,29
375,3,29
376,4,73
377,4,47
378,3,27
379,3,27
380,4,74
381,4,40
382,2,16
383,2,16
384,2,13
385,2,13
386,2,75
387,2,22
388,2,23
389,2,23
390,2,23
391,2,23
392,2,23
393,2,23
394,2,23
395,2,23
396,2,23
397,2,22
398,2,22
399,1,8
400,1,8
401,4,43
402,4,43
403,1,3
404,1,3
405,4,39
406,4,39
407,1,11
408,1,10
409,1,11
410,1,11
411,1,10
412,1,10
413,1,10
414,1,11
415,3,29
416,3,29
417,2,76
418,2,19
419,1,1
420,1,1
421,3,28
422,3,28
423,4,43
424,4,42
425,1,12
426,1,4
427,1,4
428,4,49
429,4,47
430,4,49
431,4,45
432,4,45
433,4,45
434,4,45
435,4,45
436,4,44
437,4,45
438,4,45
439,4,45
440,2,77
441,2,14
442,2,13
443,2,13
444,2,13
445,2,15
446,2,15
447,4,40
448,4,40
449,4,46
450,4,46
451,4,46
452,3,78
453,3,35
454,3,36
455,3,35
456,3,35
457,3,35
458,3,36
459,4,43
460,4,47
461,2,15
462,4,38
463,4,38
464,4,44
465,4,38
466,4,47
467,2,22
468,2,19
469,2,79
470,2,22
471,4,80
472,4,38
473,2,21
474,2,21
475,3,25
476,3,33
477,4,40
478,4,39
479,3,28
480,3,30
481,3,30
482,3,30
483,3,30
484,3,30
485,3,36
486,3,33
487,2,15
488,4,47
489,1,6
490,1,5
491,3,33
492,4,81
493,4,42
494,4,42
495,4,47
496,4,43
497,4,42
498,4,42
499,3,36
500,1,6
