Id,Partition,Subpartition
1,6,241
2,5,242
3,5,63
4,5,63
5,8,107
6,8,107
7,8,243
8,5,244
9,5,63
10,8,109
11,8,109
12,8,245
13,8,109
14,3,246
15,8,247
16,8,248
17,3,38
18,8,112
19,8,249
20,8,112
21,3,41
22,3,38
23,3,250
24,3,31
25,3,41
26,3,41
27,8,110
28,8,118
29,8,118
30,6,86
31,6,251
32,6,86
33,8,252
34,8,110
35,8,109
36,3,253
37,6,86
38,6,254
39,8,255
40,8,256
41,5,63
42,8,106
43,8,106
44,8,106
45,8,107
46,8,107
47,8,107
48,15,222
49,8,106
50,8,107
51,8,106
52,8,106
53,8,106
54,8,106
55,8,106
56,8,106
57,8,106
58,8,106
59,15,257
60,8,106
61,8,106
62,8,107
63,8,107
64,6,258
65,8,106
66,6,80
67,6,259
68,6,80
69,3,31
70,8,108
71,8,112
72,8,112
73,3,31
74,8,112
75,6,82
76,8,112
77,8,108
78,8,112
79,8,112
80,8,106
81,8,112
82,3,260
83,8,106
84,8,112
85,8,108
86,6,80
87,3,31
88,3,31
89,8,106
90,6,78
91,8,112
92,8,112
93,8,108
94,8,106
95,8,108
96,8,112
97,8,261
98,8,110
99,8,110
100,8,109
101,8,109
102,8,115
103,8,115
104,8,116
105,8,116
106,6,86
107,8,110
108,8,110
109,8,118
110,6,86
111,8,111
112,6,86
113,6,86
114,6,86
115,8,115
116,8,115
117,8,262
118,8,109
119,8,110
120,8,111
121,8,112
122,8,111
123,8,111
124,8,109
125,8,109
126,8,109
127,8,111
128,8,111
129,8,110
130,8,112
131,6,86
132,8,111
133,8,111
134,8,111
135,8,111
136,8,115
137,8,111
138,8,115
139,8,111
140,8,111
141,8,112
142,8,111
143,6,79
144,8,109
145,8,111
146,8,109
147,8,118
148,8,111
149,8,111
150,8,110
151,8,109
152,8,112
153,6,263
154,6,86
155,6,86
156,8,111
157,8,264
158,8,116
159,7,95
160,8,112
161,7,265
162,8,110
163,8,110
164,8,110
165,8,116
166,8,116
167,8,111
168,3,31
169,12,171
170,12,171
171,12,266
172,12,171
173,9,121
174,10,145
175,10,146
176,10,146
177,10,146
178,10,145
179,10,143
180,10,143
181,10,143
182,9,267
183,9,121
184,9,121
185,9,121
186,9,121
187,10,144
188,10,144
189,10,144
190,10,144
191,10,268
192,10,144
193,10,144
194,10,144
195,12,269
196,9,121
197,9,121
198,12,171
199,9,121
200,9,121
201,9,121
202,10,270
203,10,146
204,10,145
205,10,145
206,10,145
207,10,145
208,10,271
209,10,145
210,10,144
211,10,145
212,10,138
213,10,145
214,10,145
215,10,147
216,10,147
217,10,145
218,10,143
219,10,143
220,10,272
221,10,143
222,10,145
223,12,273
224,9,121
225,9,274
226,9,121
227,9,121
228,12,171
229,12,275
230,5,276
231,10,143
232,10,144
233,10,145
234,10,144
235,10,144
236,10,143
237,10,143
238,10,143
239,10,145
240,10,145
241,10,145
242,9,277
243,10,144
244,10,143
245,10,143
246,10,145
247,10,145
248,9,278
249,10,144
250,9,279
251,9,121
252,10,146
253,10,147
254,10,145
255,10,143
256,10,143
257,9,132
258,9,132
259,9,132
260,9,132
261,9,133
262,9,133
263,9,135
264,9,135
265,9,133
266,9,133
267,9,132
268,9,133
269,9,133
270,9,133
271,9,132
272,9,132
273,9,132
274,9,132
275,9,132
276,9,132
277,9,132
278,9,133
279,9,133
280,9,133
281,9,133
282,9,133
283,9,133
284,9,132
285,9,132
286,9,132
287,9,135
288,9,135
289,9,133
290,9,135
291,9,133
292,9,135
293,9,135
294,9,133
295,9,132
296,9,132
297,9,133
298,9,133
299,9,133
300,9,135
301,9,135
302,9,135
303,9,133
304,9,132
305,9,132
306,10,143
307,10,143
308,10,143
309,10,143
310,10,143
311,1,13
312,1,13
313,13,192
314,14,210
315,14,210
316,1,13
317,1,13
318,1,13
319,13,188
320,1,12
321,1,12
322,1,280
323,1,12
324,13,189
325,13,281
326,13,193
327,13,193
328,13,193
329,14,210
330,14,210
331,14,210
332,14,210
333,14,209
334,14,209
335,14,209
336,14,209
337,13,192
338,13,192
339,14,210
340,14,210
341,14,210
342,14,210
343,1,13
344,1,13
345,13,190
346,13,190
347,13,193
348,13,192
349,13,192
350,13,189
351,13,282
352,13,192
353,13,184
354,13,189
355,13,193
356,13,192
357,1,13
358,1,13
359,1,13
360,14,206
361,14,210
362,14,206
363,1,12
364,1,12
365,14,210
366,1,13
367,1,13
368,1,13
369,1,13
370,13,283
371,1,12
372,1,13
373,1,284
374,14,285
375,1,286
376,1,12
377,14,287
378,14,210
379,14,209
380,14,210
381,14,209
382,14,209
383,14,209
384,14,210
385,14,210
386,13,184
387,1,13
388,1,12
389,14,206
390,14,206
391,14,206
392,14,209
393,1,13
394,14,206
395,1,12
396,14,210
397,13,193
398,14,210
399,14,209
400,1,12
401,1,12
402,4,55
403,4,54
404,4,54
405,4,54
406,4,55
407,4,56
408,4,56
409,4,55
410,4,55
411,4,54
412,4,54
413,4,55
414,4,55
415,4,55
416,4,53
417,4,53
418,4,56
419,4,56
420,4,56
421,4,53
422,4,56
423,4,56
424,4,56
425,4,56
426,4,56
427,4,55
428,4,56
429,4,56
430,4,54
431,4,54
432,4,54
433,4,53
434,4,53
435,4,54
436,4,54
437,4,56
438,4,56
439,4,55
440,4,55
441,4,55
442,4,55
443,4,56
444,4,56
445,4,56
446,4,56
447,4,55
448,4,55
449,4,54
450,4,54
451,4,54
452,4,54
453,4,53
454,4,53
455,4,56
456,4,53
457,4,56
458,4,53
459,4,54
460,4,54
461,4,55
462,4,55
463,4,54
464,4,54
465,4,55
466,4,55
467,4,53
468,4,55
469,4,53
470,4,53
471,3,33
472,3,33
473,3,33
474,3,33
475,3,32
476,3,32
477,3,31
478,3,288
479,3,33
480,8,289
481,3,39
482,5,63
483,5,290
484,3,291
485,3,31
486,3,31
487,3,292
488,3,293
489,14,202
490,3,37
491,3,294
492,3,295
493,3,296
494,3,31
495,3,31
496,3,31
497,3,32
498,3,32
499,3,32
500,3,32
501,3,33
502,3,33
503,3,35
504,3,35
505,15,297
506,3,31
507,3,32
508,3,32
509,3,298
510,3,299
511,14,206
512,14,300
513,2,17
514,2,17
515,2,301
516,14,302
517,14,199
518,14,303
519,2,17
520,3,42
521,3,44
522,3,44
523,8,108
524,3,40
525,12,180
526,12,180
527,8,108
528,3,43
529,3,43
530,3,33
531,3,31
532,8,108
533,3,39
534,3,304
535,8,108
536,6,305
537,5,63
538,5,63
539,5,63
540,8,306
541,3,40
542,3,44
543,6,88
544,6,307
545,3,44
546,3,44
547,3,42
548,3,42
549,3,42
550,3,42
551,3,42
552,8,108
553,3,44
554,3,31
555,3,31
556,12,308
557,8,108
558,8,108
559,3,39
560,3,39
561,3,39
562,3,40
563,3,40
564,8,108
565,8,108
566,3,39
567,6,309
568,3,39
569,3,39
570,3,39
571,3,36
572,3,36
573,3,45
574,3,44
575,14,310
576,3,42
577,3,42
578,3,42
579,3,45
580,2,21
581,3,44
582,3,44
583,2,21
584,3,43
585,3,36
586,3,42
587,2,22
588,3,311
589,3,42
590,3,45
591,3,44
592,3,33
593,3,33
594,3,33
595,3,33
596,3,45
597,2,19
598,3,43
599,3,44
600,3,32
601,3,44
602,3,36
603,3,37
604,3,37
605,3,36
606,3,36
607,3,312
608,3,42
609,3,36
610,3,37
611,3,37
612,3,37
613,3,37
614,3,37
615,3,36
616,3,42
617,3,44
618,3,43
619,3,37
620,3,33
621,3,45
622,2,22
623,2,313
624,3,35
625,3,35
626,2,19
627,3,36
628,2,21
629,2,22
630,3,44
631,3,314
632,3,45
633,3,44
634,3,45
635,2,21
636,2,22
637,3,43
638,2,22
639,2,21
640,2,315
641,2,316
642,2,317
643,2,318
