,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,
n1,-9.650192226610528,-12.775774861971065,-9.925242005893548,0.0,-0.0,-0.0,-0.0,797.4242058563158,-7.493232428377322,-11.523878556783966,-8.959414947297466,-16.28462270331738,-15.882913505495983,-11.330412807227969,97.42420585631584,97.42420585631584,97.42420585631584,-0.0,-0.0,-0.0,
n2,-9.590080670454324,-12.861371851012732,-10.011527231343338,0.0,-0.0,-0.0,-0.0,797.4767111364057,-7.497946175571451,-11.438451945762342,-8.964128694491595,-16.253505244889052,-15.880776129819731,-11.330288722506639,97.47671113640574,97.47671113640574,97.47671113640574,-0.0,-0.0,-0.0,
n3,-9.190780202024504,-13.433651040113945,-10.47013144907017,0.0,-0.0,-0.0,-0.0,796.7296543177149,-7.2579804088110444,-10.893481049623235,-8.44938861877654,-16.842508340352996,-16.237322732618072,-11.739355301041202,96.72965431771486,96.72965431771486,96.72965431771486,-0.0,-0.0,-0.0,
n4,-9.106206133021239,-12.827551956536182,-10.037330183736952,0.0,-0.07667859555201664,-0.0,-0.0,797.5325822697752,-7.9640480166540035,-11.415777323920613,-8.845375553054053,-16.286475924458145,-15.598368808378101,-11.047848198315434,97.5325822697752,97.5325822697752,97.5325822697752,-0.0,-0.0,-0.0,
n5,-9.38093278652358,-12.799092370724921,-10.010048946634223,0.0,-0.0,-0.0,-0.0,797.6586233742238,-7.689321363151661,-11.492592252720272,-8.927166112007074,-16.16042321258211,-15.584549589379497,-11.034054608814579,97.65862337422374,97.65862337422374,97.65862337422374,-0.0,-0.0,-0.0,
n6,-9.73134485840448,-12.321676492940403,-9.677434493342554,0.0,-0.0,-0.0,-0.0,797.7028444423858,-7.3614446072073285,-11.58528366254384,-9.023601363874837,-15.870308035893364,-15.234759399663686,-10.702766785040316,97.70284444238578,97.70284444238578,97.70284444238578,-0.0,-0.0,-0.0,
n7,-9.61786743682858,-12.193675024261463,-9.582604697908499,0.0,-0.0,-0.0,-0.0,797.573568966007,-7.539755577677017,-11.394712352569028,-8.869021260897114,-15.965407220143863,-15.329858583914186,-10.790801472517074,97.57356896600699,97.57356896600699,97.57356896600699,-0.0,-0.0,-0.0,
n8,-9.650097937528383,-12.68170384378375,-9.917546030858428,0.0,-0.05646980055861727,-0.0,-0.0,798.0864600854142,-7.496806613696437,-11.545592706650895,-8.970313706650895,-15.65298763429522,-15.351599802414235,-10.801134778702416,98.08646008541416,98.08646008541416,98.08646008541416,-0.0,-0.0,-0.0,
n9,-8.995020529565497,-12.588770907304486,-9.934074631018607,0.0,-0.0,-0.0,-0.0,798.4145609975778,-7.94809285621542,-11.245978217505371,-8.760662113677071,-15.40449719665548,-16.053173349981527,-11.532991165606033,98.41456099757787,98.41456099757787,98.41456099757787,-0.0,-0.0,-0.0,
n10,-8.830106509836709,-12.43751939866954,-9.728258401150903,0.0,-0.07210392552426748,-0.0,-0.0,798.2389124875506,-7.5176051507272055,-11.020136087819811,-8.53832982939236,-15.577098336927174,-16.257338838059024,-11.762381566879016,98.23891248755054,98.23891248755054,98.23891248755054,-0.0,-0.0,-0.07210392552426748,
