#daily flow (m3),P (mg),N (mg)
2.0621905801320623e6,1.6368096977982023e8,6.645849359054722e9
2.5431221463719704e6,2.0101963321046126e8,8.16189079479577e9
1.9092393115614345e6,1.2275996346628526e8,4.984356004350703e9
1.5560973061185484e6,9.031082791304843e7,3.666841408680548e9
1.9210607107483805e6,1.3986387150230628e8,5.678816676299479e9
2.6067928106942493e6,2.098017808540035e8,8.518467557301941e9
2.879117185993429e6,2.3286415621574786e8,9.45485663614417e9
2.9689175106173707e6,1.9814001357245636e8,8.044971165401469e9
2.9985296167452415e6,2.002063438833122e8,8.128869250746817e9
2.9679765409505223e6,1.973760232887044e8,8.013951283588531e9
2.954601455267023e6,1.9644271091846073e8,7.976056509223952e9
2.950190953875321e6,1.9613494649696395e8,7.963560517868967e9
1.975736618926649e6,1.0229941234243341e8,4.1536073794172664e9
1.518594625514945e6,6.970175243934162e7,2.8300623303803234e9
1.3095575634758798e6,2.596238856377862e7,1.0319069629064918e9
2.0144328727793773e6,1.453753733241203e8,5.778122440459196e9
2.6705833095403537e6,2.0023088657083943e8,7.958422066360035e9
2.9001524219983225e6,2.1831976639129806e8,8.677386771477802e9
2.896033307695893e6,2.1641810502975166e8,8.601802909259218e9
1.9277554209616836e6,1.1015790101090533e8,4.378360827358833e9
2.523198965042558e6,1.886177489562319e8,7.496843674361703e9
2.8515516973446854e6,2.113514306695908e8,8.400421725159536e9
2.9598276528829862e6,2.197581747514184e8,8.734558075214544e9
2.99553219069979e6,2.2253034065375146e8,8.844741207630198e9
3.007305940599975e6,2.234444762233913e8,8.881074646559923e9
1.8717629334224164e6,7.467217237362398e7,2.9679370377808437e9
1.3175688923618088e6,2.4650452993699174e7,9.797624752633779e8
1.8667702451244206e6,1.2867512218145035e8,5.114350484574867e9
2.2745849462575396e6,1.788040777168893e8,9.630015887114136e9
1.6003215532278824e6,8.444049205607153e7,4.547789347976905e9
1.398129175938486e6,7.903869367980808e7,4.2568597179224396e9
2.3214344708447866e6,1.8984592670141906e8,1.0224706917105633e10
2.7817187902302956e6,2.3076373515702242e8,1.2428455011247301e10
2.9367999025341e6,2.4425658712143683e8,1.3155151966031105e10
2.3547104200092535e6,1.7706827963496077e8,9.536529411194605e9
2.653470013040371e6,1.6793718331381953e8,9.04474754714457e9
2.887909114601272e6,1.8500256551614276e8,9.963853553151077e9
2.8919960158540667e6,1.8393430884181502e8,9.906319469607521e9
2.3073681996902567e6,1.3264415422627278e8,7.143938375691577e9
2.4142652784654056e6,1.4786748395182e8,7.963835264977949e9
2.789229820251906e6,1.783844817848114e8,9.607417322564192e9
2.939276702245693e6,1.8844761443292668e8,1.0149396725455254e10
2.988755411953737e6,2.2922737014916167e8,1.1628372884829838e10
3.00507126391842e6,2.305353795943144e8,1.1694726311801575e10
2.325981160023159e6,1.5924599707772684e8,8.078319064740635e9
2.717216960782779e6,2.0745867185362846e8,1.0524078311136036e10
1.8395730865402184e6,1.0260126081586279e8,5.204813537075325e9
2.4043995536447624e6,1.8077614281783593e8,9.170512212390524e9
2.725956207847854e6,2.0655470110334802e8,1.0478221182668346e10
1.739129618267274e6,8.804642423352015e7,4.466467732439913e9
2.3678799490727508e6,1.869914129427703e8,9.485803874750257e9
2.496920397232525e6,1.9194108166324195e8,9.736893408694529e9
2.4823801102378704e6,1.898812481873354e8,9.632401036239567e9
2.768073154639982e6,2.205719554080857e8,1.1189296216033304e10
2.929000129810549e6,2.3491521681396064e8,1.1916909118033493e10
2.651261012022955e6,2.040521841629639e8,1.0351272118451218e10
2.8640802924391893e6,2.2804694553930166e8,1.1575528503808887e10
1.9649497439185628e6,1.2218908020805925e8,6.202245671204669e9
2.3155414065347128e6,1.772963087765345e8,8.999456103257402e9
2.7632752420679647e6,2.1964068377329683e8,1.1148831612724691e10
2.930718050293091e6,2.3360395318878585e8,1.1857598935799845e10
2.9859331536713387e6,2.382084111075635e8,1.2091318505063766e10
3.004140610135946e6,2.3972675413274902e8,1.2168388701838516e10
2.9698267940811673e6,2.053455644966107e8,1.0423219786346992e10
2.995529401367588e6,2.0793633985642204e8,1.0554726016143404e10
3.0073050208037323e6,2.0879066098754796e8,1.0598090853069277e10
3.0111880902015856e6,2.090723776529178e8,1.0612390624909124e10
3.0124685517543983e6,2.0916527513216245e8,1.0617106046185148e10
3.0128907903549084e6,2.0919590854051512e8,1.0618660979932304e10
3.0130300256450037e6,2.0920601006011426e8,1.0619173727111511e10
3.013075939178215e6,2.4696593289475444e8,1.1135358772994326e10
3.0130910793954004e6,2.4696722955283248e8,1.1135417237547457e10
2.0289997996762274e6,1.3183139234644094e8,5.944098581186047e9
3.125157943754258e6,1.220028431884471e8,5.500942637329965e9
1.5186240998880486e6,8.640696835634106e7,3.8959729459717007e9
2.3948859781847605e6,1.9402210805574498e8,8.748193557587158e9
1.6218514034138613e6,7.210643120638688e7,3.2511811321990075e9
1.680628124596034e6,1.2428336283963916e8,5.603768173658934e9
2.3891929732134333e6,2.051141431246719e8,9.248318366573555e9
2.2751568349585785e6,1.8357684528252175e8,8.277230833721884e9
2.6017420693740416e6,2.2466646548143935e8,1.0129906048469044e10
2.8675515103435507e6,2.5187997729327044e8,1.1356926366396845e10
1.8645226718096149e6,8.320222239885272e7,3.751475299698586e9
1.2598642360406304e6,2.7579889180552382e7,1.2435397762968073e9
2.0046463618400309e6,1.6450872889586738e8,8.469701569230616e9
2.300019503696309e6,1.8560369724257955e8,9.55577212432021e9
2.7449565923950677e6,2.3445915106644917e8,1.207108615473515e10
2.924677383953579e6,2.5056948128648037e8,1.2900523535117517e10
2.7525220606217906e6,1.1761852478437671e8,6.055568057834839e9
2.4948647796676913e6,2.120407004607912e8,1.0916876359614483e10
2.086019596698993e6,1.538612956581462e8,7.921520432539147e9
2.628188266809781e6,1.8845409730800444e8,9.702524446030422e9
2.7676567917107884e6,1.9670835691145498e8,1.0127493479499979e10
2.922262719758289e6,2.1063282452256858e8,1.0844392126569351e10
2.9831449661431606e6,2.1522448735230917e8,1.108079304058437e10
2.8097113740722598e6,1.983705395474221e8,1.0213070645980366e10
3.318756513334022e6,1.258122687356317e8,6.477421454111136e9
2.571964427169196e6,1.8345900501729935e8,9.445353040616325e9
2.864332296205431e6,2.1676973042732933e8,9.862630120991482e9
2.964042119271911e6,2.2467274755034804e8,1.0222203086139982e10
1.828433433808378e6,9.103799266565774e7,4.1420637782262874e9
2.4409462008724315e6,1.832120782506341e8,8.335817726589468e9
1.6461364396506608e6,6.469104210536453e7,2.943325247343931e9
2.3313320131922583e6,1.745240395447122e8,7.940527701250384e9
2.7882826104631517e6,2.1074201971500856e8,9.58838020097376e9
1.9865268794958817e6,1.458937798706356e8,6.637902741221576e9
2.5623794842873407e6,2.3400723141759077e8,1.0646905195477339e10
2.864471669503809e6,2.6306308271242863e8,1.1968893803419014e10
2.9640880783140445e6,2.726443949825289e8,1.2404826158030657e10
1.8717378374054935e6,9.057575551817288e7,4.1210328252198954e9
1.1875345022367043e6,3.728083508147598e7,1.696210473138664e9
3.061026656050586e6,1.2218457067622143e8,5.559176665008139e9
2.4810937476654113e6,1.8310075747793067e8,9.599168935414114e9
2.83766729135027e6,2.1086346953968126e8,1.105464605553539e10
2.9552492005716963e6,2.2001836268080124e8,1.153459691460197e10
2.9940224231537245e6,2.230372344768602e8,1.1692863110569075e10
2.3735798323481125e6,1.5992516790518457e8,8.384174510754643e9
2.73951297331266e6,2.0322120297908625e8,1.0653995567929081e10
2.922882323338119e6,2.1749828706417608e8,1.1402480412697721e10
2.98334928352219e6,2.2489973943411994e8,1.1790506069418863e10
3.0032885660325685e6,2.2647102465480903e8,1.1872881655882135e10
3.0098636441548746e6,2.2698916381418344e8,1.1900045417471096e10
3.012031809047064e6,2.2716002279315323e8,1.1909002803698519e10
3.0127467722630557e6,2.2721636439591852e8,1.1911956546602074e10
1.9370255197931193e6,1.085345088546318e8,5.68998785241718e9
2.3978400051164473e6,1.763936581769041e8,9.247545162012127e9
2.8003137849592264e6,1.636721717384972e8,1.1332527588443508e10
2.9429316950378157e6,1.724117813372934e8,1.1937651024141699e10
2.9899606641052207e6,1.7529371130847648e8,1.2137193503229565e10
3.005468701842726e6,1.7624404212873957e8,1.2202993633602285e10
3.010582554840932e6,1.7655741846923795e8,1.2224691555653065e10
2.187777572397106e6,6.2356501601900876e7,4.317513278014087e9
2.397738976411837e6,1.390024324394461e8,9.624414973839226e9
2.810180638679895e6,1.5978583034573215e8,1.1063440482286043e10
2.94618533939543e6,1.6789233960747892e8,1.1624728567358295e10
2.991033569603319e6,1.7056550157644367e8,1.1809816120360722e10
3.0058224977962254e6,1.714469901039458e8,1.1870849666569021e10
3.954668829224754e6,1.277907462695594e8,8.848126973969505e9
2.2180708717384203e6,1.1494936137807578e8,7.9589999647118225e9
2.6981332843069206e6,1.5310728974235588e8,1.0601023781668024e10
2.9092371639524754e6,1.5321798026659802e8,1.0989154178665243e10
