#1. Demand ID,2. Node ID,3. Time,4. Product,5. Bid,6. Capacity,7. Emissions,8. Emissions coefficients
D00077,N04017,T0,Recyclables,0.0,10000000,,
D00078,N04019,T0,Recyclables,0.0,10000000,,
D00079,N04021,T0,Recyclables,0.0,10000000,,
D00080,N04023,T0,Recyclables,0.0,10000000,,
D00081,N04025,T0,Recyclables,0.0,10000000,,
D00082,N04027,T0,Recyclables,0.0,10000000,,
D00083,N05001,T0,Recyclables,0.0,10000000,,
D00084,N05003,T0,Recyclables,0.0,10000000,,
D00085,N05005,T0,Recyclables,0.0,10000000,,
D00086,N05007,T0,Recyclables,0.0,10000000,,
D00087,N05009,T0,Recyclables,0.0,10000000,,
D00088,N05011,T0,Recyclables,0.0,10000000,,
D00089,N05013,T0,Recyclables,0.0,10000000,,
D00090,N05015,T0,Recyclables,0.0,10000000,,
D00091,N05017,T0,Recyclables,0.0,10000000,,
D00092,N05019,T0,Recyclables,0.0,10000000,,
D00093,N05021,T0,Recyclables,0.0,10000000,,
D00094,N05023,T0,Recyclables,0.0,10000000,,
D00095,N05025,T0,Recyclables,0.0,10000000,,
D00096,N05027,T0,Recyclables,0.0,10000000,,
D00097,N05029,T0,Recyclables,0.0,10000000,,
D00098,N05031,T0,Recyclables,0.0,10000000,,
D00099,N05033,T0,Recyclables,0.0,10000000,,
D00100,N05035,T0,Recyclables,0.0,10000000,,
D00101,N05037,T0,Recyclables,0.0,10000000,,
D00102,N05039,T0,Recyclables,0.0,10000000,,
D00103,N05041,T0,Recyclables,0.0,10000000,,
D00104,N05043,T0,Recyclables,0.0,10000000,,
D00105,N05045,T0,Recyclables,0.0,10000000,,
D00106,N05047,T0,Recyclables,0.0,10000000,,
D00107,N05049,T0,Recyclables,0.0,10000000,,
D00108,N05051,T0,Recyclables,0.0,10000000,,
D00109,N05053,T0,Recyclables,0.0,10000000,,
D00110,N05055,T0,Recyclables,0.0,10000000,,
D00111,N05057,T0,Recyclables,0.0,10000000,,
D00112,N05059,T0,Recyclables,0.0,10000000,,
D00113,N05061,T0,Recyclables,0.0,10000000,,
D00114,N05063,T0,Recyclables,0.0,10000000,,
D00115,N05065,T0,Recyclables,0.0,10000000,,
D00116,N05067,T0,Recyclables,0.0,10000000,,
D00117,N05069,T0,Recyclables,0.0,10000000,,
D00118,N05071,T0,Recyclables,0.0,10000000,,
D00119,N05073,T0,Recyclables,0.0,10000000,,
D00120,N05075,T0,Recyclables,0.0,10000000,,
D00121,N05077,T0,Recyclables,0.0,10000000,,
D00122,N05079,T0,Recyclables,0.0,10000000,,
D00123,N05081,T0,Recyclables,0.0,10000000,,
D00124,N05083,T0,Recyclables,0.0,10000000,,
D00125,N05085,T0,Recyclables,0.0,10000000,,
D00126,N05087,T0,Recyclables,0.0,10000000,,
D00127,N05089,T0,Recyclables,0.0,10000000,,
D00128,N05091,T0,Recyclables,0.0,10000000,,
D00129,N05093,T0,Recyclables,0.0,10000000,,
D00130,N05095,T0,Recyclables,0.0,10000000,,
D00131,N05097,T0,Recyclables,0.0,10000000,,
D00132,N05099,T0,Recyclables,0.0,10000000,,
D00133,N05101,T0,Recyclables,0.0,10000000,,
D00134,N05103,T0,Recyclables,0.0,10000000,,
D00135,N05105,T0,Recyclables,0.0,10000000,,
D00136,N05107,T0,Recyclables,0.0,10000000,,
D00137,N05109,T0,Recyclables,0.0,10000000,,
D00138,N05111,T0,Recyclables,0.0,10000000,,
D00139,N05113,T0,Recyclables,0.0,10000000,,
D00140,N05115,T0,Recyclables,0.0,10000000,,
D00141,N05117,T0,Recyclables,0.0,10000000,,
D00142,N05119,T0,Recyclables,0.0,10000000,,
D00143,N05121,T0,Recyclables,0.0,10000000,,
D00144,N05123,T0,Recyclables,0.0,10000000,,
D00145,N05125,T0,Recyclables,0.0,10000000,,
D00146,N05127,T0,Recyclables,0.0,10000000,,
D00147,N05129,T0,Recyclables,0.0,10000000,,
D00148,N05131,T0,Recyclables,0.0,10000000,,
D00149,N05133,T0,Recyclables,0.0,10000000,,
D00150,N05135,T0,Recyclables,0.0,10000000,,
D00151,N05137,T0,Recyclables,0.0,10000000,,
D00152,N05139,T0,Recyclables,0.0,10000000,,
D00153,N05141,T0,Recyclables,0.0,10000000,,
D00154,N05143,T0,Recyclables,0.0,10000000,,
D00155,N05145,T0,Recyclables,0.0,10000000,,
D00156,N05147,T0,Recyclables,0.0,10000000,,
D00157,N05149,T0,Recyclables,0.0,10000000,,
D00158,N06001,T0,Recyclables,0.0,10000000,,
D00159,N06003,T0,Recyclables,0.0,10000000,,
D00160,N06005,T0,Recyclables,0.0,10000000,,
D00161,N06007,T0,Recyclables,0.0,10000000,,
D00162,N06009,T0,Recyclables,0.0,10000000,,
D00163,N06011,T0,Recyclables,0.0,10000000,,
D00164,N06013,T0,Recyclables,0.0,10000000,,
D00165,N06015,T0,Recyclables,0.0,10000000,,
D00166,N06017,T0,Recyclables,0.0,10000000,,
D00167,N06019,T0,Recyclables,0.0,10000000,,
D00168,N06021,T0,Recyclables,0.0,10000000,,
D00169,N06023,T0,Recyclables,0.0,10000000,,
D00170,N06025,T0,Recyclables,0.0,10000000,,
D00171,N06027,T0,Recyclables,0.0,10000000,,
D00172,N06029,T0,Recyclables,0.0,10000000,,
D00173,N06031,T0,Recyclables,0.0,10000000,,
D00174,N06033,T0,Recyclables,0.0,10000000,,
D00175,N06035,T0,Recyclables,0.0,10000000,,
D00176,N06037,T0,Recyclables,0.0,10000000,,
D00177,N06039,T0,Recyclables,0.0,10000000,,
D00178,N06041,T0,Recyclables,0.0,10000000,,
D00179,N06043,T0,Recyclables,0.0,10000000,,
D00180,N06045,T0,Recyclables,0.0,10000000,,
D00181,N06047,T0,Recyclables,0.0,10000000,,
D00182,N06049,T0,Recyclables,0.0,10000000,,
D00183,N06051,T0,Recyclables,0.0,10000000,,
D00184,N06053,T0,Recyclables,0.0,10000000,,
D00185,N06055,T0,Recyclables,0.0,10000000,,
D00186,N06057,T0,Recyclables,0.0,10000000,,
D00187,N06059,T0,Recyclables,0.0,10000000,,
D00188,N06061,T0,Recyclables,0.0,10000000,,
D00189,N06063,T0,Recyclables,0.0,10000000,,
D00190,N06065,T0,Recyclables,0.0,10000000,,
D00191,N06067,T0,Recyclables,0.0,10000000,,
D00192,N06069,T0,Recyclables,0.0,10000000,,
D00193,N06071,T0,Recyclables,0.0,10000000,,
D00194,N06073,T0,Recyclables,0.0,10000000,,
D00195,N06075,T0,Recyclables,0.0,10000000,,
D00196,N06077,T0,Recyclables,0.0,10000000,,
D00197,N06079,T0,Recyclables,0.0,10000000,,
D00198,N06081,T0,Recyclables,0.0,10000000,,
D00199,N06083,T0,Recyclables,0.0,10000000,,
D00200,N06085,T0,Recyclables,0.0,10000000,,
D00201,N06087,T0,Recyclables,0.0,10000000,,
D00202,N06089,T0,Recyclables,0.0,10000000,,
D00203,N06091,T0,Recyclables,0.0,10000000,,
D00204,N06093,T0,Recyclables,0.0,10000000,,
D00205,N06095,T0,Recyclables,0.0,10000000,,
D00206,N06097,T0,Recyclables,0.0,10000000,,
D00207,N06099,T0,Recyclables,0.0,10000000,,
D00208,N06101,T0,Recyclables,0.0,10000000,,
D00209,N06103,T0,Recyclables,0.0,10000000,,
D00210,N06105,T0,Recyclables,0.0,10000000,,
D00211,N06107,T0,Recyclables,0.0,10000000,,
D00212,N06109,T0,Recyclables,0.0,10000000,,
D00213,N06111,T0,Recyclables,0.0,10000000,,
D00214,N06113,T0,Recyclables,0.0,10000000,,
D00215,N06115,T0,Recyclables,0.0,10000000,,
D00216,N08001,T0,Recyclables,0.0,10000000,,
D00217,N08003,T0,Recyclables,0.0,10000000,,
D00218,N08005,T0,Recyclables,0.0,10000000,,
D00219,N08007,T0,Recyclables,0.0,10000000,,
D00220,N08009,T0,Recyclables,0.0,10000000,,
D00221,N08011,T0,Recyclables,0.0,10000000,,
D00222,N08013,T0,Recyclables,0.0,10000000,,
